"","site.id","date","sst_jpl"
"1","PV",2024-04-16,7.611
"2","PV",2024-04-17,7.649
"3","PV",2024-04-18,7.819
"4","PV",2024-04-19,7.986
"5","PV",2024-04-20,7.741
"6","PV",2024-04-21,7.519
"7","PV",2024-04-22,7.437
"8","PV",2024-04-23,7.559
"9","PV",2024-04-24,7.151
"10","PV",2024-04-25,6.993
"11","PV",2024-04-26,7.188
"12","PV",2024-04-27,7.374
"13","PV",2024-04-28,7.429
"14","PV",2024-04-29,7.634
"15","PV",2024-04-30,8.529
"16","PV",2024-05-01,8.497
"17","PV",2024-05-02,8.54
"18","PV",2024-05-03,8.788
"19","PV",2024-05-04,8.942
"20","PV",2024-05-05,9.003
"21","PV",2024-05-06,10.063
"22","PV",2024-05-07,10.65
"23","PV",2024-05-08,10.758
"24","PV",2024-05-09,10.642
"25","PV",2024-05-10,10.607
"26","PV",2024-05-11,10.739
"27","PV",2024-05-12,11.107
"28","PV",2024-05-13,11.161
"29","PV",2024-05-14,11.25
"30","PV",2024-05-15,11.347
"31","PV",2024-05-16,11.728
"32","PV",2024-05-17,11.758
"33","PV",2024-05-18,11.568
"34","PV",2024-05-19,11.855
"35","PV",2024-05-20,12.434
"36","PV",2024-05-21,15.413
"37","PV",2024-05-22,14.931
"38","PV",2024-05-23,14.643
"39","PV",2024-05-24,14.829
"40","PV",2024-05-25,14.902
"41","PV",2024-05-26,14.827
"42","PV",2024-05-27,15.022
"43","PV",2024-05-28,15.333
"44","PV",2024-05-29,15.359
"45","PV",2024-05-30,15.201
"46","PV",2024-05-31,15.438
"47","PV",2024-06-01,15.383
"48","PV",2024-06-02,15.492
"49","PV",2024-06-03,15.624
"50","PV",2024-06-04,15.897
"51","PV",2024-06-05,15.96
"52","PV",2024-06-06,16.065
"53","PV",2024-06-07,16.092
"54","PV",2024-06-08,16.274
"55","PV",2024-06-09,16.397
"56","PV",2024-06-10,16.37
"57","PV",2024-06-11,16.591
"58","PV",2024-06-12,16.948
"59","PV",2024-06-13,17.872
"60","PV",2024-06-14,17.815
"61","PV",2024-06-15,17.954
"62","PV",2024-06-16,18.105
"63","PV",2024-06-17,18.205
"64","PV",2024-06-18,17.894
"65","PV",2024-06-19,17.764
"66","PV",2024-06-20,17.507
"67","PV",2024-06-21,17.591
"68","PV",2024-06-22,18.002
