site_id,latitude,longitude,depth_m
AQ,42.53003,-70.852886,-3.7565947
CB,42.6572,-70.68275,-2.6267455
CI,42.00146,-70.64148,-2.3487449
DC,42.66801,-70.67422,-3.2398181
LH,42.43701,-70.95276,-2.3225703
NB,42.59809,-70.65669,-3.1357603
PC,41.98567,-70.68233,-2.0049808
PI,42.42002,-70.91592,-3.6536908
SH,42.00343,-70.61506,-2.0227816
WB,42.55635,-70.80848,-4.5181098
CC,41.595157,-70.911218,-1.2436661
DL,41.528514,-70.976588,-0.7619605
GB,41.524995,-70.673056,1.584151
LI,41.611945,-70.648689,-0.8858618
OB,41.741083,-70.657151,-0.6993722
WC,41.690511,-70.647106,-0.9957883
WI,41.582794,-70.824288,-0.6881743
