reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,5/7/2024 9:00,23.869,1
2,5/7/2024 9:15,25.125,2
3,5/7/2024 9:30,21.664,20480
4,5/7/2024 9:45,18.331,464
5,5/7/2024 10:00,13.365,105
6,5/7/2024 10:15,11.041,1088
7,5/7/2024 10:30,11.139,960
8,5/7/2024 10:45,11.139,992
9,5/7/2024 11:00,11.139,1216
10,5/7/2024 11:15,11.236,1152
11,5/7/2024 11:30,11.334,1216
12,5/7/2024 11:45,11.334,1472
13,5/7/2024 12:00,11.334,1344
14,5/7/2024 12:15,11.334,1536
15,5/7/2024 12:30,10.651,1280
16,5/7/2024 12:45,10.455,1472
17,5/7/2024 13:00,10.357,1280
18,5/7/2024 13:15,10.357,1600
19,5/7/2024 13:30,10.553,1728
20,5/7/2024 13:45,10.651,1472
21,5/7/2024 14:00,10.651,1280
22,5/7/2024 14:15,10.748,2048
23,5/7/2024 14:30,10.846,1664
24,5/7/2024 14:45,10.944,1984
25,5/7/2024 15:00,11.139,1536
26,5/7/2024 15:15,11.236,1536
27,5/7/2024 15:30,11.334,1280
28,5/7/2024 15:45,11.528,1792
29,5/7/2024 16:00,11.625,1792
30,5/7/2024 16:15,11.722,1344
31,5/7/2024 16:30,11.819,1600
32,5/7/2024 16:45,12.11,1216
33,5/7/2024 17:00,12.11,960
34,5/7/2024 17:15,12.013,960
35,5/7/2024 17:30,11.819,608
36,5/7/2024 17:45,11.722,608
37,5/7/2024 18:00,11.528,352
38,5/7/2024 18:15,11.431,288
39,5/7/2024 18:30,11.431,224
40,5/7/2024 18:45,11.431,160
41,5/7/2024 19:00,11.431,136
42,5/7/2024 19:15,11.431,67
43,5/7/2024 19:30,11.431,36
44,5/7/2024 19:45,11.431,10
45,5/7/2024 20:00,11.528,0
46,5/7/2024 20:15,11.431,0
47,5/7/2024 20:30,11.334,0
48,5/7/2024 20:45,11.139,0
49,5/7/2024 21:00,11.041,0
50,5/7/2024 21:15,11.041,0
51,5/7/2024 21:30,11.139,0
52,5/7/2024 21:45,11.139,0
53,5/7/2024 22:00,11.139,0
54,5/7/2024 22:15,11.041,0
55,5/7/2024 22:30,11.139,0
56,5/7/2024 22:45,11.139,0
57,5/7/2024 23:00,11.139,0
58,5/7/2024 23:15,11.139,0
59,5/7/2024 23:30,11.236,0
60,5/7/2024 23:45,11.236,0
61,5/8/2024 0:00,11.139,0
62,5/8/2024 0:15,10.944,0
63,5/8/2024 0:30,11.041,0
64,5/8/2024 0:45,11.041,0
65,5/8/2024 1:00,10.944,0
66,5/8/2024 1:15,10.944,0
67,5/8/2024 1:30,10.846,0
68,5/8/2024 1:45,10.651,0
69,5/8/2024 2:00,10.357,0
70,5/8/2024 2:15,10.259,0
71,5/8/2024 2:30,10.455,0
72,5/8/2024 2:45,10.651,0
73,5/8/2024 3:00,10.846,0
74,5/8/2024 3:15,10.944,0
75,5/8/2024 3:30,10.748,0
76,5/8/2024 3:45,10.748,0
77,5/8/2024 4:00,11.041,0
78,5/8/2024 4:15,11.722,0
79,5/8/2024 4:30,11.722,0
80,5/8/2024 4:45,11.916,0
81,5/8/2024 5:00,11.819,0
82,5/8/2024 5:15,11.722,1
83,5/8/2024 5:30,11.819,15
84,5/8/2024 5:45,11.916,59
85,5/8/2024 6:00,11.916,152
86,5/8/2024 6:15,11.819,272
87,5/8/2024 6:30,11.722,368
88,5/8/2024 6:45,11.916,448
89,5/8/2024 7:00,11.722,224
90,5/8/2024 7:15,11.528,416
91,5/8/2024 7:30,11.431,576
92,5/8/2024 7:45,11.528,608
93,5/8/2024 8:00,11.528,608
94,5/8/2024 8:15,11.334,576
95,5/8/2024 8:30,11.431,208
96,5/8/2024 8:45,11.625,240
97,5/8/2024 9:00,11.819,176
98,5/8/2024 9:15,11.722,94
99,5/8/2024 9:30,11.722,60
100,5/8/2024 9:45,11.625,85
101,5/8/2024 10:00,11.625,208
102,5/8/2024 10:15,11.625,256
103,5/8/2024 10:30,11.625,200
104,5/8/2024 10:45,11.528,83
105,5/8/2024 11:00,11.528,113
106,5/8/2024 11:15,11.528,176
107,5/8/2024 11:30,11.431,120
108,5/8/2024 11:45,11.431,84
109,5/8/2024 12:00,11.334,95
110,5/8/2024 12:15,11.236,67
111,5/8/2024 12:30,11.236,102
112,5/8/2024 12:45,11.236,102
113,5/8/2024 13:00,11.334,152
114,5/8/2024 13:15,11.334,176
115,5/8/2024 13:30,11.334,136
116,5/8/2024 13:45,11.236,144
117,5/8/2024 14:00,11.041,136
118,5/8/2024 14:15,10.944,432
119,5/8/2024 14:30,10.846,216
120,5/8/2024 14:45,10.553,240
121,5/8/2024 15:00,10.455,336
122,5/8/2024 15:15,10.455,384
123,5/8/2024 15:30,10.455,400
124,5/8/2024 15:45,10.651,400
125,5/8/2024 16:00,10.846,288
126,5/8/2024 16:15,11.041,240
127,5/8/2024 16:30,11.139,272
128,5/8/2024 16:45,11.236,91
129,5/8/2024 17:00,11.236,68
130,5/8/2024 17:15,11.431,81
131,5/8/2024 17:30,11.431,46
132,5/8/2024 17:45,11.431,136
133,5/8/2024 18:00,11.431,121
134,5/8/2024 18:15,11.625,99
135,5/8/2024 18:30,11.431,30
136,5/8/2024 18:45,11.334,24
137,5/8/2024 19:00,11.334,30
138,5/8/2024 19:15,11.139,29
139,5/8/2024 19:30,11.139,23
140,5/8/2024 19:45,11.139,3
141,5/8/2024 20:00,11.334,0
142,5/8/2024 20:15,11.334,0
143,5/8/2024 20:30,11.334,0
144,5/8/2024 20:45,11.334,0
145,5/8/2024 21:00,11.334,0
146,5/8/2024 21:15,11.334,0
147,5/8/2024 21:30,11.236,0
148,5/8/2024 21:45,11.139,0
149,5/8/2024 22:00,11.041,0
150,5/8/2024 22:15,11.041,0
151,5/8/2024 22:30,11.041,0
152,5/8/2024 22:45,11.041,0
153,5/8/2024 23:00,11.041,0
154,5/8/2024 23:15,11.041,0
155,5/8/2024 23:30,11.041,0
156,5/8/2024 23:45,11.041,0
157,5/9/2024 0:00,10.944,0
158,5/9/2024 0:15,10.846,0
159,5/9/2024 0:30,10.944,0
160,5/9/2024 0:45,10.846,0
161,5/9/2024 1:00,10.846,0
162,5/9/2024 1:15,10.846,0
163,5/9/2024 1:30,10.846,0
164,5/9/2024 1:45,10.846,0
165,5/9/2024 2:00,10.651,0
166,5/9/2024 2:15,10.553,0
167,5/9/2024 2:30,10.553,0
168,5/9/2024 2:45,10.553,0
169,5/9/2024 3:00,10.357,0
170,5/9/2024 3:15,10.455,0
171,5/9/2024 3:30,10.651,0
172,5/9/2024 3:45,10.846,0
173,5/9/2024 4:00,10.944,0
174,5/9/2024 4:15,11.041,0
175,5/9/2024 4:30,11.139,0
176,5/9/2024 4:45,11.139,0
177,5/9/2024 5:00,11.334,0
178,5/9/2024 5:15,11.528,1
179,5/9/2024 5:30,11.722,15
180,5/9/2024 5:45,11.528,47
181,5/9/2024 6:00,11.431,86
182,5/9/2024 6:15,11.528,144
183,5/9/2024 6:30,11.431,232
184,5/9/2024 6:45,11.334,240
185,5/9/2024 7:00,11.334,432
186,5/9/2024 7:15,11.139,480
187,5/9/2024 7:30,11.139,576
188,5/9/2024 7:45,11.334,704
189,5/9/2024 8:00,11.431,800
190,5/9/2024 8:15,11.431,864
191,5/9/2024 8:30,11.625,1344
192,5/9/2024 8:45,11.528,960
193,5/9/2024 9:00,11.819,1088
194,5/9/2024 9:15,11.916,608
195,5/9/2024 9:30,11.722,288
196,5/9/2024 9:45,11.334,608
197,5/9/2024 10:00,11.139,512
198,5/9/2024 10:15,10.846,352
199,5/9/2024 10:30,11.041,992
200,5/9/2024 10:45,10.944,160
201,5/9/2024 11:00,10.944,464
202,5/9/2024 11:15,10.553,168
203,5/9/2024 11:30,10.651,480
204,5/9/2024 11:45,10.553,176
205,5/9/2024 12:00,10.357,208
206,5/9/2024 12:15,10.357,152
207,5/9/2024 12:30,10.455,288
208,5/9/2024 12:45,10.651,288
209,5/9/2024 13:00,10.944,800
210,5/9/2024 13:15,10.944,1088
211,5/9/2024 13:30,10.944,1408
212,5/9/2024 13:45,10.944,352
213,5/9/2024 14:00,11.139,512
214,5/9/2024 14:15,11.041,184
215,5/9/2024 14:30,10.846,432
216,5/9/2024 14:45,10.748,432
217,5/9/2024 15:00,10.748,576
218,5/9/2024 15:15,10.161,768
219,5/9/2024 15:30,10.161,992
220,5/9/2024 15:45,10.161,960
221,5/9/2024 16:00,10.357,1216
222,5/9/2024 16:15,10.161,432
223,5/9/2024 16:30,10.455,1088
224,5/9/2024 16:45,10.455,496
225,5/9/2024 17:00,10.748,704
226,5/9/2024 17:15,11.041,768
227,5/9/2024 17:30,11.528,480
228,5/9/2024 17:45,11.916,448
229,5/9/2024 18:00,11.916,400
230,5/9/2024 18:15,11.916,320
231,5/9/2024 18:30,11.722,272
232,5/9/2024 18:45,11.528,176
233,5/9/2024 19:00,11.431,128
234,5/9/2024 19:15,11.528,86
235,5/9/2024 19:30,11.625,33
236,5/9/2024 19:45,11.528,10
237,5/9/2024 20:00,11.625,1
238,5/9/2024 20:15,11.722,0
239,5/9/2024 20:30,11.625,0
240,5/9/2024 20:45,11.528,0
241,5/9/2024 21:00,11.334,0
242,5/9/2024 21:15,11.236,0
243,5/9/2024 21:30,11.236,0
244,5/9/2024 21:45,11.139,0
245,5/9/2024 22:00,11.236,0
246,5/9/2024 22:15,11.236,0
247,5/9/2024 22:30,11.236,0
248,5/9/2024 22:45,11.236,0
249,5/9/2024 23:00,11.139,0
250,5/9/2024 23:15,11.041,0
251,5/9/2024 23:30,10.748,0
252,5/9/2024 23:45,10.748,0
253,5/10/2024 0:00,10.651,0
254,5/10/2024 0:15,10.748,0
255,5/10/2024 0:30,10.651,0
256,5/10/2024 0:45,10.553,0
257,5/10/2024 1:00,10.553,0
258,5/10/2024 1:15,10.161,0
259,5/10/2024 1:30,10.063,0
260,5/10/2024 1:45,10.063,0
261,5/10/2024 2:00,10.063,0
262,5/10/2024 2:15,10.161,0
263,5/10/2024 2:30,10.063,0
264,5/10/2024 2:45,9.965,0
265,5/10/2024 3:00,10.063,0
266,5/10/2024 3:15,10.161,0
267,5/10/2024 3:30,10.259,0
268,5/10/2024 3:45,10.455,0
269,5/10/2024 4:00,10.553,0
270,5/10/2024 4:15,10.651,0
271,5/10/2024 4:30,10.846,0
272,5/10/2024 4:45,10.944,0
273,5/10/2024 5:00,10.944,0
274,5/10/2024 5:15,11.041,0
275,5/10/2024 5:30,11.041,2
276,5/10/2024 5:45,11.139,10
277,5/10/2024 6:00,11.139,29
278,5/10/2024 6:15,11.139,41
279,5/10/2024 6:30,11.139,57
280,5/10/2024 6:45,11.139,106
281,5/10/2024 7:00,11.236,200
282,5/10/2024 7:15,11.236,176
283,5/10/2024 7:30,11.334,176
284,5/10/2024 7:45,11.334,256
285,5/10/2024 8:00,11.334,256
286,5/10/2024 8:15,11.431,288
287,5/10/2024 8:30,11.431,416
288,5/10/2024 8:45,11.528,512
289,5/10/2024 9:00,11.625,672
290,5/10/2024 9:15,11.625,512
291,5/10/2024 9:30,11.528,704
292,5/10/2024 9:45,11.528,1728
293,5/10/2024 10:00,11.431,1600
294,5/10/2024 10:15,11.431,1024
295,5/10/2024 10:30,11.431,1728
296,5/10/2024 10:45,11.625,1728
297,5/10/2024 11:00,11.722,1344
