reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,9/30/2024 8:00,20.424,0
2,9/30/2024 8:15,20.329,0
3,9/30/2024 8:30,19.948,0
4,9/30/2024 8:45,20.805,0
5,9/30/2024 9:00,21.378,0
6,9/30/2024 9:15,22.046,0
7,9/30/2024 9:30,22.046,0
8,9/30/2024 9:45,23.773,0
9,9/30/2024 10:00,24.931,0
10,9/30/2024 10:15,24.062,0
11,9/30/2024 10:30,23.581,0
12,9/30/2024 10:45,23.004,0
13,9/30/2024 11:00,22.812,0
14,9/30/2024 11:15,23.292,0
15,9/30/2024 11:30,22.812,0
16,9/30/2024 11:45,25.319,12
17,9/30/2024 12:00,26,3712
18,9/30/2024 12:15,25.319,6400
19,9/30/2024 12:30,18.236,896
20,9/30/2024 12:45,18.236,672
21,9/30/2024 13:00,18.331,960
22,9/30/2024 13:15,18.426,1152
23,9/30/2024 13:30,18.521,1536
24,9/30/2024 13:45,18.616,1344
25,9/30/2024 14:00,18.806,1856
26,9/30/2024 14:15,18.426,200
27,9/30/2024 14:30,18.426,272
28,9/30/2024 14:45,18.521,248
29,9/30/2024 15:00,18.616,768
30,9/30/2024 15:15,18.521,144
31,9/30/2024 15:30,18.521,128
32,9/30/2024 15:45,18.616,87
33,9/30/2024 16:00,18.616,128
34,9/30/2024 16:15,18.996,1600
35,9/30/2024 16:30,18.996,768
36,9/30/2024 16:45,18.806,448
37,9/30/2024 17:00,18.806,384
38,9/30/2024 17:15,18.711,336
39,9/30/2024 17:30,18.711,232
40,9/30/2024 17:45,18.806,128
41,9/30/2024 18:00,18.711,82
42,9/30/2024 18:15,18.616,24
43,9/30/2024 18:30,18.616,4
44,9/30/2024 18:45,18.521,0
45,9/30/2024 19:00,18.426,0
46,9/30/2024 19:15,18.426,0
47,9/30/2024 19:30,18.331,0
48,9/30/2024 19:45,18.14,0
49,9/30/2024 20:00,18.045,0
50,9/30/2024 20:15,18.045,0
51,9/30/2024 20:30,17.95,0
52,9/30/2024 20:45,17.855,0
53,9/30/2024 21:00,17.855,0
54,9/30/2024 21:15,17.855,0
55,9/30/2024 21:30,17.855,0
56,9/30/2024 21:45,17.855,0
57,9/30/2024 22:00,17.76,0
58,9/30/2024 22:15,17.76,0
59,9/30/2024 22:30,17.76,0
60,9/30/2024 22:45,17.855,0
61,9/30/2024 23:00,17.76,0
62,9/30/2024 23:15,17.76,0
63,9/30/2024 23:30,17.855,0
64,9/30/2024 23:45,17.76,0
65,10/1/2024 0:00,17.855,0
66,10/1/2024 0:15,17.855,0
67,10/1/2024 0:30,17.855,0
68,10/1/2024 0:45,17.95,0
69,10/1/2024 1:00,18.045,0
70,10/1/2024 1:15,17.95,0
71,10/1/2024 1:30,17.95,0
72,10/1/2024 1:45,17.95,0
73,10/1/2024 2:00,17.95,0
74,10/1/2024 2:15,17.95,0
75,10/1/2024 2:30,17.855,0
76,10/1/2024 2:45,18.045,0
77,10/1/2024 3:00,17.95,0
78,10/1/2024 3:15,18.045,0
79,10/1/2024 3:30,18.045,0
80,10/1/2024 3:45,18.045,0
81,10/1/2024 4:00,18.14,0
82,10/1/2024 4:15,18.14,0
83,10/1/2024 4:30,18.045,0
84,10/1/2024 4:45,18.045,0
85,10/1/2024 5:00,18.045,0
86,10/1/2024 5:15,18.14,0
87,10/1/2024 5:30,18.14,0
88,10/1/2024 5:45,18.14,0
89,10/1/2024 6:00,18.045,0
90,10/1/2024 6:15,17.76,0
91,10/1/2024 6:30,17.95,1
92,10/1/2024 6:45,18.045,16
93,10/1/2024 7:00,17.95,53
