reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,4/16/2024 8:00,18.521,0
2,4/16/2024 8:15,18.521,0
3,4/16/2024 8:30,21.091,12288
4,4/16/2024 8:45,17.094,22
5,4/16/2024 9:00,17.094,4
6,4/16/2024 9:15,17.189,768
7,4/16/2024 9:30,17.284,800
8,4/16/2024 9:45,11.819,960
9,4/16/2024 10:00,11.334,1344
10,4/16/2024 10:15,11.431,1216
11,4/16/2024 10:30,11.625,1920
12,4/16/2024 10:45,11.722,1792
13,4/16/2024 11:00,11.722,1664
14,4/16/2024 11:15,11.916,1792
15,4/16/2024 11:30,12.013,1984
16,4/16/2024 11:45,12.11,2048
17,4/16/2024 12:00,12.11,2048
18,4/16/2024 12:15,12.11,1728
19,4/16/2024 12:30,12.11,1920
20,4/16/2024 12:45,11.625,1920
21,4/16/2024 13:00,11.431,2304
22,4/16/2024 13:15,11.236,416
23,4/16/2024 13:30,11.334,1728
24,4/16/2024 13:45,11.236,1600
25,4/16/2024 14:00,11.334,1280
26,4/16/2024 14:15,11.431,1280
27,4/16/2024 14:30,11.139,1344
28,4/16/2024 14:45,11.528,1152
29,4/16/2024 15:00,12.304,1024
30,4/16/2024 15:15,12.304,960
31,4/16/2024 15:30,12.304,800
32,4/16/2024 15:45,12.304,800
33,4/16/2024 16:00,12.401,672
34,4/16/2024 16:15,12.304,608
35,4/16/2024 16:30,12.304,512
36,4/16/2024 16:45,12.207,480
37,4/16/2024 17:00,12.207,480
38,4/16/2024 17:15,12.11,432
39,4/16/2024 17:30,12.11,352
40,4/16/2024 17:45,12.013,272
41,4/16/2024 18:00,12.013,216
42,4/16/2024 18:15,11.916,176
43,4/16/2024 18:30,11.916,118
44,4/16/2024 18:45,11.916,84
45,4/16/2024 19:00,11.916,43
46,4/16/2024 19:15,11.916,18
47,4/16/2024 19:30,11.916,3
48,4/16/2024 19:45,11.819,0
49,4/16/2024 20:00,11.819,0
50,4/16/2024 20:15,11.819,0
51,4/16/2024 20:30,11.722,0
52,4/16/2024 20:45,11.722,0
53,4/16/2024 21:00,11.722,0
54,4/16/2024 21:15,11.431,0
55,4/16/2024 21:30,10.846,0
56,4/16/2024 21:45,10.357,0
57,4/16/2024 22:00,9.866,0
58,4/16/2024 22:15,9.571,0
59,4/16/2024 22:30,9.373,0
60,4/16/2024 22:45,9.373,0
61,4/16/2024 23:00,9.373,0
62,4/16/2024 23:15,9.275,0
63,4/16/2024 23:30,9.373,0
64,4/16/2024 23:45,9.373,0
65,4/17/2024 0:00,9.373,0
66,4/17/2024 0:15,9.373,0
67,4/17/2024 0:30,9.373,0
68,4/17/2024 0:45,9.571,0
69,4/17/2024 1:00,9.965,0
70,4/17/2024 1:15,11.139,0
71,4/17/2024 1:30,10.944,0
72,4/17/2024 1:45,10.651,0
73,4/17/2024 2:00,10.553,0
74,4/17/2024 2:15,9.965,0
75,4/17/2024 2:30,9.768,0
76,4/17/2024 2:45,9.768,0
77,4/17/2024 3:00,9.768,0
78,4/17/2024 3:15,9.768,0
79,4/17/2024 3:30,9.669,0
80,4/17/2024 3:45,9.669,0
81,4/17/2024 4:00,9.571,0
82,4/17/2024 4:15,9.275,0
83,4/17/2024 4:30,9.275,0
84,4/17/2024 4:45,9.275,0
85,4/17/2024 5:00,8.978,0
86,4/17/2024 5:15,9.077,0
87,4/17/2024 5:30,9.373,0
88,4/17/2024 5:45,9.275,0
89,4/17/2024 6:00,9.373,7
90,4/17/2024 6:15,9.571,26
91,4/17/2024 6:30,9.571,50
92,4/17/2024 6:45,9.571,68
93,4/17/2024 7:00,9.669,85
94,4/17/2024 7:15,9.768,240
95,4/17/2024 7:30,9.768,336
96,4/17/2024 7:45,9.866,400
97,4/17/2024 8:00,9.965,480
98,4/17/2024 8:15,10.063,704
99,4/17/2024 8:30,10.161,800
100,4/17/2024 8:45,10.259,864
101,4/17/2024 9:00,10.357,992
102,4/17/2024 9:15,10.357,1152
103,4/17/2024 9:30,10.553,1152
104,4/17/2024 9:45,10.651,1536
105,4/17/2024 10:00,10.748,1472
106,4/17/2024 10:15,10.846,2176
107,4/17/2024 10:30,10.944,2816
108,4/17/2024 10:45,11.041,1536
109,4/17/2024 11:00,11.041,1728
110,4/17/2024 11:15,11.236,2176
111,4/17/2024 11:30,11.139,1536
112,4/17/2024 11:45,11.139,1408
113,4/17/2024 12:00,11.334,1600
114,4/17/2024 12:15,11.625,2048
115,4/17/2024 12:30,11.625,2816
116,4/17/2024 12:45,11.916,1728
117,4/17/2024 13:00,12.207,2944
118,4/17/2024 13:15,12.207,2688
119,4/17/2024 13:30,12.304,2176
120,4/17/2024 13:45,12.11,1152
121,4/17/2024 14:00,11.916,960
122,4/17/2024 14:15,12.497,1408
123,4/17/2024 14:30,12.401,1536
124,4/17/2024 14:45,12.69,2432
125,4/17/2024 15:00,12.401,1728
126,4/17/2024 15:15,12.11,896
127,4/17/2024 15:30,12.013,384
128,4/17/2024 15:45,12.11,672
129,4/17/2024 16:00,12.013,136
130,4/17/2024 16:15,11.819,83
131,4/17/2024 16:30,11.916,200
132,4/17/2024 16:45,12.11,168
133,4/17/2024 17:00,11.916,47
134,4/17/2024 17:15,11.625,46
135,4/17/2024 17:30,11.722,35
136,4/17/2024 17:45,11.916,45
137,4/17/2024 18:00,11.916,38
138,4/17/2024 18:15,11.916,28
139,4/17/2024 18:30,11.528,18
140,4/17/2024 18:45,11.528,24
141,4/17/2024 19:00,11.431,10
142,4/17/2024 19:15,11.528,2
143,4/17/2024 19:30,11.625,0
144,4/17/2024 19:45,11.625,0
145,4/17/2024 20:00,11.625,0
146,4/17/2024 20:15,11.528,0
147,4/17/2024 20:30,11.431,0
148,4/17/2024 20:45,11.431,0
149,4/17/2024 21:00,11.334,0
150,4/17/2024 21:15,11.431,0
151,4/17/2024 21:30,11.334,0
152,4/17/2024 21:45,11.334,0
153,4/17/2024 22:00,11.334,0
154,4/17/2024 22:15,11.236,0
155,4/17/2024 22:30,11.236,0
156,4/17/2024 22:45,11.236,0
157,4/17/2024 23:00,11.236,0
158,4/17/2024 23:15,11.236,0
159,4/17/2024 23:30,11.236,0
160,4/17/2024 23:45,11.236,0
161,4/18/2024 0:00,11.236,0
162,4/18/2024 0:15,11.236,0
163,4/18/2024 0:30,11.139,0
164,4/18/2024 0:45,11.139,0
165,4/18/2024 1:00,11.139,0
166,4/18/2024 1:15,11.139,0
167,4/18/2024 1:30,11.139,0
168,4/18/2024 1:45,11.139,0
169,4/18/2024 2:00,11.139,0
170,4/18/2024 2:15,11.139,0
171,4/18/2024 2:30,11.139,0
172,4/18/2024 2:45,11.139,0
173,4/18/2024 3:00,11.139,0
174,4/18/2024 3:15,11.139,0
175,4/18/2024 3:30,11.041,0
176,4/18/2024 3:45,11.041,0
177,4/18/2024 4:00,11.041,0
178,4/18/2024 4:15,10.944,0
179,4/18/2024 4:30,10.944,0
180,4/18/2024 4:45,10.944,0
181,4/18/2024 5:00,10.846,0
182,4/18/2024 5:15,10.846,0
183,4/18/2024 5:30,10.846,0
184,4/18/2024 5:45,10.846,0
185,4/18/2024 6:00,10.846,0
186,4/18/2024 6:15,10.846,4
187,4/18/2024 6:30,10.846,25
188,4/18/2024 6:45,10.846,31
189,4/18/2024 7:00,10.846,53
190,4/18/2024 7:15,10.846,91
191,4/18/2024 7:30,10.748,65
192,4/18/2024 7:45,10.748,79
193,4/18/2024 8:00,10.748,117
194,4/18/2024 8:15,10.748,126
195,4/18/2024 8:30,10.748,176
196,4/18/2024 8:45,10.748,168
197,4/18/2024 9:00,10.651,216
198,4/18/2024 9:15,10.651,176
199,4/18/2024 9:30,10.651,168
200,4/18/2024 9:45,10.748,336
201,4/18/2024 10:00,10.748,448
202,4/18/2024 10:15,10.846,512
203,4/18/2024 10:30,10.748,400
204,4/18/2024 10:45,10.748,400
205,4/18/2024 11:00,10.846,464
206,4/18/2024 11:15,10.846,416
207,4/18/2024 11:30,10.748,304
208,4/18/2024 11:45,10.748,272
209,4/18/2024 12:00,10.748,304
210,4/18/2024 12:15,10.748,336
211,4/18/2024 12:30,10.748,448
212,4/18/2024 12:45,10.748,480
213,4/18/2024 13:00,10.846,512
214,4/18/2024 13:15,10.846,672
215,4/18/2024 13:30,10.846,576
216,4/18/2024 13:45,10.748,480
217,4/18/2024 14:00,10.748,480
218,4/18/2024 14:15,10.748,480
219,4/18/2024 14:30,10.748,464
220,4/18/2024 14:45,10.651,320
221,4/18/2024 15:00,10.651,304
222,4/18/2024 15:15,10.553,320
223,4/18/2024 15:30,10.553,288
224,4/18/2024 15:45,10.553,272
225,4/18/2024 16:00,10.553,232
226,4/18/2024 16:15,10.553,200
227,4/18/2024 16:30,10.553,208
228,4/18/2024 16:45,10.553,216
229,4/18/2024 17:00,10.553,232
230,4/18/2024 17:15,10.553,168
231,4/18/2024 17:30,10.455,67
232,4/18/2024 17:45,10.455,43
233,4/18/2024 18:00,10.455,40
234,4/18/2024 18:15,10.455,57
235,4/18/2024 18:30,10.455,56
236,4/18/2024 18:45,10.455,22
237,4/18/2024 19:00,10.357,9
238,4/18/2024 19:15,10.357,5
239,4/18/2024 19:30,10.357,0
240,4/18/2024 19:45,10.357,0
241,4/18/2024 20:00,10.357,0
242,4/18/2024 20:15,10.357,0
243,4/18/2024 20:30,10.357,0
244,4/18/2024 20:45,10.357,0
245,4/18/2024 21:00,10.357,0
246,4/18/2024 21:15,10.357,0
247,4/18/2024 21:30,10.357,0
248,4/18/2024 21:45,10.357,0
249,4/18/2024 22:00,10.357,0
250,4/18/2024 22:15,10.357,0
251,4/18/2024 22:30,10.357,0
252,4/18/2024 22:45,10.259,0
253,4/18/2024 23:00,10.259,0
254,4/18/2024 23:15,10.259,0
255,4/18/2024 23:30,10.259,0
256,4/18/2024 23:45,10.259,0
257,4/19/2024 0:00,10.259,0
258,4/19/2024 0:15,10.259,0
259,4/19/2024 0:30,10.259,0
260,4/19/2024 0:45,10.161,0
261,4/19/2024 1:00,10.161,0
262,4/19/2024 1:15,10.259,0
263,4/19/2024 1:30,10.259,0
264,4/19/2024 1:45,10.161,0
265,4/19/2024 2:00,10.161,0
266,4/19/2024 2:15,10.161,0
267,4/19/2024 2:30,10.161,0
268,4/19/2024 2:45,10.161,0
269,4/19/2024 3:00,10.161,0
270,4/19/2024 3:15,10.161,0
271,4/19/2024 3:30,10.161,0
272,4/19/2024 3:45,10.161,0
273,4/19/2024 4:00,10.063,0
274,4/19/2024 4:15,10.063,0
275,4/19/2024 4:30,10.063,0
276,4/19/2024 4:45,10.063,0
277,4/19/2024 5:00,10.063,0
278,4/19/2024 5:15,10.063,0
279,4/19/2024 5:30,10.063,0
280,4/19/2024 5:45,10.063,0
281,4/19/2024 6:00,10.063,2
282,4/19/2024 6:15,10.063,11
283,4/19/2024 6:30,10.063,22
284,4/19/2024 6:45,10.063,40
285,4/19/2024 7:00,10.063,55
286,4/19/2024 7:15,10.063,79
287,4/19/2024 7:30,10.063,128
288,4/19/2024 7:45,10.161,184
289,4/19/2024 8:00,10.161,240
290,4/19/2024 8:15,10.161,336
291,4/19/2024 8:30,10.161,464
292,4/19/2024 8:45,10.357,768
293,4/19/2024 9:00,10.357,864
294,4/19/2024 9:15,10.357,896
295,4/19/2024 9:30,10.455,1280
296,4/19/2024 9:45,10.553,1152
297,4/19/2024 10:00,10.651,1280
298,4/19/2024 10:15,10.651,1216
299,4/19/2024 10:30,10.748,2048
300,4/19/2024 10:45,10.944,1920
301,4/19/2024 11:00,11.139,2304
302,4/19/2024 11:15,11.139,1728
