reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,6/4/2025 8:00,21.569,576
2,6/4/2025 8:15,24.931,1152
3,6/4/2025 8:30,21.951,112
4,6/4/2025 8:45,22.525,224
5,6/4/2025 9:00,24.738,256
6,6/4/2025 9:15,22.046,384
7,6/4/2025 9:30,21.664,2560
8,6/4/2025 9:45,22.142,7424
9,6/4/2025 10:00,13.558,1344
10,6/4/2025 10:15,13.654,1728
11,6/4/2025 10:30,13.846,2304
12,6/4/2025 10:45,14.134,2048
13,6/4/2025 11:00,14.421,2304
14,6/4/2025 11:15,14.613,2560
15,6/4/2025 11:30,14.804,2816
16,6/4/2025 11:45,15.187,3840
17,6/4/2025 12:00,15.473,3072
18,6/4/2025 12:15,15.76,4352
19,6/4/2025 12:30,16.046,5120
20,6/4/2025 12:45,16.141,2304
21,6/4/2025 13:00,16.332,2176
22,6/4/2025 13:15,16.523,4864
23,6/4/2025 13:30,16.618,5120
24,6/4/2025 13:45,16.713,3584
25,6/4/2025 14:00,16.523,3840
26,6/4/2025 14:15,16.523,3712
27,6/4/2025 14:30,16.523,1728
28,6/4/2025 14:45,15.76,1792
29,6/4/2025 15:00,14.709,3200
30,6/4/2025 15:15,14.325,1856
31,6/4/2025 15:30,14.325,1536
32,6/4/2025 15:45,14.517,1344
33,6/4/2025 16:00,14.9,1472
34,6/4/2025 16:15,14.9,1088
35,6/4/2025 16:30,14.804,768
36,6/4/2025 16:45,14.517,896
37,6/4/2025 17:00,14.325,512
38,6/4/2025 17:15,13.942,480
39,6/4/2025 17:30,13.461,432
40,6/4/2025 17:45,12.98,304
41,6/4/2025 18:00,12.69,272
42,6/4/2025 18:15,12.69,248
43,6/4/2025 18:30,12.497,192
44,6/4/2025 18:45,12.304,136
45,6/4/2025 19:00,12.304,92
46,6/4/2025 19:15,12.207,44
47,6/4/2025 19:30,12.304,33
48,6/4/2025 19:45,11.916,25
49,6/4/2025 20:00,11.819,17
50,6/4/2025 20:15,12.013,4
51,6/4/2025 20:30,12.401,0
52,6/4/2025 20:45,12.98,0
53,6/4/2025 21:00,13.365,0
54,6/4/2025 21:15,13.461,0
55,6/4/2025 21:30,13.558,0
56,6/4/2025 21:45,13.654,0
57,6/4/2025 22:00,13.846,0
58,6/4/2025 22:15,13.75,0
59,6/4/2025 22:30,13.846,0
60,6/4/2025 22:45,14.134,0
61,6/4/2025 23:00,14.134,0
62,6/4/2025 23:15,14.325,0
63,6/4/2025 23:30,14.325,0
64,6/4/2025 23:45,14.325,0
65,6/5/2025 0:00,14.421,0
66,6/5/2025 0:15,14.517,0
67,6/5/2025 0:30,14.613,0
68,6/5/2025 0:45,14.804,0
69,6/5/2025 1:00,15.187,0
70,6/5/2025 1:15,15.473,0
71,6/5/2025 1:30,15.664,0
72,6/5/2025 1:45,15.664,0
73,6/5/2025 2:00,15.473,0
74,6/5/2025 2:15,15.187,0
75,6/5/2025 2:30,14.996,0
76,6/5/2025 2:45,14.709,0
77,6/5/2025 3:00,14.613,0
78,6/5/2025 3:15,14.517,0
79,6/5/2025 3:30,14.325,0
80,6/5/2025 3:45,13.75,0
81,6/5/2025 4:00,13.365,0
82,6/5/2025 4:15,13.558,0
83,6/5/2025 4:30,13.846,0
84,6/5/2025 4:45,14.038,0
85,6/5/2025 5:00,14.038,2
86,6/5/2025 5:15,13.942,12
87,6/5/2025 5:30,13.654,30
88,6/5/2025 5:45,13.461,51
89,6/5/2025 6:00,12.98,83
90,6/5/2025 6:15,12.594,106
91,6/5/2025 6:30,12.304,121
92,6/5/2025 6:45,11.916,144
93,6/5/2025 7:00,11.722,168
94,6/5/2025 7:15,11.625,192
95,6/5/2025 7:30,11.625,208
96,6/5/2025 7:45,11.625,240
97,6/5/2025 8:00,11.722,304
98,6/5/2025 8:15,11.819,336
99,6/5/2025 8:30,11.916,256
100,6/5/2025 8:45,12.013,320
101,6/5/2025 9:00,12.304,608
102,6/5/2025 9:15,12.69,768
103,6/5/2025 9:30,13.173,256
104,6/5/2025 9:45,13.461,672
105,6/5/2025 10:00,13.75,1280
106,6/5/2025 10:15,14.325,2176
107,6/5/2025 10:30,14.613,1152
108,6/5/2025 10:45,14.23,1664
109,6/5/2025 11:00,13.942,2688
110,6/5/2025 11:15,14.038,2560
111,6/5/2025 11:30,14.421,2432
112,6/5/2025 11:45,14.709,2432
113,6/5/2025 12:00,14.804,4608
114,6/5/2025 12:15,14.996,2944
115,6/5/2025 12:30,15.091,1856
116,6/5/2025 12:45,15.378,4864
117,6/5/2025 13:00,15.664,3840
118,6/5/2025 13:15,15.76,5376
119,6/5/2025 13:30,15.855,3328
120,6/5/2025 13:45,16.141,3968
121,6/5/2025 14:00,16.523,7680
122,6/5/2025 14:15,16.523,13312
123,6/5/2025 14:30,17.284,3968
124,6/5/2025 14:45,17.57,5376
125,6/5/2025 15:00,17.76,3200
126,6/5/2025 15:15,17.284,2560
127,6/5/2025 15:30,16.808,3712
128,6/5/2025 15:45,16.046,2048
129,6/5/2025 16:00,15.664,2176
130,6/5/2025 16:15,15.282,1600
131,6/5/2025 16:30,15.378,1920
132,6/5/2025 16:45,15.569,1344
133,6/5/2025 17:00,15.569,1408
134,6/5/2025 17:15,15.378,1024
135,6/5/2025 17:30,14.804,480
136,6/5/2025 17:45,14.421,512
137,6/5/2025 18:00,14.23,368
138,6/5/2025 18:15,13.942,304
139,6/5/2025 18:30,13.846,192
140,6/5/2025 18:45,13.75,176
141,6/5/2025 19:00,13.75,160
142,6/5/2025 19:15,13.654,116
143,6/5/2025 19:30,13.558,65
144,6/5/2025 19:45,13.461,36
145,6/5/2025 20:00,13.365,14
146,6/5/2025 20:15,13.365,2
147,6/5/2025 20:30,13.269,0
148,6/5/2025 20:45,12.883,0
149,6/5/2025 21:00,12.594,0
150,6/5/2025 21:15,12.497,0
151,6/5/2025 21:30,12.69,0
