reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,5/8/2025 9:00,23.196,0
2,5/8/2025 9:15,22.717,0
3,5/8/2025 9:30,23.1,0
4,5/8/2025 9:45,25.416,0
5,5/8/2025 10:00,25.125,0
6,5/8/2025 10:15,23.484,0
7,5/8/2025 10:30,22.046,0
8,5/8/2025 10:45,23.004,0
9,5/8/2025 11:00,23.581,0
10,5/8/2025 11:15,25.513,0
11,5/8/2025 11:30,25.902,0
12,5/8/2025 11:45,25.416,0
13,5/8/2025 12:00,22.142,1
14,5/8/2025 12:15,21.282,0
15,5/8/2025 12:30,20.71,0
16,5/8/2025 12:45,20.805,432
17,5/8/2025 13:00,29.552,3200
18,5/8/2025 13:15,31.88,4352
19,5/8/2025 13:30,32.911,3584
20,5/8/2025 13:45,22.717,352
21,5/8/2025 14:00,15.664,960
22,5/8/2025 14:15,13.942,1472
23,5/8/2025 14:30,14.325,1408
24,5/8/2025 14:45,14.613,2560
25,5/8/2025 15:00,13.942,1664
26,5/8/2025 15:15,13.942,1472
27,5/8/2025 15:30,14.134,1088
28,5/8/2025 15:45,13.173,1216
29,5/8/2025 16:00,13.269,1536
30,5/8/2025 16:15,12.69,1344
31,5/8/2025 16:30,12.787,1536
32,5/8/2025 16:45,12.594,608
33,5/8/2025 17:00,12.401,336
34,5/8/2025 17:15,11.819,368
35,5/8/2025 17:30,11.819,480
36,5/8/2025 17:45,11.722,368
37,5/8/2025 18:00,11.431,160
38,5/8/2025 18:15,11.334,304
39,5/8/2025 18:30,10.846,160
40,5/8/2025 18:45,10.748,87
41,5/8/2025 19:00,10.748,41
42,5/8/2025 19:15,9.866,14
43,5/8/2025 19:30,9.669,3
44,5/8/2025 19:45,9.472,0
45,5/8/2025 20:00,9.373,0
46,5/8/2025 20:15,9.373,0
47,5/8/2025 20:30,9.275,0
48,5/8/2025 20:45,9.275,0
49,5/8/2025 21:00,9.275,0
50,5/8/2025 21:15,9.176,0
51,5/8/2025 21:30,9.176,0
52,5/8/2025 21:45,9.176,0
53,5/8/2025 22:00,9.176,0
54,5/8/2025 22:15,9.275,0
55,5/8/2025 22:30,9.275,0
56,5/8/2025 22:45,9.275,0
57,5/8/2025 23:00,9.373,0
58,5/8/2025 23:15,9.373,0
59,5/8/2025 23:30,9.472,0
60,5/8/2025 23:45,9.472,0
61,5/9/2025 0:00,9.472,0
62,5/9/2025 0:15,9.768,0
63,5/9/2025 0:30,9.965,0
64,5/9/2025 0:45,10.063,0
65,5/9/2025 1:00,10.357,0
66,5/9/2025 1:15,10.553,0
67,5/9/2025 1:30,10.651,0
68,5/9/2025 1:45,10.651,0
69,5/9/2025 2:00,10.944,0
70,5/9/2025 2:15,11.041,0
71,5/9/2025 2:30,10.944,0
72,5/9/2025 2:45,10.455,0
73,5/9/2025 3:00,10.357,0
74,5/9/2025 3:15,10.748,0
75,5/9/2025 3:30,11.041,0
76,5/9/2025 3:45,11.139,0
77,5/9/2025 4:00,11.625,0
78,5/9/2025 4:15,11.819,0
79,5/9/2025 4:30,11.916,0
80,5/9/2025 4:45,11.236,0
81,5/9/2025 5:00,11.334,0
82,5/9/2025 5:15,11.334,0
83,5/9/2025 5:30,11.334,2
84,5/9/2025 5:45,11.431,12
85,5/9/2025 6:00,11.722,10
86,5/9/2025 6:15,12.013,24
87,5/9/2025 6:30,12.11,40
88,5/9/2025 6:45,11.916,41
89,5/9/2025 7:00,11.722,37
90,5/9/2025 7:15,11.528,59
91,5/9/2025 7:30,10.553,49
92,5/9/2025 7:45,10.846,61
93,5/9/2025 8:00,10.944,66
94,5/9/2025 8:15,10.553,89
95,5/9/2025 8:30,10.455,102
96,5/9/2025 8:45,10.357,108
97,5/9/2025 9:00,10.357,120
98,5/9/2025 9:15,10.357,123
99,5/9/2025 9:30,10.357,120
100,5/9/2025 9:45,10.357,168
101,5/9/2025 10:00,10.455,176
102,5/9/2025 10:15,10.455,126
103,5/9/2025 10:30,10.455,160
104,5/9/2025 10:45,10.455,128
105,5/9/2025 11:00,10.455,118
106,5/9/2025 11:15,10.651,144
107,5/9/2025 11:30,10.651,168
108,5/9/2025 11:45,10.748,184
109,5/9/2025 12:00,10.846,136
110,5/9/2025 12:15,11.041,94
111,5/9/2025 12:30,11.139,116
112,5/9/2025 12:45,11.139,136
113,5/9/2025 13:00,11.236,144
114,5/9/2025 13:15,11.236,192
115,5/9/2025 13:30,11.334,232
116,5/9/2025 13:45,11.334,248
117,5/9/2025 14:00,11.334,240
118,5/9/2025 14:15,11.334,240
119,5/9/2025 14:30,11.334,232
120,5/9/2025 14:45,11.431,168
121,5/9/2025 15:00,11.431,224
122,5/9/2025 15:15,11.431,288
123,5/9/2025 15:30,11.431,224
124,5/9/2025 15:45,11.431,192
125,5/9/2025 16:00,11.431,160
126,5/9/2025 16:15,11.431,152
127,5/9/2025 16:30,11.431,160
128,5/9/2025 16:45,11.431,78
129,5/9/2025 17:00,11.431,67
130,5/9/2025 17:15,11.431,66
131,5/9/2025 17:30,11.334,59
132,5/9/2025 17:45,11.334,42
133,5/9/2025 18:00,11.334,35
134,5/9/2025 18:15,11.334,31
135,5/9/2025 18:30,11.431,22
136,5/9/2025 18:45,11.431,6
137,5/9/2025 19:00,11.431,6
138,5/9/2025 19:15,11.431,6
139,5/9/2025 19:30,11.431,0
140,5/9/2025 19:45,11.431,0
141,5/9/2025 20:00,11.431,0
142,5/9/2025 20:15,11.334,0
143,5/9/2025 20:30,11.236,0
144,5/9/2025 20:45,11.139,0
145,5/9/2025 21:00,10.161,0
146,5/9/2025 21:15,9.275,0
147,5/9/2025 21:30,9.965,0
