reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,4/16/2024 8:00,20.043,0
2,4/16/2024 8:15,19.472,0
3,4/16/2024 8:30,19.092,5
4,4/16/2024 8:45,22.142,1152
5,4/16/2024 9:00,20.424,0
6,4/16/2024 9:15,20.138,0
7,4/16/2024 9:30,19.187,0
8,4/16/2024 9:45,18.711,0
9,4/16/2024 10:00,20.138,0
10,4/16/2024 10:15,21.855,0
11,4/16/2024 10:30,26,0
12,4/16/2024 10:45,26.097,0
13,4/16/2024 11:00,23.292,0
14,4/16/2024 11:15,22.238,1
15,4/16/2024 11:30,25.416,0
16,4/16/2024 11:45,25.125,0
17,4/16/2024 12:00,24.835,0
18,4/16/2024 12:15,30.054,608
19,4/16/2024 12:30,30.76,0
20,4/16/2024 12:45,28.06,2
21,4/16/2024 13:00,28.258,0
22,4/16/2024 13:15,32.086,2
23,4/16/2024 13:30,33.014,0
24,4/16/2024 13:45,32.394,0
25,4/16/2024 14:00,29.552,0
26,4/16/2024 14:15,28.456,0
27,4/16/2024 14:30,27.075,4
28,4/16/2024 14:45,24.448,55
29,4/16/2024 15:00,23.773,44
30,4/16/2024 15:15,23.581,2
31,4/16/2024 15:30,23.581,2
32,4/16/2024 15:45,23.581,2
33,4/16/2024 16:00,24.255,0
34,4/16/2024 16:15,24.062,0
35,4/16/2024 16:30,23.773,0
36,4/16/2024 16:45,23.581,0
37,4/16/2024 17:00,23.484,0
38,4/16/2024 17:15,23.388,0
39,4/16/2024 17:30,23.292,0
40,4/16/2024 17:45,23.292,0
41,4/16/2024 18:00,23.292,0
42,4/16/2024 18:15,23.196,0
43,4/16/2024 18:30,23.196,0
44,4/16/2024 18:45,23.196,0
45,4/16/2024 19:00,23.004,0
46,4/16/2024 19:15,23.004,0
47,4/16/2024 19:30,22.908,0
48,4/16/2024 19:45,22.717,0
49,4/16/2024 20:00,22.429,0
50,4/16/2024 20:15,22.142,0
51,4/16/2024 20:30,21.855,0
52,4/16/2024 20:45,21.473,0
53,4/16/2024 21:00,21.091,0
54,4/16/2024 21:15,20.71,0
55,4/16/2024 21:30,20.234,0
56,4/16/2024 21:45,19.758,0
57,4/16/2024 22:00,19.377,0
58,4/16/2024 22:15,19.187,0
59,4/16/2024 22:30,19.092,0
60,4/16/2024 22:45,19.187,0
61,4/16/2024 23:00,19.377,0
62,4/16/2024 23:15,19.662,0
63,4/16/2024 23:30,19.662,0
64,4/16/2024 23:45,18.521,0
65,4/17/2024 0:00,18.14,0
66,4/17/2024 0:15,17.855,0
67,4/17/2024 0:30,17.57,0
68,4/17/2024 0:45,17.284,0
69,4/17/2024 1:00,16.999,0
70,4/17/2024 1:15,16.618,0
71,4/17/2024 1:30,16.237,0
72,4/17/2024 1:45,15.951,0
73,4/17/2024 2:00,15.569,0
74,4/17/2024 2:15,15.187,0
75,4/17/2024 2:30,14.804,0
76,4/17/2024 2:45,14.421,0
77,4/17/2024 3:00,14.038,0
78,4/17/2024 3:15,13.654,0
79,4/17/2024 3:30,13.269,0
80,4/17/2024 3:45,12.883,0
81,4/17/2024 4:00,12.497,0
82,4/17/2024 4:15,12.11,0
83,4/17/2024 4:30,11.722,0
84,4/17/2024 4:45,11.431,0
85,4/17/2024 5:00,11.041,0
86,4/17/2024 5:15,10.748,0
87,4/17/2024 5:30,10.357,0
88,4/17/2024 5:45,10.063,0
89,4/17/2024 6:00,9.866,0
90,4/17/2024 6:15,11.334,0
91,4/17/2024 6:30,13.558,0
92,4/17/2024 6:45,14.421,0
93,4/17/2024 7:00,16.046,0
94,4/17/2024 7:15,18.14,0
95,4/17/2024 7:30,19.948,0
96,4/17/2024 7:45,22.429,0
97,4/17/2024 8:00,23.869,0
98,4/17/2024 8:15,24.931,0
99,4/17/2024 8:30,25.222,0
100,4/17/2024 8:45,24.448,0
