reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,5/1/2025 14:00,24.351,1
2,5/1/2025 14:15,23.196,0
3,5/1/2025 14:30,22.238,3
4,5/1/2025 14:45,21.855,2
5,5/1/2025 15:00,23.388,0
6,5/1/2025 15:15,23.773,0
7,5/1/2025 15:30,23.869,1
8,5/1/2025 15:45,23.773,960
9,5/1/2025 16:00,24.545,608
10,5/1/2025 16:15,25.805,2176
11,5/1/2025 16:30,22.908,0
12,5/1/2025 16:45,21.473,39
13,5/1/2025 17:00,21.282,44
14,5/1/2025 17:15,21.187,26
15,5/1/2025 17:30,20.901,44
16,5/1/2025 17:45,21.569,464
17,5/1/2025 18:00,13.269,992
18,5/1/2025 18:15,11.528,480
19,5/1/2025 18:30,11.431,576
20,5/1/2025 18:45,11.334,464
21,5/1/2025 19:00,11.236,240
22,5/1/2025 19:15,11.236,200
23,5/1/2025 19:30,11.139,56
24,5/1/2025 19:45,11.139,10
25,5/1/2025 20:00,11.041,0
26,5/1/2025 20:15,11.041,0
27,5/1/2025 20:30,11.139,0
28,5/1/2025 20:45,11.236,0
29,5/1/2025 21:00,11.236,0
30,5/1/2025 21:15,11.236,0
31,5/1/2025 21:30,11.236,0
32,5/1/2025 21:45,11.139,0
33,5/1/2025 22:00,11.041,0
34,5/1/2025 22:15,11.041,0
35,5/1/2025 22:30,10.944,0
36,5/1/2025 22:45,10.846,0
37,5/1/2025 23:00,10.846,0
38,5/1/2025 23:15,10.846,0
39,5/1/2025 23:30,10.944,0
40,5/1/2025 23:45,10.944,0
41,5/2/2025 0:00,10.944,0
42,5/2/2025 0:15,10.846,0
43,5/2/2025 0:30,10.846,0
44,5/2/2025 0:45,10.846,0
45,5/2/2025 1:00,10.846,0
46,5/2/2025 1:15,10.846,0
47,5/2/2025 1:30,10.846,0
48,5/2/2025 1:45,10.846,0
49,5/2/2025 2:00,10.846,0
50,5/2/2025 2:15,10.748,0
51,5/2/2025 2:30,10.748,0
52,5/2/2025 2:45,10.748,0
53,5/2/2025 3:00,10.748,0
54,5/2/2025 3:15,10.748,0
55,5/2/2025 3:30,10.748,0
56,5/2/2025 3:45,10.748,0
57,5/2/2025 4:00,10.748,0
58,5/2/2025 4:15,10.748,0
59,5/2/2025 4:30,10.748,0
60,5/2/2025 4:45,10.748,0
61,5/2/2025 5:00,10.651,0
62,5/2/2025 5:15,10.748,0
63,5/2/2025 5:30,10.748,0
64,5/2/2025 5:45,10.748,4
65,5/2/2025 6:00,10.748,12
66,5/2/2025 6:15,10.748,11
67,5/2/2025 6:30,10.748,18
68,5/2/2025 6:45,10.748,66
69,5/2/2025 7:00,10.846,103
70,5/2/2025 7:15,10.846,288
71,5/2/2025 7:30,10.944,432
72,5/2/2025 7:45,11.041,896
73,5/2/2025 8:00,11.236,1152
74,5/2/2025 8:15,11.236,1088
75,5/2/2025 8:30,11.236,864
76,5/2/2025 8:45,11.625,1920
77,5/2/2025 9:00,11.916,3072
78,5/2/2025 9:15,12.11,1600
79,5/2/2025 9:30,12.11,2304
80,5/2/2025 9:45,12.207,1920
81,5/2/2025 10:00,12.69,3328
82,5/2/2025 10:15,12.883,3584
83,5/2/2025 10:30,13.076,4096
84,5/2/2025 10:45,12.883,5120
85,5/2/2025 11:00,12.594,3328
86,5/2/2025 11:15,12.98,2560
87,5/2/2025 11:30,12.883,3200
88,5/2/2025 11:45,13.076,4096
89,5/2/2025 12:00,13.269,4096
90,5/2/2025 12:15,13.173,4864
91,5/2/2025 12:30,13.269,6144
92,5/2/2025 12:45,13.269,7168
93,5/2/2025 13:00,12.787,3456
94,5/2/2025 13:15,12.497,2432
95,5/2/2025 13:30,12.787,3584
96,5/2/2025 13:45,12.594,2432
97,5/2/2025 14:00,12.594,2816
98,5/2/2025 14:15,13.365,4096
99,5/2/2025 14:30,13.461,4096
100,5/2/2025 14:45,13.365,4096
101,5/2/2025 15:00,13.365,3968
102,5/2/2025 15:15,13.365,4096
103,5/2/2025 15:30,13.461,3200
104,5/2/2025 15:45,14.038,6400
105,5/2/2025 16:00,13.654,4864
106,5/2/2025 16:15,12.883,2432
107,5/2/2025 16:30,13.365,3200
108,5/2/2025 16:45,13.076,1920
109,5/2/2025 17:00,13.076,2304
110,5/2/2025 17:15,12.497,1536
111,5/2/2025 17:30,12.304,1856
112,5/2/2025 17:45,12.11,1728
113,5/2/2025 18:00,11.916,768
114,5/2/2025 18:15,11.819,608
115,5/2/2025 18:30,11.722,672
116,5/2/2025 18:45,11.431,184
117,5/2/2025 19:00,11.528,240
118,5/2/2025 19:15,11.431,144
119,5/2/2025 19:30,11.334,48
120,5/2/2025 19:45,11.334,18
121,5/2/2025 20:00,11.334,0
122,5/2/2025 20:15,11.334,0
123,5/2/2025 20:30,11.334,0
124,5/2/2025 20:45,11.334,0
125,5/2/2025 21:00,11.334,0
126,5/2/2025 21:15,11.334,0
127,5/2/2025 21:30,11.334,0
128,5/2/2025 21:45,11.334,0
