reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,5/15/2024 8:00,22.429,0
2,5/15/2024 8:15,22.812,0
3,5/15/2024 8:30,21.951,3
4,5/15/2024 8:45,21.282,0
5,5/15/2024 9:00,20.71,1
6,5/15/2024 9:15,18.806,1
7,5/15/2024 9:30,18.045,5
8,5/15/2024 9:45,18.711,0
9,5/15/2024 10:00,19.092,1
10,5/15/2024 10:15,19.662,1
11,5/15/2024 10:30,20.329,6
12,5/15/2024 10:45,18.616,0
13,5/15/2024 11:00,18.045,0
14,5/15/2024 11:15,18.236,0
15,5/15/2024 11:30,20.519,1
16,5/15/2024 11:45,22.717,0
17,5/15/2024 12:00,25.513,0
18,5/15/2024 12:15,27.862,0
19,5/15/2024 12:30,29.352,0
20,5/15/2024 12:45,29.953,0
21,5/15/2024 13:00,30.356,3
22,5/15/2024 13:15,21.664,1536
23,5/15/2024 13:30,18.236,704
24,5/15/2024 13:45,16.713,368
25,5/15/2024 14:00,16.523,320
26,5/15/2024 14:15,16.332,272
27,5/15/2024 14:30,15.951,160
28,5/15/2024 14:45,15.951,464
29,5/15/2024 15:00,15.664,608
30,5/15/2024 15:15,15.378,448
31,5/15/2024 15:30,15.282,416
32,5/15/2024 15:45,15.091,288
33,5/15/2024 16:00,14.996,336
34,5/15/2024 16:15,14.804,320
35,5/15/2024 16:30,14.709,304
36,5/15/2024 16:45,14.613,248
37,5/15/2024 17:00,14.517,240
38,5/15/2024 17:15,14.613,232
39,5/15/2024 17:30,14.517,176
40,5/15/2024 17:45,14.421,128
41,5/15/2024 18:00,14.421,63
42,5/15/2024 18:15,14.421,49
43,5/15/2024 18:30,14.421,49
44,5/15/2024 18:45,14.421,43
45,5/15/2024 19:00,14.421,33
46,5/15/2024 19:15,14.421,23
47,5/15/2024 19:30,14.517,11
48,5/15/2024 19:45,14.517,1
49,5/15/2024 20:00,14.613,0
50,5/15/2024 20:15,14.804,0
51,5/15/2024 20:30,15.187,0
52,5/15/2024 20:45,15.664,0
53,5/15/2024 21:00,15.76,0
54,5/15/2024 21:15,15.855,0
55,5/15/2024 21:30,16.046,0
56,5/15/2024 21:45,16.046,0
57,5/15/2024 22:00,16.141,0
58,5/15/2024 22:15,16.237,0
59,5/15/2024 22:30,16.427,0
60,5/15/2024 22:45,16.523,0
61,5/15/2024 23:00,16.618,0
62,5/15/2024 23:15,16.618,0
63,5/15/2024 23:30,16.618,0
64,5/15/2024 23:45,16.618,0
65,5/16/2024 0:00,16.523,0
66,5/16/2024 0:15,16.523,0
67,5/16/2024 0:30,16.523,0
68,5/16/2024 0:45,16.427,0
69,5/16/2024 1:00,16.427,0
70,5/16/2024 1:15,16.427,0
71,5/16/2024 1:30,16.332,0
72,5/16/2024 1:45,16.237,0
73,5/16/2024 2:00,16.141,0
74,5/16/2024 2:15,15.76,0
75,5/16/2024 2:30,15.378,0
