"","site.id","date.deployment","mean.lum.per.sqrft","med.lum.per.sqrft","min.lum.per.sqrft","max.lum.per.sqrft"
"1","AQ",2024-05-07,350.946314102564,65,0,3968
"2","AQ",2024-09-30,93.3205128205128,0,0,1344
"3","AQ",2025-05-08,241.544070512821,49,0,2816
"4","CB",2024-05-07,590.951121794872,107.5,0,8704
"5","CB",2024-09-30,209.044070512821,0,0,2176
"6","CB",2025-05-08,303.016826923077,45.5,0,4096
"7","CI",2024-05-15,500.894230769231,36.5,0,7168
"8","CI",2025-06-04,531.449519230769,128,0,13312
"9","DC",2024-05-07,488.257211538462,103,0,5120
"10","DC",2024-09-30,167.186698717949,0,0,1664
"11","DC",2025-05-08,217.365384615385,41,0,2304
"12","LH",2024-05-15,357.329326923077,74.5,0,3456
"13","PC",2024-05-15,814.186698717949,136,0,19456
"14","PC",2024-10-08,338.370192307692,0,0,8192
"15","SH",2024-05-15,808.106570512821,176,0,9216
"16","SH",2024-10-08,365.322916666667,0,0,6400
"17","SH",2025-06-04,787.94391025641,216,0,11776
"18","WB",2024-05-07,313.798878205128,69.5,0,2560
"19","WB",2024-10-22,69.5865384615385,0,0,464
"20","WB",2025-05-08,264.306891025641,59.5,0,3072
"21","WB",2025-07-15,238.858173076923,64,0,1920
