reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,5/7/2024 9:00,24.255,1
2,5/7/2024 9:15,24.448,2
3,5/7/2024 9:30,22.238,0
4,5/7/2024 9:45,21.282,1
5,5/7/2024 10:00,22.908,0
6,5/7/2024 10:15,24.255,0
7,5/7/2024 10:30,23.869,0
8,5/7/2024 10:45,23.004,0
9,5/7/2024 11:00,20.805,2688
10,5/7/2024 11:15,12.787,70
11,5/7/2024 11:30,10.259,1088
12,5/7/2024 11:45,10.357,1536
13,5/7/2024 12:00,10.357,1664
14,5/7/2024 12:15,10.357,1152
15,5/7/2024 12:30,10.455,1664
16,5/7/2024 12:45,10.455,1920
17,5/7/2024 13:00,10.553,1728
18,5/7/2024 13:15,10.553,1472
19,5/7/2024 13:30,10.553,1408
20,5/7/2024 13:45,10.553,1344
21,5/7/2024 14:00,10.553,1600
22,5/7/2024 14:15,10.651,1664
23,5/7/2024 14:30,10.651,1920
24,5/7/2024 14:45,10.553,2304
25,5/7/2024 15:00,10.553,1536
26,5/7/2024 15:15,10.651,1984
27,5/7/2024 15:30,10.651,1536
28,5/7/2024 15:45,10.651,1664
29,5/7/2024 16:00,10.651,2304
30,5/7/2024 16:15,10.748,1280
31,5/7/2024 16:30,10.748,1664
32,5/7/2024 16:45,10.748,1408
33,5/7/2024 17:00,10.748,1344
34,5/7/2024 17:15,10.748,1088
35,5/7/2024 17:30,10.748,1152
36,5/7/2024 17:45,10.846,800
37,5/7/2024 18:00,10.846,480
38,5/7/2024 18:15,10.944,432
39,5/7/2024 18:30,11.041,288
40,5/7/2024 18:45,11.334,232
41,5/7/2024 19:00,11.334,144
42,5/7/2024 19:15,10.651,86
43,5/7/2024 19:30,10.748,37
44,5/7/2024 19:45,10.944,9
45,5/7/2024 20:00,11.041,0
46,5/7/2024 20:15,10.846,0
47,5/7/2024 20:30,10.553,0
48,5/7/2024 20:45,10.553,0
49,5/7/2024 21:00,10.553,0
50,5/7/2024 21:15,10.651,0
51,5/7/2024 21:30,10.748,0
52,5/7/2024 21:45,10.748,0
53,5/7/2024 22:00,10.651,0
54,5/7/2024 22:15,10.651,0
55,5/7/2024 22:30,10.651,0
56,5/7/2024 22:45,10.651,0
57,5/7/2024 23:00,10.651,0
58,5/7/2024 23:15,10.553,0
59,5/7/2024 23:30,10.553,0
60,5/7/2024 23:45,10.553,0
61,5/8/2024 0:00,10.553,0
62,5/8/2024 0:15,10.553,0
63,5/8/2024 0:30,10.651,0
64,5/8/2024 0:45,10.553,0
65,5/8/2024 1:00,10.455,0
66,5/8/2024 1:15,10.259,0
67,5/8/2024 1:30,10.063,0
68,5/8/2024 1:45,9.866,0
69,5/8/2024 2:00,9.866,0
70,5/8/2024 2:15,9.866,0
71,5/8/2024 2:30,9.768,0
72,5/8/2024 2:45,9.768,0
73,5/8/2024 3:00,9.768,0
74,5/8/2024 3:15,9.669,0
75,5/8/2024 3:30,9.571,0
76,5/8/2024 3:45,9.669,0
77,5/8/2024 4:00,9.669,0
78,5/8/2024 4:15,9.768,0
79,5/8/2024 4:30,9.866,0
80,5/8/2024 4:45,9.866,0
81,5/8/2024 5:00,9.965,0
82,5/8/2024 5:15,9.965,0
83,5/8/2024 5:30,9.866,10
84,5/8/2024 5:45,9.866,40
85,5/8/2024 6:00,9.866,116
86,5/8/2024 6:15,9.965,208
87,5/8/2024 6:30,10.161,232
88,5/8/2024 6:45,10.455,352
89,5/8/2024 7:00,10.748,184
90,5/8/2024 7:15,10.944,160
91,5/8/2024 7:30,11.041,432
92,5/8/2024 7:45,11.139,496
