"Plot Title: Niles Beach"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 21982335, SEN S/N: 21982335)","Intensity, lum/ft² (LGR S/N: 21982335, SEN S/N: 21982335)","End Of File (LGR S/N: 21982335)"
1,06/03/24 08:00:00 AM,19.282,10.0,
2,06/03/24 08:15:00 AM,19.758,14.0,
3,06/03/24 08:30:00 AM,20.234,16.0,
4,06/03/24 08:45:00 AM,21.091,31.0,
5,06/03/24 09:00:00 AM,22.333,75.0,
6,06/03/24 09:15:00 AM,23.484,71.0,
7,06/03/24 09:30:00 AM,24.641,200.0,
8,06/03/24 09:45:00 AM,27.961,5120.0,
9,06/03/24 10:00:00 AM,37.604,14336.0,
10,06/03/24 10:15:00 AM,24.351,17408.0,
11,06/03/24 10:30:00 AM,16.046,1792.0,
12,06/03/24 10:45:00 AM,15.951,2304.0,
13,06/03/24 11:00:00 AM,16.523,2560.0,
14,06/03/24 11:15:00 AM,16.999,2560.0,
15,06/03/24 11:30:00 AM,17.189,2816.0,
16,06/03/24 11:45:00 AM,17.189,3200.0,
17,06/03/24 12:00:00 PM,17.379,4096.0,
18,06/03/24 12:15:00 PM,17.570,3968.0,
19,06/03/24 12:30:00 PM,17.665,3712.0,
20,06/03/24 12:45:00 PM,17.855,3968.0,
21,06/03/24 01:00:00 PM,18.045,8192.0,
22,06/03/24 01:15:00 PM,18.236,15360.0,
23,06/03/24 01:30:00 PM,18.521,8192.0,
24,06/03/24 01:45:00 PM,19.472,17408.0,
25,06/03/24 02:00:00 PM,20.805,14336.0,
26,06/03/24 02:15:00 PM,24.835,16384.0,
27,06/03/24 02:30:00 PM,27.961,16384.0,
28,06/03/24 02:45:00 PM,28.655,15360.0,
29,06/03/24 03:00:00 PM,28.555,14336.0,
30,06/03/24 03:15:00 PM,27.272,12800.0,
31,06/03/24 03:30:00 PM,27.468,11264.0,
32,06/03/24 03:45:00 PM,26.683,9728.0,
33,06/03/24 04:00:00 PM,17.950,2432.0,
34,06/03/24 04:15:00 PM,16.237,1344.0,
35,06/03/24 04:30:00 PM,14.804,896.0,
36,06/03/24 04:45:00 PM,14.230,896.0,
37,06/03/24 05:00:00 PM,13.942,768.0,
38,06/03/24 05:15:00 PM,14.038,896.0,
39,06/03/24 05:30:00 PM,13.173,512.0,
40,06/03/24 05:45:00 PM,13.558,416.0,
41,06/03/24 06:00:00 PM,13.558,320.0,
42,06/03/24 06:15:00 PM,14.230,288.0,
43,06/03/24 06:30:00 PM,15.378,224.0,
44,06/03/24 06:45:00 PM,15.473,176.0,
45,06/03/24 07:00:00 PM,15.569,128.0,
46,06/03/24 07:15:00 PM,15.569,99.0,
47,06/03/24 07:30:00 PM,15.569,84.0,
48,06/03/24 07:45:00 PM,15.569,60.0,
49,06/03/24 08:00:00 PM,15.569,30.0,
50,06/03/24 08:15:00 PM,15.569,7.0,
51,06/03/24 08:30:00 PM,14.804,0.0,
52,06/03/24 08:45:00 PM,14.804,0.0,
53,06/03/24 09:00:00 PM,14.709,0.0,
54,06/03/24 09:15:00 PM,14.804,0.0,
55,06/03/24 09:30:00 PM,14.517,0.0,
56,06/03/24 09:45:00 PM,14.230,0.0,
57,06/03/24 10:00:00 PM,14.230,0.0,
58,06/03/24 10:15:00 PM,14.230,0.0,
59,06/03/24 10:30:00 PM,14.038,0.0,
60,06/03/24 10:45:00 PM,14.038,0.0,
61,06/03/24 11:00:00 PM,14.038,0.0,
62,06/03/24 11:15:00 PM,14.134,0.0,
63,06/03/24 11:30:00 PM,14.230,0.0,
64,06/03/24 11:45:00 PM,14.421,0.0,
65,06/04/24 12:00:00 AM,14.421,0.0,
66,06/04/24 12:15:00 AM,14.613,0.0,
67,06/04/24 12:30:00 AM,14.900,0.0,
68,06/04/24 12:45:00 AM,14.900,0.0,
69,06/04/24 01:00:00 AM,14.900,0.0,
70,06/04/24 01:15:00 AM,14.996,0.0,
71,06/04/24 01:30:00 AM,15.091,0.0,
72,06/04/24 01:45:00 AM,15.091,0.0,
73,06/04/24 02:00:00 AM,15.091,0.0,
74,06/04/24 02:15:00 AM,14.996,0.0,
75,06/04/24 02:30:00 AM,13.846,0.0,
76,06/04/24 02:45:00 AM,13.750,0.0,
77,06/04/24 03:00:00 AM,13.558,0.0,
78,06/04/24 03:15:00 AM,13.461,0.0,
79,06/04/24 03:30:00 AM,13.365,0.0,
80,06/04/24 03:45:00 AM,13.365,0.0,
81,06/04/24 04:00:00 AM,13.269,0.0,
82,06/04/24 04:15:00 AM,12.304,0.0,
83,06/04/24 04:30:00 AM,12.207,0.0,
84,06/04/24 04:45:00 AM,12.013,5.0,
85,06/04/24 05:00:00 AM,12.110,35.0,
86,06/04/24 05:15:00 AM,12.497,152.0,
87,06/04/24 05:30:00 AM,14.804,144.0,
88,06/04/24 05:45:00 AM,14.900,184.0,
89,06/04/24 06:00:00 AM,14.996,248.0,
90,06/04/24 06:15:00 AM,14.996,432.0,
91,06/04/24 06:30:00 AM,15.091,608.0,
92,06/04/24 06:45:00 AM,15.091,672.0,
93,06/04/24 07:00:00 AM,15.091,768.0,
94,06/04/24 07:15:00 AM,14.900,1088.0,
95,06/04/24 07:30:00 AM,14.804,1088.0,
96,06/04/24 07:45:00 AM,14.517,1024.0,
97,06/04/24 08:00:00 AM,14.038,1152.0,
98,06/04/24 08:15:00 AM,13.942,1408.0,
99,06/04/24 08:30:00 AM,13.942,1216.0,
100,06/04/24 08:45:00 AM,14.421,1408.0,
101,06/04/24 09:00:00 AM,14.804,2048.0,
102,06/04/24 09:15:00 AM,14.804,1600.0,
103,06/04/24 09:30:00 AM,14.900,2048.0,
104,06/04/24 09:45:00 AM,15.091,2176.0,
105,06/04/24 10:00:00 AM,15.282,2048.0,
106,06/04/24 10:15:00 AM,15.473,2432.0,
107,06/04/24 10:30:00 AM,15.760,2304.0,
108,06/04/24 10:45:00 AM,15.855,3072.0,
109,06/04/24 11:00:00 AM,15.951,3584.0,
110,06/04/24 11:15:00 AM,16.046,3328.0,
111,06/04/24 11:30:00 AM,16.141,3072.0,
112,06/04/24 11:45:00 AM,16.427,2688.0,
113,06/04/24 12:00:00 PM,16.427,2560.0,
114,06/04/24 12:15:00 PM,16.427,3328.0,
115,06/04/24 12:30:00 PM,16.713,7424.0,
116,06/04/24 12:45:00 PM,16.903,4352.0,
117,06/04/24 01:00:00 PM,17.284,4608.0,
118,06/04/24 01:15:00 PM,17.475,4608.0,
119,06/04/24 01:30:00 PM,17.950,5632.0,
120,06/04/24 01:45:00 PM,18.331,2688.0,
121,06/04/24 02:00:00 PM,19.377,3968.0,
122,06/04/24 02:15:00 PM,19.662,3456.0,
123,06/04/24 02:30:00 PM,20.329,4608.0,
124,06/04/24 02:45:00 PM,21.473,8192.0,
125,06/04/24 03:00:00 PM,22.525,8704.0,
126,06/04/24 03:15:00 PM,23.484,8704.0,
127,06/04/24 03:30:00 PM,25.513,10240.0,
128,06/04/24 03:45:00 PM,26.390,8704.0,
129,06/04/24 04:00:00 PM,24.062,7168.0,
130,06/04/24 04:15:00 PM,26.585,7680.0,
131,06/04/24 04:30:00 PM,26.000,5632.0,
