reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,4/16/2024 8:00,18.426,0
2,4/16/2024 8:15,18.901,0
3,4/16/2024 8:30,19.567,36
4,4/16/2024 8:45,18.616,63
5,4/16/2024 9:00,19.472,0
6,4/16/2024 9:15,19.948,0
7,4/16/2024 9:30,18.901,0
8,4/16/2024 9:45,18.806,0
9,4/16/2024 10:00,19.472,0
10,4/16/2024 10:15,21.951,0
11,4/16/2024 10:30,25.902,0
12,4/16/2024 10:45,25.222,1
13,4/16/2024 11:00,24.158,0
14,4/16/2024 11:15,23.484,0
15,4/16/2024 11:30,24.835,0
16,4/16/2024 11:45,23.388,0
17,4/16/2024 12:00,24.158,0
18,4/16/2024 12:15,29.252,1536
19,4/16/2024 12:30,23.484,400
20,4/16/2024 12:45,19.948,800
21,4/16/2024 13:00,11.139,1920
22,4/16/2024 13:15,10.748,2304
23,4/16/2024 13:30,11.625,2560
24,4/16/2024 13:45,11.334,3072
25,4/16/2024 14:00,10.944,3200
26,4/16/2024 14:15,11.041,2944
27,4/16/2024 14:30,10.553,1920
28,4/16/2024 14:45,12.013,3968
29,4/16/2024 15:00,13.269,2176
30,4/16/2024 15:15,13.269,2432
31,4/16/2024 15:30,12.98,2432
32,4/16/2024 15:45,13.076,1536
33,4/16/2024 16:00,12.787,2560
34,4/16/2024 16:15,12.69,1344
35,4/16/2024 16:30,12.304,480
36,4/16/2024 16:45,12.304,1408
37,4/16/2024 17:00,12.013,1472
38,4/16/2024 17:15,11.916,864
39,4/16/2024 17:30,12.013,768
40,4/16/2024 17:45,12.11,608
41,4/16/2024 18:00,12.207,480
42,4/16/2024 18:15,12.11,272
43,4/16/2024 18:30,12.207,368
44,4/16/2024 18:45,12.11,272
45,4/16/2024 19:00,12.11,88
46,4/16/2024 19:15,12.013,32
47,4/16/2024 19:30,12.013,5
48,4/16/2024 19:45,12.207,0
49,4/16/2024 20:00,12.304,0
50,4/16/2024 20:15,12.013,0
51,4/16/2024 20:30,12.11,0
52,4/16/2024 20:45,12.304,0
53,4/16/2024 21:00,12.207,0
54,4/16/2024 21:15,12.304,0
55,4/16/2024 21:30,12.304,0
56,4/16/2024 21:45,12.401,0
57,4/16/2024 22:00,12.304,0
58,4/16/2024 22:15,12.207,0
59,4/16/2024 22:30,11.722,0
60,4/16/2024 22:45,11.625,0
61,4/16/2024 23:00,11.528,0
62,4/16/2024 23:15,11.819,0
63,4/16/2024 23:30,11.431,0
64,4/16/2024 23:45,11.236,0
65,4/17/2024 0:00,11.528,0
66,4/17/2024 0:15,11.431,0
67,4/17/2024 0:30,11.722,0
68,4/17/2024 0:45,12.013,0
69,4/17/2024 1:00,11.722,0
70,4/17/2024 1:15,12.013,0
71,4/17/2024 1:30,11.431,0
72,4/17/2024 1:45,11.916,0
73,4/17/2024 2:00,11.139,0
74,4/17/2024 2:15,10.651,0
75,4/17/2024 2:30,10.944,0
76,4/17/2024 2:45,10.748,0
77,4/17/2024 3:00,10.846,0
78,4/17/2024 3:15,10.944,0
79,4/17/2024 3:30,10.944,0
80,4/17/2024 3:45,10.944,0
81,4/17/2024 4:00,10.944,0
82,4/17/2024 4:15,10.846,0
83,4/17/2024 4:30,10.748,0
84,4/17/2024 4:45,10.748,0
85,4/17/2024 5:00,10.748,0
86,4/17/2024 5:15,10.651,0
87,4/17/2024 5:30,10.651,0
88,4/17/2024 5:45,10.651,0
89,4/17/2024 6:00,10.651,12
90,4/17/2024 6:15,10.748,36
91,4/17/2024 6:30,10.748,72
92,4/17/2024 6:45,10.846,112
93,4/17/2024 7:00,10.944,144
94,4/17/2024 7:15,10.944,200
95,4/17/2024 7:30,11.041,304
96,4/17/2024 7:45,11.139,432
97,4/17/2024 8:00,11.334,320
98,4/17/2024 8:15,11.431,480
99,4/17/2024 8:30,11.625,464
100,4/17/2024 8:45,11.722,672
101,4/17/2024 9:00,11.722,768
102,4/17/2024 9:15,11.916,1152
103,4/17/2024 9:30,12.013,1024
104,4/17/2024 9:45,12.207,992
105,4/17/2024 10:00,12.207,1216
106,4/17/2024 10:15,12.497,1600
107,4/17/2024 10:30,12.69,1856
108,4/17/2024 10:45,12.98,2176
109,4/17/2024 11:00,12.883,2432
110,4/17/2024 11:15,13.269,2432
111,4/17/2024 11:30,13.365,2048
112,4/17/2024 11:45,13.269,3456
113,4/17/2024 12:00,13.654,4864
114,4/17/2024 12:15,13.654,3456
115,4/17/2024 12:30,13.654,1920
116,4/17/2024 12:45,13.942,1920
117,4/17/2024 13:00,13.365,2048
118,4/17/2024 13:15,13.461,4608
119,4/17/2024 13:30,13.846,2816
120,4/17/2024 13:45,13.365,2176
121,4/17/2024 14:00,13.558,2048
122,4/17/2024 14:15,13.269,3200
123,4/17/2024 14:30,13.269,2176
124,4/17/2024 14:45,12.98,2560
125,4/17/2024 15:00,12.98,1920
126,4/17/2024 15:15,13.461,2048
127,4/17/2024 15:30,13.461,896
128,4/17/2024 15:45,13.558,1152
129,4/17/2024 16:00,13.461,480
130,4/17/2024 16:15,13.461,496
131,4/17/2024 16:30,13.365,576
132,4/17/2024 16:45,12.883,272
133,4/17/2024 17:00,12.69,107
134,4/17/2024 17:15,12.69,85
135,4/17/2024 17:30,12.497,75
136,4/17/2024 17:45,12.401,80
137,4/17/2024 18:00,12.304,78
138,4/17/2024 18:15,12.207,82
139,4/17/2024 18:30,12.304,62
140,4/17/2024 18:45,12.69,65
141,4/17/2024 19:00,12.787,33
142,4/17/2024 19:15,12.69,11
143,4/17/2024 19:30,12.207,0
144,4/17/2024 19:45,12.207,0
145,4/17/2024 20:00,12.98,0
146,4/17/2024 20:15,12.787,0
147,4/17/2024 20:30,12.787,0
148,4/17/2024 20:45,12.69,0
149,4/17/2024 21:00,12.69,0
150,4/17/2024 21:15,12.594,0
151,4/17/2024 21:30,12.69,0
152,4/17/2024 21:45,12.69,0
153,4/17/2024 22:00,12.594,0
154,4/17/2024 22:15,12.594,0
155,4/17/2024 22:30,12.594,0
156,4/17/2024 22:45,12.594,0
157,4/17/2024 23:00,12.69,0
158,4/17/2024 23:15,12.69,0
159,4/17/2024 23:30,12.594,0
160,4/17/2024 23:45,12.594,0
161,4/18/2024 0:00,12.594,0
162,4/18/2024 0:15,12.69,0
163,4/18/2024 0:30,12.69,0
164,4/18/2024 0:45,12.69,0
165,4/18/2024 1:00,12.594,0
166,4/18/2024 1:15,12.497,0
167,4/18/2024 1:30,12.401,0
168,4/18/2024 1:45,12.013,0
169,4/18/2024 2:00,12.401,0
170,4/18/2024 2:15,11.334,0
171,4/18/2024 2:30,11.625,0
172,4/18/2024 2:45,11.722,0
173,4/18/2024 3:00,11.916,0
174,4/18/2024 3:15,11.916,0
175,4/18/2024 3:30,11.722,0
176,4/18/2024 3:45,11.722,0
177,4/18/2024 4:00,11.236,0
178,4/18/2024 4:15,11.334,0
179,4/18/2024 4:30,11.431,0
180,4/18/2024 4:45,11.334,0
181,4/18/2024 5:00,10.553,0
182,4/18/2024 5:15,10.944,0
183,4/18/2024 5:30,11.139,0
184,4/18/2024 5:45,11.139,0
185,4/18/2024 6:00,11.236,2
186,4/18/2024 6:15,11.334,11
187,4/18/2024 6:30,11.041,30
188,4/18/2024 6:45,10.944,57
189,4/18/2024 7:00,11.041,76
190,4/18/2024 7:15,11.139,64
191,4/18/2024 7:30,11.041,44
192,4/18/2024 7:45,11.041,80
193,4/18/2024 8:00,11.041,216
194,4/18/2024 8:15,11.041,184
195,4/18/2024 8:30,11.236,144
196,4/18/2024 8:45,11.334,136
197,4/18/2024 9:00,11.431,112
198,4/18/2024 9:15,11.236,168
199,4/18/2024 9:30,11.431,216
200,4/18/2024 9:45,11.236,248
201,4/18/2024 10:00,11.334,272
202,4/18/2024 10:15,11.431,368
203,4/18/2024 10:30,11.722,512
204,4/18/2024 10:45,11.722,576
205,4/18/2024 11:00,11.722,512
206,4/18/2024 11:15,11.625,608
207,4/18/2024 11:30,11.528,704
208,4/18/2024 11:45,11.722,800
209,4/18/2024 12:00,11.722,512
210,4/18/2024 12:15,11.722,608
