reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,10/8/2024 8:00,20.805,29
2,10/8/2024 8:15,19.282,29
3,10/8/2024 8:30,16.046,0
4,10/8/2024 8:45,16.046,1
5,10/8/2024 9:00,16.523,0
6,10/8/2024 9:15,17.855,1
7,10/8/2024 9:30,18.521,1
8,10/8/2024 9:45,18.045,4
9,10/8/2024 10:00,18.521,4
10,10/8/2024 10:15,18.14,2
11,10/8/2024 10:30,18.711,1
12,10/8/2024 10:45,17.95,10
13,10/8/2024 11:00,18.996,0
14,10/8/2024 11:15,19.662,0
15,10/8/2024 11:30,19.092,0
16,10/8/2024 11:45,16.618,704
17,10/8/2024 12:00,16.713,2048
18,10/8/2024 12:15,16.999,1408
19,10/8/2024 12:30,16.999,960
20,10/8/2024 12:45,16.999,1216
21,10/8/2024 13:00,16.903,1344
22,10/8/2024 13:15,16.999,992
23,10/8/2024 13:30,17.094,960
24,10/8/2024 13:45,16.903,704
25,10/8/2024 14:00,16.808,800
26,10/8/2024 14:15,16.713,704
27,10/8/2024 14:30,16.713,480
28,10/8/2024 14:45,16.713,384
29,10/8/2024 15:00,16.713,336
30,10/8/2024 15:15,16.618,304
31,10/8/2024 15:30,16.618,272
32,10/8/2024 15:45,16.618,256
33,10/8/2024 16:00,16.618,192
34,10/8/2024 16:15,16.523,160
35,10/8/2024 16:30,16.523,168
36,10/8/2024 16:45,16.523,136
37,10/8/2024 17:00,16.332,106
38,10/8/2024 17:15,16.046,87
39,10/8/2024 17:30,16.046,63
40,10/8/2024 17:45,16.046,42
41,10/8/2024 18:00,16.046,21
42,10/8/2024 18:15,16.332,5
43,10/8/2024 18:30,16.427,0
44,10/8/2024 18:45,16.427,0
45,10/8/2024 19:00,16.427,0
46,10/8/2024 19:15,16.523,0
47,10/8/2024 19:30,16.523,0
48,10/8/2024 19:45,16.523,0
49,10/8/2024 20:00,16.618,0
50,10/8/2024 20:15,16.523,0
51,10/8/2024 20:30,16.523,0
52,10/8/2024 20:45,16.427,0
53,10/8/2024 21:00,16.427,0
54,10/8/2024 21:15,16.427,0
55,10/8/2024 21:30,16.332,0
56,10/8/2024 21:45,16.332,0
57,10/8/2024 22:00,16.332,0
58,10/8/2024 22:15,16.237,0
59,10/8/2024 22:30,16.237,0
60,10/8/2024 22:45,16.237,0
61,10/8/2024 23:00,16.332,0
62,10/8/2024 23:15,16.332,0
63,10/8/2024 23:30,16.332,0
64,10/8/2024 23:45,16.332,0
65,10/9/2024 0:00,16.332,0
66,10/9/2024 0:15,16.237,0
67,10/9/2024 0:30,16.237,0
68,10/9/2024 0:45,16.237,0
