reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,12/10/2024 8:00,9.275,0
2,12/10/2024 8:15,8.481,0
3,12/10/2024 8:30,8.282,0
4,12/10/2024 8:45,9.275,0
5,12/10/2024 9:00,11.722,7
6,12/10/2024 9:15,6.877,480
7,12/10/2024 9:30,6.166,304
8,12/10/2024 9:45,6.978,368
9,12/10/2024 10:00,6.978,480
10,12/10/2024 10:15,7.079,576
11,12/10/2024 10:30,6.978,608
12,12/10/2024 10:45,7.079,608
13,12/10/2024 11:00,7.079,672
14,12/10/2024 11:15,7.079,608
15,12/10/2024 11:30,7.079,512
16,12/10/2024 11:45,7.882,496
17,12/10/2024 12:00,8.382,432
18,12/10/2024 12:15,8.382,480
19,12/10/2024 12:30,8.481,416
20,12/10/2024 12:45,8.581,400
21,12/10/2024 13:00,8.581,464
22,12/10/2024 13:15,8.581,320
23,12/10/2024 13:30,8.581,272
24,12/10/2024 13:45,8.68,304
25,12/10/2024 14:00,8.68,232
26,12/10/2024 14:15,8.68,200
27,12/10/2024 14:30,8.68,128
28,12/10/2024 14:45,8.68,184
29,12/10/2024 15:00,8.581,107
30,12/10/2024 15:15,8.581,48
31,12/10/2024 15:30,8.581,28
32,12/10/2024 15:45,8.581,30
33,12/10/2024 16:00,8.481,12
34,12/10/2024 16:15,8.481,2
35,12/10/2024 16:30,8.481,0
36,12/10/2024 16:45,8.382,0
37,12/10/2024 17:00,8.382,0
38,12/10/2024 17:15,8.382,0
39,12/10/2024 17:30,8.382,0
40,12/10/2024 17:45,8.282,0
41,12/10/2024 18:00,8.182,0
42,12/10/2024 18:15,8.082,0
43,12/10/2024 18:30,7.983,0
44,12/10/2024 18:45,7.882,0
45,12/10/2024 19:00,7.782,0
46,12/10/2024 19:15,7.582,0
47,12/10/2024 19:30,7.481,0
48,12/10/2024 19:45,7.381,0
49,12/10/2024 20:00,7.28,0
50,12/10/2024 20:15,7.079,0
51,12/10/2024 20:30,7.079,0
52,12/10/2024 20:45,6.978,0
53,12/10/2024 21:00,6.877,0
54,12/10/2024 21:15,6.775,0
55,12/10/2024 21:30,6.775,0
56,12/10/2024 21:45,6.775,0
57,12/10/2024 22:00,6.877,0
58,12/10/2024 22:15,6.877,0
59,12/10/2024 22:30,6.978,0
60,12/10/2024 22:45,7.28,0
61,12/10/2024 23:00,7.481,0
62,12/10/2024 23:15,8.182,0
63,12/10/2024 23:30,8.282,0
64,12/10/2024 23:45,8.481,0
65,12/11/2024 0:00,8.481,0
66,12/11/2024 0:15,8.481,0
67,12/11/2024 0:30,8.481,0
68,12/11/2024 0:45,8.481,0
69,12/11/2024 1:00,8.481,0
70,12/11/2024 1:15,8.581,0
71,12/11/2024 1:30,8.581,0
72,12/11/2024 1:45,8.581,0
73,12/11/2024 2:00,8.581,0
74,12/11/2024 2:15,8.581,0
75,12/11/2024 2:30,8.581,0
76,12/11/2024 2:45,8.68,0
77,12/11/2024 3:00,8.68,0
78,12/11/2024 3:15,8.68,0
79,12/11/2024 3:30,8.68,0
80,12/11/2024 3:45,8.68,0
81,12/11/2024 4:00,8.68,0
82,12/11/2024 4:15,8.68,0
83,12/11/2024 4:30,8.779,0
84,12/11/2024 4:45,8.779,0
85,12/11/2024 5:00,8.779,0
86,12/11/2024 5:15,8.779,0
87,12/11/2024 5:30,8.779,0
88,12/11/2024 5:45,8.879,0
89,12/11/2024 6:00,8.779,0
90,12/11/2024 6:15,8.779,0
91,12/11/2024 6:30,8.68,0
92,12/11/2024 6:45,8.779,0
93,12/11/2024 7:00,8.779,2
94,12/11/2024 7:15,8.779,2
95,12/11/2024 7:30,8.879,4
96,12/11/2024 7:45,8.879,8
97,12/11/2024 8:00,8.779,7
98,12/11/2024 8:15,8.779,15
99,12/11/2024 8:30,8.879,32
100,12/11/2024 8:45,8.879,47
101,12/11/2024 9:00,8.779,40
102,12/11/2024 9:15,8.581,46
103,12/11/2024 9:30,8.481,110
104,12/11/2024 9:45,8.382,192
105,12/11/2024 10:00,8.382,144
106,12/11/2024 10:15,8.382,160
107,12/11/2024 10:30,8.481,74
108,12/11/2024 10:45,8.481,72
109,12/11/2024 11:00,8.382,81
110,12/11/2024 11:15,8.282,152
111,12/11/2024 11:30,8.382,41
112,12/11/2024 11:45,8.282,128
113,12/11/2024 12:00,8.382,160
114,12/11/2024 12:15,8.879,79
115,12/11/2024 12:30,8.879,56
116,12/11/2024 12:45,8.879,65
117,12/11/2024 13:00,8.879,50
