reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,4/30/2024 15:30,23.196,0
2,4/30/2024 15:45,23.484,0
3,4/30/2024 16:00,23.004,0
4,4/30/2024 16:15,22.812,0
5,4/30/2024 16:30,22.621,0
6,4/30/2024 16:45,22.621,0
7,4/30/2024 17:00,22.621,0
8,4/30/2024 17:15,22.621,0
9,4/30/2024 17:30,22.717,0
10,4/30/2024 17:45,22.717,0
11,4/30/2024 18:00,22.717,0
12,4/30/2024 18:15,22.717,0
13,4/30/2024 18:30,22.717,0
14,4/30/2024 18:45,22.621,0
15,4/30/2024 19:00,22.621,0
16,4/30/2024 19:15,22.525,0
17,4/30/2024 19:30,22.525,0
18,4/30/2024 19:45,22.429,0
19,4/30/2024 20:00,22.429,0
20,4/30/2024 20:15,22.333,0
21,4/30/2024 20:30,22.333,0
22,4/30/2024 20:45,22.333,0
23,4/30/2024 21:00,22.333,0
24,4/30/2024 21:15,22.333,0
25,4/30/2024 21:30,22.333,0
26,4/30/2024 21:45,22.238,0
27,4/30/2024 22:00,22.238,0
28,4/30/2024 22:15,22.238,0
29,4/30/2024 22:30,22.238,0
30,4/30/2024 22:45,22.238,0
31,4/30/2024 23:00,22.238,0
32,4/30/2024 23:15,22.238,0
33,4/30/2024 23:30,22.238,0
34,4/30/2024 23:45,22.333,0
35,5/1/2024 0:00,22.333,0
36,5/1/2024 0:15,22.333,0
37,5/1/2024 0:30,22.333,0
38,5/1/2024 0:45,22.333,0
39,5/1/2024 1:00,22.238,0
40,5/1/2024 1:15,22.333,0
41,5/1/2024 1:30,22.333,0
42,5/1/2024 1:45,22.238,0
43,5/1/2024 2:00,22.238,0
44,5/1/2024 2:15,22.238,0
45,5/1/2024 2:30,22.238,0
46,5/1/2024 2:45,22.238,0
47,5/1/2024 3:00,22.238,0
48,5/1/2024 3:15,22.238,0
49,5/1/2024 3:30,22.238,0
50,5/1/2024 3:45,22.238,0
51,5/1/2024 4:00,22.238,0
52,5/1/2024 4:15,22.238,0
53,5/1/2024 4:30,22.238,0
54,5/1/2024 4:45,22.333,0
55,5/1/2024 5:00,22.238,0
56,5/1/2024 5:15,22.238,0
57,5/1/2024 5:30,22.238,0
58,5/1/2024 5:45,22.238,0
59,5/1/2024 6:00,22.238,0
60,5/1/2024 6:15,22.333,0
61,5/1/2024 6:30,22.333,0
62,5/1/2024 6:45,22.429,0
63,5/1/2024 7:00,22.812,0
64,5/1/2024 7:15,23.1,0
65,5/1/2024 7:30,23.388,0
66,5/1/2024 7:45,23.677,0
67,5/1/2024 8:00,23.869,0
68,5/1/2024 8:15,23.966,0
69,5/1/2024 8:30,23.869,0
70,5/1/2024 8:45,23.869,0
71,5/1/2024 9:00,23.773,0
72,5/1/2024 9:15,23.773,0
73,5/1/2024 9:30,23.773,0
74,5/1/2024 9:45,23.773,0
75,5/1/2024 10:00,23.773,0
76,5/1/2024 10:15,23.773,0
77,5/1/2024 10:30,23.773,2
78,5/1/2024 10:45,23.869,4
79,5/1/2024 11:00,23.869,6
80,5/1/2024 11:15,23.966,5
81,5/1/2024 11:30,24.062,3
82,5/1/2024 11:45,24.062,5
83,5/1/2024 12:00,24.062,5
84,5/1/2024 12:15,24.158,3
85,5/1/2024 12:30,24.158,3
86,5/1/2024 12:45,24.158,4
87,5/1/2024 13:00,24.158,4
88,5/1/2024 13:15,24.158,3
89,5/1/2024 13:30,24.158,2
90,5/1/2024 13:45,24.158,2
91,5/1/2024 14:00,23.869,3
92,5/1/2024 14:15,23.484,2
93,5/1/2024 14:30,23.196,2
94,5/1/2024 14:45,23.196,2
95,5/1/2024 15:00,23.292,2
96,5/1/2024 15:15,23.388,2
97,5/1/2024 15:30,23.292,2
98,5/1/2024 15:45,23.196,1
99,5/1/2024 16:00,23.292,1
100,5/1/2024 16:15,23.484,0
101,5/1/2024 16:30,23.581,0
102,5/1/2024 16:45,23.196,0
103,5/1/2024 17:00,22.812,0
104,5/1/2024 17:15,22.812,0
105,5/1/2024 17:30,22.621,0
106,5/1/2024 17:45,22.525,0
107,5/1/2024 18:00,22.333,0
108,5/1/2024 18:15,22.333,0
109,5/1/2024 18:30,22.333,0
110,5/1/2024 18:45,22.333,0
111,5/1/2024 19:00,22.429,0
112,5/1/2024 19:15,22.429,0
113,5/1/2024 19:30,22.333,0
114,5/1/2024 19:45,22.046,0
115,5/1/2024 20:00,21.569,0
116,5/1/2024 20:15,21.187,0
117,5/1/2024 20:30,20.71,0
118,5/1/2024 20:45,20.329,0
119,5/1/2024 21:00,19.853,0
120,5/1/2024 21:15,19.472,0
121,5/1/2024 21:30,18.996,0
122,5/1/2024 21:45,18.616,0
123,5/1/2024 22:00,18.14,0
124,5/1/2024 22:15,17.665,0
125,5/1/2024 22:30,17.284,0
126,5/1/2024 22:45,16.808,0
127,5/1/2024 23:00,16.427,0
128,5/1/2024 23:15,15.951,0
129,5/1/2024 23:30,15.569,0
130,5/1/2024 23:45,15.187,0
131,5/2/2024 0:00,14.804,0
132,5/2/2024 0:15,14.421,0
133,5/2/2024 0:30,14.038,0
134,5/2/2024 0:45,13.75,0
135,5/2/2024 1:00,13.365,0
136,5/2/2024 1:15,13.076,0
137,5/2/2024 1:30,12.787,0
138,5/2/2024 1:45,12.497,0
139,5/2/2024 2:00,12.207,0
140,5/2/2024 2:15,12.013,0
141,5/2/2024 2:30,11.819,0
142,5/2/2024 2:45,11.625,0
143,5/2/2024 3:00,11.431,0
144,5/2/2024 3:15,11.139,0
145,5/2/2024 3:30,10.944,0
146,5/2/2024 3:45,10.748,0
147,5/2/2024 4:00,10.553,0
148,5/2/2024 4:15,10.357,0
149,5/2/2024 4:30,10.161,0
150,5/2/2024 4:45,9.866,0
151,5/2/2024 5:00,9.669,0
152,5/2/2024 5:15,9.472,0
153,5/2/2024 5:30,9.275,0
154,5/2/2024 5:45,9.176,0
155,5/2/2024 6:00,9.077,0
156,5/2/2024 6:15,9.077,0
157,5/2/2024 6:30,8.978,0
158,5/2/2024 6:45,9.077,0
159,5/2/2024 7:00,9.077,0
160,5/2/2024 7:15,9.669,0
161,5/2/2024 7:30,10.455,0
162,5/2/2024 7:45,10.944,0
163,5/2/2024 8:00,11.334,0
164,5/2/2024 8:15,11.625,0
165,5/2/2024 8:30,11.916,0
166,5/2/2024 8:45,12.207,0
167,5/2/2024 9:00,12.401,0
168,5/2/2024 9:15,12.594,0
169,5/2/2024 9:30,12.787,0
170,5/2/2024 9:45,13.076,0
171,5/2/2024 10:00,13.558,0
172,5/2/2024 10:15,14.038,0
173,5/2/2024 10:30,14.613,0
174,5/2/2024 10:45,15.664,0
175,5/2/2024 11:00,16.332,0
176,5/2/2024 11:15,16.523,0
177,5/2/2024 11:30,14.325,55
178,5/2/2024 11:45,12.883,2
179,5/2/2024 12:00,12.69,67
180,5/2/2024 12:15,12.787,2
181,5/2/2024 12:30,13.076,2
182,5/2/2024 12:45,15.187,102
183,5/2/2024 13:00,14.996,9
184,5/2/2024 13:15,16.141,256
185,5/2/2024 13:30,17.665,304
186,5/2/2024 13:45,18.711,368
187,5/2/2024 14:00,20.138,232
188,5/2/2024 14:15,20.043,240
189,5/2/2024 14:30,19.948,216
190,5/2/2024 14:45,18.616,5
191,5/2/2024 15:00,17.475,8
192,5/2/2024 15:15,17.665,28
193,5/2/2024 15:30,19.662,64
194,5/2/2024 15:45,21.378,62
195,5/2/2024 16:00,21.664,11
196,5/2/2024 16:15,21.76,11
197,5/2/2024 16:30,22.046,9
198,5/2/2024 16:45,22.046,1
199,5/2/2024 17:00,22.429,2
200,5/2/2024 17:15,22.429,1
201,5/2/2024 17:30,22.333,3
202,5/2/2024 17:45,21.76,0
203,5/2/2024 18:00,21.282,0
204,5/2/2024 18:15,20.71,0
205,5/2/2024 18:30,20.329,0
206,5/2/2024 18:45,19.758,0
207,5/2/2024 19:00,19.282,0
208,5/2/2024 19:15,18.806,0
209,5/2/2024 19:30,18.331,0
210,5/2/2024 19:45,17.855,0
211,5/2/2024 20:00,17.475,0
212,5/2/2024 20:15,16.808,0
213,5/2/2024 20:30,16.332,0
214,5/2/2024 20:45,15.951,0
215,5/2/2024 21:00,15.569,0
216,5/2/2024 21:15,15.378,0
217,5/2/2024 21:30,15.091,0
218,5/2/2024 21:45,14.9,0
219,5/2/2024 22:00,14.613,0
220,5/2/2024 22:15,14.421,0
221,5/2/2024 22:30,14.134,0
222,5/2/2024 22:45,13.846,0
223,5/2/2024 23:00,13.654,0
224,5/2/2024 23:15,13.558,0
225,5/2/2024 23:30,13.365,0
226,5/2/2024 23:45,13.173,0
227,5/3/2024 0:00,12.98,0
228,5/3/2024 0:15,12.69,0
229,5/3/2024 0:30,12.497,0
230,5/3/2024 0:45,12.401,0
231,5/3/2024 1:00,12.207,0
232,5/3/2024 1:15,12.013,0
233,5/3/2024 1:30,11.819,0
234,5/3/2024 1:45,11.722,0
235,5/3/2024 2:00,11.528,0
236,5/3/2024 2:15,11.431,0
237,5/3/2024 2:30,11.334,0
238,5/3/2024 2:45,11.236,0
239,5/3/2024 3:00,11.041,0
240,5/3/2024 3:15,10.944,0
241,5/3/2024 3:30,10.846,0
242,5/3/2024 3:45,10.748,0
243,5/3/2024 4:00,10.651,0
244,5/3/2024 4:15,10.553,0
245,5/3/2024 4:30,10.455,0
246,5/3/2024 4:45,10.357,0
247,5/3/2024 5:00,10.259,0
248,5/3/2024 5:15,10.161,0
249,5/3/2024 5:30,10.063,0
250,5/3/2024 5:45,10.063,0
251,5/3/2024 6:00,9.965,0
252,5/3/2024 6:15,9.965,0
253,5/3/2024 6:30,9.965,0
254,5/3/2024 6:45,9.965,0
255,5/3/2024 7:00,9.965,0
256,5/3/2024 7:15,10.063,0
257,5/3/2024 7:30,10.161,0
258,5/3/2024 7:45,10.259,1
259,5/3/2024 8:00,10.455,1
260,5/3/2024 8:15,11.236,1
261,5/3/2024 8:30,12.497,1
262,5/3/2024 8:45,13.558,0
263,5/3/2024 9:00,19.187,2
264,5/3/2024 9:15,21.76,2
265,5/3/2024 9:30,22.717,3
266,5/3/2024 9:45,23.1,6
267,5/3/2024 10:00,23.292,9
268,5/3/2024 10:15,23.388,8
269,5/3/2024 10:30,23.484,5
270,5/3/2024 10:45,23.484,8
271,5/3/2024 11:00,23.484,3
272,5/3/2024 11:15,23.484,3
273,5/3/2024 11:30,23.388,2
274,5/3/2024 11:45,23.388,3
275,5/3/2024 12:00,23.484,7
276,5/3/2024 12:15,23.484,6
277,5/3/2024 12:30,23.581,5
278,5/3/2024 12:45,23.581,4
279,5/3/2024 13:00,23.581,4
280,5/3/2024 13:15,23.581,4
281,5/3/2024 13:30,23.581,4
282,5/3/2024 13:45,23.581,4
283,5/3/2024 14:00,23.581,4
284,5/3/2024 14:15,23.581,4
285,5/3/2024 14:30,23.581,3
286,5/3/2024 14:45,23.581,3
287,5/3/2024 15:00,23.677,2
288,5/3/2024 15:15,23.581,2
289,5/3/2024 15:30,23.004,2
290,5/3/2024 15:45,22.621,1
291,5/3/2024 16:00,22.908,3
292,5/3/2024 16:15,22.238,14
293,5/3/2024 16:30,20.615,3
294,5/3/2024 16:45,19.948,0
295,5/3/2024 17:00,20.138,0
296,5/3/2024 17:15,20.138,0
297,5/3/2024 17:30,20.424,0
298,5/3/2024 17:45,20.424,0
299,5/3/2024 18:00,20.234,0
300,5/3/2024 18:15,20.043,0
301,5/3/2024 18:30,19.758,0
302,5/3/2024 18:45,19.377,0
303,5/3/2024 19:00,18.901,0
304,5/3/2024 19:15,18.426,0
305,5/3/2024 19:30,17.95,0
306,5/3/2024 19:45,17.475,0
307,5/3/2024 20:00,16.903,0
308,5/3/2024 20:15,16.427,0
309,5/3/2024 20:30,15.951,0
310,5/3/2024 20:45,15.473,0
311,5/3/2024 21:00,14.996,0
312,5/3/2024 21:15,14.613,0
313,5/3/2024 21:30,14.23,0
314,5/3/2024 21:45,13.846,0
315,5/3/2024 22:00,13.461,0
316,5/3/2024 22:15,13.173,0
317,5/3/2024 22:30,12.787,0
318,5/3/2024 22:45,12.497,0
319,5/3/2024 23:00,12.11,0
320,5/3/2024 23:15,11.819,0
321,5/3/2024 23:30,11.528,0
322,5/3/2024 23:45,11.236,0
323,5/4/2024 0:00,10.944,0
324,5/4/2024 0:15,10.748,0
325,5/4/2024 0:30,10.455,0
326,5/4/2024 0:45,10.259,0
327,5/4/2024 1:00,9.965,0
328,5/4/2024 1:15,9.768,0
329,5/4/2024 1:30,9.571,0
330,5/4/2024 1:45,9.373,0
331,5/4/2024 2:00,9.176,0
332,5/4/2024 2:15,9.077,0
333,5/4/2024 2:30,8.879,0
334,5/4/2024 2:45,8.68,0
335,5/4/2024 3:00,8.481,0
336,5/4/2024 3:15,8.282,0
337,5/4/2024 3:30,8.082,0
338,5/4/2024 3:45,7.983,0
339,5/4/2024 4:00,7.782,0
340,5/4/2024 4:15,7.582,0
341,5/4/2024 4:30,7.481,0
342,5/4/2024 4:45,7.28,0
343,5/4/2024 5:00,7.079,0
344,5/4/2024 5:15,6.978,0
345,5/4/2024 5:30,6.877,0
346,5/4/2024 5:45,6.674,0
347,5/4/2024 6:00,6.573,0
348,5/4/2024 6:15,6.573,0
349,5/4/2024 6:30,6.573,0
350,5/4/2024 6:45,6.573,0
351,5/4/2024 7:00,6.775,0
352,5/4/2024 7:15,7.079,1
353,5/4/2024 7:30,7.481,0
354,5/4/2024 7:45,7.882,0
355,5/4/2024 8:00,9.571,0
356,5/4/2024 8:15,11.528,0
357,5/4/2024 8:30,12.787,0
358,5/4/2024 8:45,13.654,0
359,5/4/2024 9:00,14.325,0
360,5/4/2024 9:15,14.804,0
361,5/4/2024 9:30,15.187,0
362,5/4/2024 9:45,15.473,0
