reading.no,date.time,temp.C,Intensity.lum.per.sqft,,,,,
1,7/26/2024 13:13,27.075,13312,,,,,
2,7/26/2024 13:28,22.333,2688,,,,,
3,7/26/2024 13:43,22.333,3584,,,,,
4,7/26/2024 13:58,22.238,2688,,,,,
5,7/26/2024 14:13,22.238,3200,,,,,
6,7/26/2024 14:28,22.046,4864,,,,,
7,7/26/2024 14:43,21.951,3072,,,,,
8,7/26/2024 14:58,22.142,2432,,,,,
9,7/26/2024 15:13,22.429,2688,,,,,
10,7/26/2024 15:28,22.717,3840,,,,,
11,7/26/2024 15:43,22.812,2816,,,,,
12,7/26/2024 15:58,22.908,3200,,,,,
13,7/26/2024 16:13,22.621,768,,,,,
14,7/26/2024 16:28,23.004,2816,,,,,
15,7/26/2024 16:43,22.908,1920,,,,,
16,7/26/2024 16:58,23.004,3072,,,,,
17,7/26/2024 17:13,22.908,2304,,,,,
18,7/26/2024 17:28,22.908,1920,,,,,
19,7/26/2024 17:43,22.812,704,,,,,
20,7/26/2024 17:58,23.004,1728,,,,,
21,7/26/2024 18:13,23.1,1920,,,,,
22,7/26/2024 18:28,22.812,1280,,,,,
23,7/26/2024 18:43,22.908,1088,,,,,
24,7/26/2024 18:58,22.812,704,,,,,
25,7/26/2024 19:13,22.812,512,,,,,
26,7/26/2024 19:28,22.621,200,,,,,
27,7/26/2024 19:43,22.525,160,,,,,
28,7/26/2024 19:58,22.429,76,,,,,
29,7/26/2024 20:13,22.429,34,,,,,
30,7/26/2024 20:28,22.429,0,,,,,
31,7/26/2024 20:43,22.429,0,,,,,
32,7/26/2024 20:58,22.429,0,,,,,
33,7/26/2024 21:13,22.429,0,,,,,
34,7/26/2024 21:28,22.429,0,,,,,
35,7/26/2024 21:43,22.429,0,,,,,
36,7/26/2024 21:58,22.333,0,,,,,
37,7/26/2024 22:13,22.333,0,,,,,
38,7/26/2024 22:28,22.333,0,,,,,
39,7/26/2024 22:43,22.333,0,,,,,
40,7/26/2024 22:58,22.333,0,,,,,
41,7/26/2024 23:13,22.238,0,,,,,
42,7/26/2024 23:28,21.951,0,,,,,
43,7/26/2024 23:43,22.142,0,,,,,
44,7/26/2024 23:58,21.855,0,,,,,
45,7/27/2024 0:13,21.855,0,,,,,
46,7/27/2024 0:28,21.855,0,,,,,
47,7/27/2024 0:43,21.855,0,,,,,
48,7/27/2024 0:58,21.76,0,,,,,
49,7/27/2024 1:13,21.76,0,,,,,
50,7/27/2024 1:28,21.76,0,,,,,
51,7/27/2024 1:43,21.569,0,,,,,
52,7/27/2024 1:58,21.473,0,,,,,
53,7/27/2024 2:13,21.091,0,,,,,
54,7/27/2024 2:28,20.805,0,,,,,
