reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,1/29/2025 13:12,6.775,1280
2,1/29/2025 13:27,6.268,1280
3,1/29/2025 13:42,6.166,1920
4,1/29/2025 13:57,6.268,1216
5,1/29/2025 14:12,6.471,2048
6,1/29/2025 14:27,6.268,960
7,1/29/2025 14:42,6.573,512
8,1/29/2025 14:57,6.37,1152
9,1/29/2025 15:12,6.064,320
10,1/29/2025 15:27,5.962,512
11,1/29/2025 15:42,5.655,112
12,1/29/2025 15:57,5.552,176
13,1/29/2025 16:12,5.141,98
14,1/29/2025 16:27,4.727,85
15,1/29/2025 16:42,4.623,69
16,1/29/2025 16:57,4.623,21
17,1/29/2025 17:12,4.623,2
18,1/29/2025 17:27,4.519,0
19,1/29/2025 17:42,4.727,0
20,1/29/2025 17:57,4.623,0
21,1/29/2025 18:12,4.623,0
22,1/29/2025 18:27,4.519,0
23,1/29/2025 18:42,4.519,0
24,1/29/2025 18:57,4.519,0
25,1/29/2025 19:12,4.519,0
26,1/29/2025 19:27,4.415,0
27,1/29/2025 19:42,4.415,0
28,1/29/2025 19:57,4.415,0
29,1/29/2025 20:12,4.415,0
30,1/29/2025 20:27,4.415,0
31,1/29/2025 20:42,4.623,0
32,1/29/2025 20:57,4.727,0
33,1/29/2025 21:12,4.727,0
34,1/29/2025 21:27,4.727,0
35,1/29/2025 21:42,4.623,0
36,1/29/2025 21:57,4.623,0
37,1/29/2025 22:12,4.623,0
38,1/29/2025 22:27,4.519,0
39,1/29/2025 22:42,4.519,0
40,1/29/2025 22:57,4.519,0
41,1/29/2025 23:12,4.415,0
42,1/29/2025 23:27,4.311,0
43,1/29/2025 23:42,4.207,0
44,1/29/2025 23:57,-0.887,0
45,1/30/2025 0:12,-2.494,0
46,1/30/2025 0:27,-2.727,0
47,1/30/2025 0:42,-2.844,0
48,1/30/2025 0:57,-2.962,0
49,1/30/2025 1:12,-3.434,0
50,1/30/2025 1:27,-3.672,0
51,1/30/2025 1:42,-3.672,0
52,1/30/2025 1:57,-3.553,0
53,1/30/2025 2:12,-3.672,0
54,1/30/2025 2:27,-3.672,0
55,1/30/2025 2:42,-3.792,0
56,1/30/2025 2:57,-3.911,0
57,1/30/2025 3:12,-4.031,0
58,1/30/2025 3:27,-3.911,0
59,1/30/2025 3:42,-3.672,0
60,1/30/2025 3:57,2.837,0
61,1/30/2025 4:12,3.367,0
62,1/30/2025 4:27,3.155,0
63,1/30/2025 4:42,3.472,0
64,1/30/2025 4:57,3.261,0
65,1/30/2025 5:12,3.261,0
66,1/30/2025 5:27,3.155,0
67,1/30/2025 5:42,3.155,0
68,1/30/2025 5:57,3.155,0
69,1/30/2025 6:12,3.155,0
70,1/30/2025 6:27,3.155,0
71,1/30/2025 6:42,3.261,0
72,1/30/2025 6:57,3.367,6
73,1/30/2025 7:12,3.472,25
74,1/30/2025 7:27,3.472,54
75,1/30/2025 7:42,3.261,79
76,1/30/2025 7:57,4.102,121
77,1/30/2025 8:12,3.155,136
78,1/30/2025 8:27,4.519,176
79,1/30/2025 8:42,4.727,208
80,1/30/2025 8:57,4.934,248
81,1/30/2025 9:12,4.934,304
82,1/30/2025 9:27,4.934,352
83,1/30/2025 9:42,5.037,400
84,1/30/2025 9:57,5.141,448
85,1/30/2025 10:12,5.244,496
86,1/30/2025 10:27,5.347,608
87,1/30/2025 10:42,5.552,512
88,1/30/2025 10:57,5.655,704
89,1/30/2025 11:12,5.757,800
90,1/30/2025 11:27,5.86,1664
91,1/30/2025 11:42,5.962,1152
92,1/30/2025 11:57,6.166,1216
93,1/30/2025 12:12,6.471,2432
94,1/30/2025 12:27,9.669,11776
95,1/30/2025 12:42,8.182,9728
96,1/30/2025 12:57,8.382,8704
97,1/30/2025 13:12,9.373,7936
98,1/30/2025 13:27,9.176,6656
99,1/30/2025 13:42,9.275,5632
100,1/30/2025 13:57,7.179,4864
101,1/30/2025 14:12,7.682,4096
102,1/30/2025 14:27,7.682,3328
103,1/30/2025 14:42,8.082,2560
104,1/30/2025 14:57,7.582,2048
105,1/30/2025 15:12,7.582,1600
106,1/30/2025 15:27,7.782,1152
107,1/30/2025 15:42,6.674,800
108,1/30/2025 15:57,7.28,896
109,1/30/2025 16:12,-0.437,352
110,1/30/2025 16:27,3.788,232
111,1/30/2025 16:42,3.893,136
112,1/30/2025 16:57,3.788,35
113,1/30/2025 17:12,4.207,4
114,1/30/2025 17:27,3.788,0
115,1/30/2025 17:42,3.683,0
116,1/30/2025 17:57,4.102,0
117,1/30/2025 18:12,3.788,0
118,1/30/2025 18:27,3.683,0
119,1/30/2025 18:42,3.893,0
120,1/30/2025 18:57,3.788,0
121,1/30/2025 19:12,3.683,0
122,1/30/2025 19:27,3.683,0
123,1/30/2025 19:42,3.578,0
124,1/30/2025 19:57,3.578,0
125,1/30/2025 20:12,3.578,0
126,1/30/2025 20:27,3.578,0
127,1/30/2025 20:42,3.578,0
128,1/30/2025 20:57,4.102,0
129,1/30/2025 21:12,4.311,0
130,1/30/2025 21:27,4.311,0
131,1/30/2025 21:42,4.415,0
132,1/30/2025 21:57,4.415,0
133,1/30/2025 22:12,4.519,0
134,1/30/2025 22:27,4.415,0
135,1/30/2025 22:42,4.415,0
136,1/30/2025 22:57,4.415,0
137,1/30/2025 23:12,4.415,0
138,1/30/2025 23:27,4.415,0
139,1/30/2025 23:42,4.415,0
140,1/30/2025 23:57,4.207,0
141,1/31/2025 0:12,4.207,0
142,1/31/2025 0:27,4.102,0
143,1/31/2025 0:42,3.998,0
144,1/31/2025 0:57,1.221,0
145,1/31/2025 1:12,0.784,0
146,1/31/2025 1:27,1.003,0
147,1/31/2025 1:42,1.548,0
148,1/31/2025 1:57,1.872,0
149,1/31/2025 2:12,2.195,0
150,1/31/2025 2:27,2.41,0
151,1/31/2025 2:42,2.624,0
152,1/31/2025 2:57,2.837,0
153,1/31/2025 3:12,2.624,0
154,1/31/2025 3:27,3.261,0
155,1/31/2025 3:42,3.367,0
156,1/31/2025 3:57,3.367,0
157,1/31/2025 4:12,3.472,0
158,1/31/2025 4:27,3.578,0
159,1/31/2025 4:42,3.578,0
160,1/31/2025 4:57,3.578,0
161,1/31/2025 5:12,3.578,0
162,1/31/2025 5:27,3.578,0
163,1/31/2025 5:42,3.578,0
164,1/31/2025 5:57,3.578,0
165,1/31/2025 6:12,3.578,0
166,1/31/2025 6:27,3.578,0
167,1/31/2025 6:42,3.683,0
168,1/31/2025 6:57,3.893,1
169,1/31/2025 7:12,3.893,4
170,1/31/2025 7:27,3.893,13
171,1/31/2025 7:42,3.998,34
172,1/31/2025 7:57,4.102,34
173,1/31/2025 8:12,4.207,36
174,1/31/2025 8:27,4.207,44
175,1/31/2025 8:42,4.207,53
176,1/31/2025 8:57,4.207,67
177,1/31/2025 9:12,4.311,68
178,1/31/2025 9:27,4.311,71
179,1/31/2025 9:42,4.415,96
180,1/31/2025 9:57,4.415,82
181,1/31/2025 10:12,4.519,107
182,1/31/2025 10:27,4.519,121
183,1/31/2025 10:42,4.623,168
184,1/31/2025 10:57,4.623,160
185,1/31/2025 11:12,4.623,192
186,1/31/2025 11:27,4.727,168
187,1/31/2025 11:42,4.727,128
188,1/31/2025 11:57,4.727,200
189,1/31/2025 12:12,4.623,184
190,1/31/2025 12:27,4.519,256
191,1/31/2025 12:42,4.623,320
192,1/31/2025 12:57,4.623,432
193,1/31/2025 13:12,4.727,320
194,1/31/2025 13:27,5.141,352
195,1/31/2025 13:42,6.268,272
196,1/31/2025 13:57,6.37,288
197,1/31/2025 14:12,6.268,248
198,1/31/2025 14:27,6.064,336
199,1/31/2025 14:42,5.962,320
200,1/31/2025 14:57,5.347,368
201,1/31/2025 15:12,5.655,352
202,1/31/2025 15:27,5.45,248
203,1/31/2025 15:42,5.655,152
204,1/31/2025 15:57,6.064,136
205,1/31/2025 16:12,5.962,61
206,1/31/2025 16:27,4.102,42
207,1/31/2025 16:42,3.998,17
208,1/31/2025 16:57,3.893,1
209,1/31/2025 17:12,3.893,0
210,1/31/2025 17:27,3.893,0
211,1/31/2025 17:42,3.788,0
212,1/31/2025 17:57,3.788,0
213,1/31/2025 18:12,3.788,0
214,1/31/2025 18:27,3.788,0
215,1/31/2025 18:42,3.788,0
216,1/31/2025 18:57,3.788,0
217,1/31/2025 19:12,3.893,0
218,1/31/2025 19:27,3.893,0
219,1/31/2025 19:42,3.893,0
220,1/31/2025 19:57,3.998,0
221,1/31/2025 20:12,3.998,0
222,1/31/2025 20:27,3.998,0
223,1/31/2025 20:42,3.998,0
224,1/31/2025 20:57,3.998,0
225,1/31/2025 21:12,4.102,0
226,1/31/2025 21:27,4.102,0
227,1/31/2025 21:42,4.207,0
228,1/31/2025 21:57,4.311,0
229,1/31/2025 22:12,4.311,0
230,1/31/2025 22:27,4.415,0
231,1/31/2025 22:42,4.415,0
232,1/31/2025 22:57,4.519,0
233,1/31/2025 23:12,4.519,0
234,1/31/2025 23:27,4.519,0
235,1/31/2025 23:42,4.519,0
236,1/31/2025 23:57,4.519,0
237,2/1/2025 0:12,4.623,0
238,2/1/2025 0:27,4.311,0
239,2/1/2025 0:42,4.311,0
240,2/1/2025 0:57,4.311,0
241,2/1/2025 1:12,4.207,0
242,2/1/2025 1:27,4.207,0
