reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,6/18/2025 7:00,21.855,0
2,6/18/2025 7:15,21.855,0
3,6/18/2025 7:30,21.951,0
4,6/18/2025 7:45,21.951,0
5,6/18/2025 8:00,21.951,0
6,6/18/2025 8:15,22.046,0
7,6/18/2025 8:30,22.046,0
8,6/18/2025 8:45,22.142,0
9,6/18/2025 9:00,21.855,0
10,6/18/2025 9:15,18.711,45
11,6/18/2025 9:30,18.426,1600
12,6/18/2025 9:45,18.521,1728
13,6/18/2025 10:00,18.331,1152
14,6/18/2025 10:15,18.236,1216
15,6/18/2025 10:30,18.045,1152
16,6/18/2025 10:45,17.95,1152
17,6/18/2025 11:00,17.95,512
18,6/18/2025 11:15,17.855,512
19,6/18/2025 11:30,17.855,896
20,6/18/2025 11:45,17.855,864
21,6/18/2025 12:00,17.855,800
22,6/18/2025 12:15,18.045,992
23,6/18/2025 12:30,18.045,1280
24,6/18/2025 12:45,18.236,1280
25,6/18/2025 13:00,18.045,1152
26,6/18/2025 13:15,17.95,1152
27,6/18/2025 13:30,17.855,896
28,6/18/2025 13:45,17.665,1344
29,6/18/2025 14:00,17.665,2048
30,6/18/2025 14:15,17.76,1920
31,6/18/2025 14:30,17.57,992
32,6/18/2025 14:45,17.57,1088
33,6/18/2025 15:00,17.475,1408
34,6/18/2025 15:15,17.855,2176
35,6/18/2025 15:30,18.236,2432
36,6/18/2025 15:45,18.331,1472
37,6/18/2025 16:00,18.426,1536
38,6/18/2025 16:15,18.331,1152
39,6/18/2025 16:30,18.331,1216
40,6/18/2025 16:45,18.331,1152
41,6/18/2025 17:00,18.236,1152
42,6/18/2025 17:15,18.14,480
43,6/18/2025 17:30,17.95,672
44,6/18/2025 17:45,17.95,768
45,6/18/2025 18:00,18.045,992
46,6/18/2025 18:15,17.95,800
47,6/18/2025 18:30,17.855,336
48,6/18/2025 18:45,17.95,496
49,6/18/2025 19:00,17.95,240
50,6/18/2025 19:15,17.76,240
51,6/18/2025 19:30,17.665,88
52,6/18/2025 19:45,17.665,65
53,6/18/2025 20:00,17.665,38
54,6/18/2025 20:15,17.665,20
55,6/18/2025 20:30,17.76,3
56,6/18/2025 20:45,17.855,0
57,6/18/2025 21:00,17.95,0
58,6/18/2025 21:15,17.95,0
59,6/18/2025 21:30,17.95,0
60,6/18/2025 21:45,17.95,0
61,6/18/2025 22:00,17.855,0
62,6/18/2025 22:15,17.76,0
63,6/18/2025 22:30,17.665,0
64,6/18/2025 22:45,17.76,0
65,6/18/2025 23:00,17.76,0
66,6/18/2025 23:15,17.76,0
67,6/18/2025 23:30,17.855,0
68,6/18/2025 23:45,17.57,0
69,6/19/2025 0:00,17.665,0
70,6/19/2025 0:15,17.76,0
71,6/19/2025 0:30,17.76,0
72,6/19/2025 0:45,17.76,0
73,6/19/2025 1:00,17.76,0
74,6/19/2025 1:15,17.76,0
75,6/19/2025 1:30,17.665,0
76,6/19/2025 1:45,17.665,0
77,6/19/2025 2:00,17.475,0
78,6/19/2025 2:15,17.379,0
79,6/19/2025 2:30,17.379,0
80,6/19/2025 2:45,17.284,0
81,6/19/2025 3:00,17.094,0
82,6/19/2025 3:15,16.999,0
83,6/19/2025 3:30,16.999,0
84,6/19/2025 3:45,16.999,0
85,6/19/2025 4:00,17.189,0
86,6/19/2025 4:15,17.475,0
87,6/19/2025 4:30,17.57,0
88,6/19/2025 4:45,17.475,0
89,6/19/2025 5:00,17.379,2
90,6/19/2025 5:15,17.379,16
91,6/19/2025 5:30,17.379,40
92,6/19/2025 5:45,17.475,67
93,6/19/2025 6:00,17.475,176
94,6/19/2025 6:15,17.57,240
95,6/19/2025 6:30,17.57,288
96,6/19/2025 6:45,17.57,448
97,6/19/2025 7:00,17.665,704
98,6/19/2025 7:15,17.665,704
99,6/19/2025 7:30,17.76,1152
100,6/19/2025 7:45,17.95,1408
101,6/19/2025 8:00,18.045,1472
102,6/19/2025 8:15,18.236,1600
103,6/19/2025 8:30,18.426,2304
104,6/19/2025 8:45,18.806,2432
105,6/19/2025 9:00,18.806,2304
106,6/19/2025 9:15,19.092,3456
107,6/19/2025 9:30,19.377,2944
108,6/19/2025 9:45,19.472,3584
109,6/19/2025 10:00,19.377,2432
110,6/19/2025 10:15,19.662,4096
111,6/19/2025 10:30,19.282,6656
112,6/19/2025 10:45,19.472,4608
113,6/19/2025 11:00,19.758,8192
114,6/19/2025 11:15,20.424,4096
115,6/19/2025 11:30,20.615,4608
116,6/19/2025 11:45,20.519,4352
117,6/19/2025 12:00,20.519,8192
118,6/19/2025 12:15,20.71,4096
119,6/19/2025 12:30,20.519,3840
120,6/19/2025 12:45,20.234,4352
121,6/19/2025 13:00,19.662,4608
122,6/19/2025 13:15,19.092,5120
123,6/19/2025 13:30,18.996,3200
124,6/19/2025 13:45,18.901,3584
125,6/19/2025 14:00,18.901,3200
126,6/19/2025 14:15,18.901,4096
127,6/19/2025 14:30,18.806,4352
128,6/19/2025 14:45,18.616,3200
129,6/19/2025 15:00,17.95,2560
130,6/19/2025 15:15,17.95,4096
131,6/19/2025 15:30,17.855,2048
132,6/19/2025 15:45,17.855,2048
133,6/19/2025 16:00,18.14,2048
134,6/19/2025 16:15,18.616,1664
135,6/19/2025 16:30,18.901,1600
136,6/19/2025 16:45,18.806,2176
137,6/19/2025 17:00,18.616,1856
138,6/19/2025 17:15,18.331,1152
139,6/19/2025 17:30,18.236,1024
140,6/19/2025 17:45,18.045,896
141,6/19/2025 18:00,17.855,704
142,6/19/2025 18:15,17.665,464
143,6/19/2025 18:30,17.665,448
144,6/19/2025 18:45,17.665,256
145,6/19/2025 19:00,17.665,128
146,6/19/2025 19:15,17.665,128
147,6/19/2025 19:30,17.665,136
148,6/19/2025 19:45,17.665,152
149,6/19/2025 20:00,17.665,70
150,6/19/2025 20:15,17.57,18
151,6/19/2025 20:30,17.57,4
152,6/19/2025 20:45,17.475,0
153,6/19/2025 21:00,17.475,0
154,6/19/2025 21:15,17.475,0
155,6/19/2025 21:30,17.475,0
156,6/19/2025 21:45,17.475,0
157,6/19/2025 22:00,17.475,0
158,6/19/2025 22:15,17.379,0
159,6/19/2025 22:30,17.379,0
160,6/19/2025 22:45,17.379,0
161,6/19/2025 23:00,17.379,0
162,6/19/2025 23:15,17.284,0
163,6/19/2025 23:30,17.284,0
164,6/19/2025 23:45,17.284,0
165,6/20/2025 0:00,17.284,0
166,6/20/2025 0:15,17.189,0
167,6/20/2025 0:30,17.189,0
168,6/20/2025 0:45,17.189,0
169,6/20/2025 1:00,17.189,0
170,6/20/2025 1:15,17.189,0
171,6/20/2025 1:30,17.094,0
172,6/20/2025 1:45,17.094,0
173,6/20/2025 2:00,17.094,0
174,6/20/2025 2:15,17.094,0
175,6/20/2025 2:30,17.094,0
176,6/20/2025 2:45,17.094,0
177,6/20/2025 3:00,17.094,0
178,6/20/2025 3:15,17.094,0
179,6/20/2025 3:30,17.094,0
180,6/20/2025 3:45,16.999,0
181,6/20/2025 4:00,16.999,0
182,6/20/2025 4:15,16.999,0
183,6/20/2025 4:30,16.808,0
184,6/20/2025 4:45,16.713,0
