reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,1/29/2025 15:30,5.347,256
2,1/29/2025 15:45,4.934,480
3,1/29/2025 16:00,4.831,336
4,1/29/2025 16:15,4.727,240
5,1/29/2025 16:30,4.519,59
6,1/29/2025 16:45,4.519,42
7,1/29/2025 17:00,4.934,108
8,1/29/2025 17:15,4.934,120
9,1/29/2025 17:30,5.037,69
10,1/29/2025 17:45,4.934,57
11,1/29/2025 18:00,4.831,14
12,1/29/2025 18:15,4.415,1
13,1/29/2025 18:30,4.207,0
14,1/29/2025 18:45,4.102,0
15,1/29/2025 19:00,4.207,0
16,1/29/2025 19:15,4.207,0
17,1/29/2025 19:30,4.207,0
18,1/29/2025 19:45,4.207,0
19,1/29/2025 20:00,4.207,0
20,1/29/2025 20:15,4.207,0
21,1/29/2025 20:30,4.207,0
22,1/29/2025 20:45,4.207,0
23,1/29/2025 21:00,4.207,0
24,1/29/2025 21:15,4.102,0
25,1/29/2025 21:30,4.102,0
26,1/29/2025 21:45,4.102,0
27,1/29/2025 22:00,3.998,0
28,1/29/2025 22:15,3.998,0
29,1/29/2025 22:30,3.998,0
30,1/29/2025 22:45,3.998,0
31,1/29/2025 23:00,3.998,0
32,1/29/2025 23:15,3.998,0
33,1/29/2025 23:30,3.998,0
34,1/29/2025 23:45,3.893,0
35,1/30/2025 0:00,3.788,0
36,1/30/2025 0:15,3.683,0
37,1/30/2025 0:30,3.683,0
38,1/30/2025 0:45,3.472,0
39,1/30/2025 1:00,3.367,0
40,1/30/2025 1:15,3.367,0
41,1/30/2025 1:30,3.261,0
42,1/30/2025 1:45,3.155,0
43,1/30/2025 2:00,3.049,0
44,1/30/2025 2:15,2.943,0
45,1/30/2025 2:30,2.837,0
46,1/30/2025 2:45,2.624,0
47,1/30/2025 3:00,2.517,0
48,1/30/2025 3:15,2.41,0
49,1/30/2025 3:30,2.303,0
50,1/30/2025 3:45,2.088,0
51,1/30/2025 4:00,1.98,0
52,1/30/2025 4:15,1.656,0
53,1/30/2025 4:30,1.33,0
54,1/30/2025 4:45,1.221,0
55,1/30/2025 5:00,1.221,0
56,1/30/2025 5:15,0.784,0
57,1/30/2025 5:30,0.674,0
58,1/30/2025 5:45,0.563,0
59,1/30/2025 6:00,1.439,0
60,1/30/2025 6:15,1.439,0
61,1/30/2025 6:30,1.764,0
62,1/30/2025 6:45,1.656,0
63,1/30/2025 7:00,1.656,0
64,1/30/2025 7:15,1.548,0
65,1/30/2025 7:30,1.548,0
66,1/30/2025 7:45,1.98,1
67,1/30/2025 8:00,2.195,12
68,1/30/2025 8:15,2.303,42
69,1/30/2025 8:30,2.517,63
70,1/30/2025 8:45,2.73,90
71,1/30/2025 9:00,2.837,125
72,1/30/2025 9:15,3.049,208
73,1/30/2025 9:30,3.049,144
74,1/30/2025 9:45,3.155,216
75,1/30/2025 10:00,3.261,432
76,1/30/2025 10:15,3.367,336
77,1/30/2025 10:30,3.367,400
78,1/30/2025 10:45,3.578,256
79,1/30/2025 11:00,3.683,464
80,1/30/2025 11:15,3.683,224
81,1/30/2025 11:30,3.788,304
82,1/30/2025 11:45,3.998,352
83,1/30/2025 12:00,3.998,480
84,1/30/2025 12:15,4.102,432
85,1/30/2025 12:30,4.207,512
86,1/30/2025 12:45,4.207,512
87,1/30/2025 13:00,4.102,864
88,1/30/2025 13:15,4.207,512
89,1/30/2025 13:30,4.207,352
90,1/30/2025 13:45,4.311,416
