reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,4/30/2024 10:31,23.292,0
2,4/30/2024 10:46,22.812,10
3,4/30/2024 11:01,21.378,13
4,4/30/2024 11:16,21.282,21
5,4/30/2024 11:31,20.996,20
6,4/30/2024 11:46,20.901,20
7,4/30/2024 12:01,20.901,20
8,4/30/2024 12:16,20.901,19
9,4/30/2024 12:31,20.996,68
10,4/30/2024 12:46,19.472,400
11,4/30/2024 13:01,22.238,2432
12,4/30/2024 13:16,26.195,3328
13,4/30/2024 13:31,18.806,576
14,4/30/2024 13:46,16.141,22
15,4/30/2024 14:01,17.855,45
16,4/30/2024 14:16,16.999,24
17,4/30/2024 14:31,17.379,10
18,4/30/2024 14:46,17.57,4
19,4/30/2024 15:01,19.472,0
20,4/30/2024 15:16,20.805,0
21,4/30/2024 15:31,22.717,8
22,4/30/2024 15:46,23.196,0
23,4/30/2024 16:01,22.908,0
24,4/30/2024 16:16,22.812,0
25,4/30/2024 16:31,22.621,0
26,4/30/2024 16:46,22.621,0
27,4/30/2024 17:01,22.621,0
28,4/30/2024 17:16,22.621,0
29,4/30/2024 17:31,22.717,0
30,4/30/2024 17:46,22.717,0
31,4/30/2024 18:01,22.717,0
32,4/30/2024 18:16,22.717,0
33,4/30/2024 18:31,22.717,0
34,4/30/2024 18:46,22.621,0
35,4/30/2024 19:01,22.621,0
36,4/30/2024 19:16,22.525,0
37,4/30/2024 19:31,22.525,0
38,4/30/2024 19:46,22.429,0
39,4/30/2024 20:01,22.429,0
40,4/30/2024 20:16,22.429,0
41,4/30/2024 20:31,22.333,0
42,4/30/2024 20:46,22.333,0
43,4/30/2024 21:01,22.333,0
44,4/30/2024 21:16,22.333,0
45,4/30/2024 21:31,22.333,0
46,4/30/2024 21:46,22.333,0
47,4/30/2024 22:01,22.333,0
48,4/30/2024 22:16,22.333,0
49,4/30/2024 22:31,22.333,0
50,4/30/2024 22:46,22.333,0
51,4/30/2024 23:01,22.333,0
52,4/30/2024 23:16,22.333,0
53,4/30/2024 23:31,22.333,0
54,4/30/2024 23:46,22.333,0
55,5/1/2024 0:01,22.333,0
56,5/1/2024 0:16,22.333,0
57,5/1/2024 0:31,22.333,0
58,5/1/2024 0:46,22.333,0
59,5/1/2024 1:01,22.333,0
60,5/1/2024 1:16,22.333,0
61,5/1/2024 1:31,22.333,0
62,5/1/2024 1:46,22.333,0
63,5/1/2024 2:01,22.333,0
64,5/1/2024 2:16,22.333,0
65,5/1/2024 2:31,22.333,0
66,5/1/2024 2:46,22.333,0
67,5/1/2024 3:01,22.333,0
68,5/1/2024 3:16,22.333,0
69,5/1/2024 3:31,22.333,0
70,5/1/2024 3:46,22.333,0
71,5/1/2024 4:01,22.333,0
72,5/1/2024 4:16,22.333,0
73,5/1/2024 4:31,22.333,0
74,5/1/2024 4:46,22.333,0
75,5/1/2024 5:01,22.333,0
76,5/1/2024 5:16,22.333,0
77,5/1/2024 5:31,22.333,0
78,5/1/2024 5:46,22.333,0
79,5/1/2024 6:01,22.333,0
80,5/1/2024 6:16,22.333,0
81,5/1/2024 6:31,22.333,0
82,5/1/2024 6:46,22.525,0
83,5/1/2024 7:01,22.812,0
84,5/1/2024 7:16,23.1,0
85,5/1/2024 7:31,23.484,0
86,5/1/2024 7:46,23.677,0
87,5/1/2024 8:01,23.869,0
88,5/1/2024 8:16,23.966,0
89,5/1/2024 8:31,23.869,0
90,5/1/2024 8:46,23.869,0
91,5/1/2024 9:01,23.869,0
92,5/1/2024 9:16,23.773,0
93,5/1/2024 9:31,23.773,0
94,5/1/2024 9:46,23.773,0
95,5/1/2024 10:01,23.773,0
96,5/1/2024 10:16,23.773,0
97,5/1/2024 10:31,23.773,1
98,5/1/2024 10:46,23.869,2
99,5/1/2024 11:01,23.869,4
100,5/1/2024 11:16,23.966,3
101,5/1/2024 11:31,24.062,2
102,5/1/2024 11:46,24.062,3
103,5/1/2024 12:01,24.062,3
104,5/1/2024 12:16,24.062,2
105,5/1/2024 12:31,24.062,2
106,5/1/2024 12:46,24.158,2
107,5/1/2024 13:01,24.158,2
108,5/1/2024 13:16,24.158,2
109,5/1/2024 13:31,24.158,1
110,5/1/2024 13:46,24.062,1
111,5/1/2024 14:01,23.869,1
112,5/1/2024 14:16,23.388,1
113,5/1/2024 14:31,23.196,1
114,5/1/2024 14:46,23.196,1
115,5/1/2024 15:01,23.292,1
116,5/1/2024 15:16,23.388,1
117,5/1/2024 15:31,23.292,1
118,5/1/2024 15:46,23.196,1
119,5/1/2024 16:01,23.292,1
120,5/1/2024 16:16,23.484,0
121,5/1/2024 16:31,23.677,0
122,5/1/2024 16:46,23.196,0
123,5/1/2024 17:01,23.1,0
124,5/1/2024 17:16,23.1,0
125,5/1/2024 17:31,22.717,0
126,5/1/2024 17:46,22.525,0
127,5/1/2024 18:01,22.333,0
128,5/1/2024 18:16,22.333,0
129,5/1/2024 18:31,22.333,0
130,5/1/2024 18:46,22.429,0
131,5/1/2024 19:01,22.525,0
132,5/1/2024 19:16,22.525,0
133,5/1/2024 19:31,22.333,0
134,5/1/2024 19:46,21.951,0
135,5/1/2024 20:01,21.473,0
136,5/1/2024 20:16,21.091,0
137,5/1/2024 20:31,20.615,0
138,5/1/2024 20:46,20.138,0
139,5/1/2024 21:01,19.758,0
140,5/1/2024 21:16,19.377,0
141,5/1/2024 21:31,18.901,0
142,5/1/2024 21:46,18.426,0
143,5/1/2024 22:01,18.045,0
144,5/1/2024 22:16,17.57,0
145,5/1/2024 22:31,17.189,0
146,5/1/2024 22:46,16.713,0
147,5/1/2024 23:01,16.332,0
148,5/1/2024 23:16,15.951,0
149,5/1/2024 23:31,15.473,0
150,5/1/2024 23:46,15.091,0
151,5/2/2024 0:01,14.709,0
152,5/2/2024 0:16,14.421,0
153,5/2/2024 0:31,14.038,0
154,5/2/2024 0:46,13.654,0
155,5/2/2024 1:01,13.365,0
156,5/2/2024 1:16,13.076,0
157,5/2/2024 1:31,12.69,0
158,5/2/2024 1:46,12.497,0
159,5/2/2024 2:01,12.207,0
160,5/2/2024 2:16,12.013,0
161,5/2/2024 2:31,11.819,0
162,5/2/2024 2:46,11.625,0
163,5/2/2024 3:01,11.334,0
164,5/2/2024 3:16,11.139,0
165,5/2/2024 3:31,10.944,0
166,5/2/2024 3:46,10.748,0
167,5/2/2024 4:01,10.553,0
168,5/2/2024 4:16,10.357,0
169,5/2/2024 4:31,10.063,0
170,5/2/2024 4:46,9.866,0
171,5/2/2024 5:01,9.571,0
172,5/2/2024 5:16,9.472,0
173,5/2/2024 5:31,9.275,0
174,5/2/2024 5:46,9.176,0
175,5/2/2024 6:01,9.077,0
176,5/2/2024 6:16,9.077,0
177,5/2/2024 6:31,9.077,0
178,5/2/2024 6:46,9.077,0
179,5/2/2024 7:01,9.176,0
180,5/2/2024 7:16,10.063,0
181,5/2/2024 7:31,10.748,0
182,5/2/2024 7:46,11.334,0
183,5/2/2024 8:01,11.625,0
184,5/2/2024 8:16,11.916,0
185,5/2/2024 8:31,12.207,0
186,5/2/2024 8:46,12.401,0
187,5/2/2024 9:01,12.594,0
188,5/2/2024 9:16,12.787,0
189,5/2/2024 9:31,12.98,0
190,5/2/2024 9:46,13.365,0
191,5/2/2024 10:01,13.942,0
192,5/2/2024 10:16,14.325,0
193,5/2/2024 10:31,15.187,0
194,5/2/2024 10:46,16.237,0
195,5/2/2024 11:01,16.713,0
196,5/2/2024 11:16,16.903,0
197,5/2/2024 11:31,13.942,1536
198,5/2/2024 11:46,11.916,232
199,5/2/2024 12:01,12.883,768
200,5/2/2024 12:16,12.883,896
201,5/2/2024 12:31,12.98,1280
202,5/2/2024 12:46,13.076,1024
203,5/2/2024 13:01,13.076,992
204,5/2/2024 13:16,13.461,1792
205,5/2/2024 13:31,13.75,1408
206,5/2/2024 13:46,14.325,1216
207,5/2/2024 14:01,14.709,1728
208,5/2/2024 14:16,14.709,2048
209,5/2/2024 14:31,13.269,1152
210,5/2/2024 14:46,13.173,1728
211,5/2/2024 15:01,13.076,1536
212,5/2/2024 15:16,13.173,1152
213,5/2/2024 15:31,13.365,1152
214,5/2/2024 15:46,13.75,1728
215,5/2/2024 16:01,14.134,2048
216,5/2/2024 16:16,13.942,1344
217,5/2/2024 16:31,13.654,1344
218,5/2/2024 16:46,13.461,1024
219,5/2/2024 17:01,13.461,896
220,5/2/2024 17:16,13.269,672
221,5/2/2024 17:31,13.269,576
222,5/2/2024 17:46,13.076,384
223,5/2/2024 18:01,13.173,480
224,5/2/2024 18:16,13.076,304
225,5/2/2024 18:31,12.883,224
226,5/2/2024 18:46,12.497,184
227,5/2/2024 19:01,12.304,127
228,5/2/2024 19:16,12.11,74
229,5/2/2024 19:31,12.013,41
230,5/2/2024 19:46,12.013,12
231,5/2/2024 20:01,12.013,0
232,5/2/2024 20:16,12.207,0
233,5/2/2024 20:31,12.401,0
234,5/2/2024 20:46,12.401,0
235,5/2/2024 21:01,12.497,0
236,5/2/2024 21:16,12.401,0
237,5/2/2024 21:31,12.304,0
238,5/2/2024 21:46,12.304,0
239,5/2/2024 22:01,12.207,0
240,5/2/2024 22:16,12.207,0
241,5/2/2024 22:31,11.916,0
242,5/2/2024 22:46,11.819,0
243,5/2/2024 23:01,11.819,0
244,5/2/2024 23:16,11.819,0
245,5/2/2024 23:31,11.722,0
246,5/2/2024 23:46,11.819,0
247,5/3/2024 0:01,11.819,0
248,5/3/2024 0:16,11.819,0
249,5/3/2024 0:31,11.819,0
250,5/3/2024 0:46,11.819,0
251,5/3/2024 1:01,11.819,0
252,5/3/2024 1:16,11.819,0
253,5/3/2024 1:31,11.722,0
254,5/3/2024 1:46,11.722,0
255,5/3/2024 2:01,11.722,0
256,5/3/2024 2:16,11.916,0
257,5/3/2024 2:31,12.013,0
258,5/3/2024 2:46,12.11,0
259,5/3/2024 3:01,12.207,0
260,5/3/2024 3:16,12.401,0
261,5/3/2024 3:31,12.304,0
262,5/3/2024 3:46,12.497,0
263,5/3/2024 4:01,12.594,0
264,5/3/2024 4:16,12.401,0
265,5/3/2024 4:31,11.916,0
266,5/3/2024 4:46,11.722,0
267,5/3/2024 5:01,11.431,0
268,5/3/2024 5:16,11.139,0
269,5/3/2024 5:31,10.944,1
270,5/3/2024 5:46,10.846,11
271,5/3/2024 6:01,10.748,30
272,5/3/2024 6:16,10.748,61
273,5/3/2024 6:31,10.748,82
274,5/3/2024 6:46,10.651,128
275,5/3/2024 7:01,10.651,144
276,5/3/2024 7:16,10.553,240
277,5/3/2024 7:31,10.553,200
278,5/3/2024 7:46,10.553,416
279,5/3/2024 8:01,10.651,768
280,5/3/2024 8:16,10.651,576
281,5/3/2024 8:31,10.846,1536
282,5/3/2024 8:46,11.041,1600
283,5/3/2024 9:01,11.334,1984
284,5/3/2024 9:16,11.528,1472
285,5/3/2024 9:31,11.236,1344
286,5/3/2024 9:46,11.334,1536
