reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,6/4/2025 8:00,19.758,59
2,6/4/2025 8:15,21.855,256
3,6/4/2025 8:30,21.473,110
4,6/4/2025 8:45,21.187,512
5,6/4/2025 9:00,23.677,336
6,6/4/2025 9:15,20.901,368
7,6/4/2025 9:30,18.806,136
8,6/4/2025 9:45,17.665,72
9,6/4/2025 10:00,26.977,960
10,6/4/2025 10:15,30.356,232
11,6/4/2025 10:30,31.676,208
12,6/4/2025 10:45,19.853,384
13,6/4/2025 11:00,18.045,288
14,6/4/2025 11:15,17.855,1536
15,6/4/2025 11:30,12.98,3072
16,6/4/2025 11:45,13.269,4864
17,6/4/2025 12:00,13.461,3328
18,6/4/2025 12:15,13.75,6656
19,6/4/2025 12:30,14.038,4096
20,6/4/2025 12:45,14.134,4352
21,6/4/2025 13:00,14.709,5120
22,6/4/2025 13:15,14.709,4352
23,6/4/2025 13:30,14.996,7936
24,6/4/2025 13:45,14.996,6912
25,6/4/2025 14:00,14.804,3840
26,6/4/2025 14:15,14.709,3200
27,6/4/2025 14:30,14.613,3072
28,6/4/2025 14:45,14.613,4096
29,6/4/2025 15:00,14.517,3328
30,6/4/2025 15:15,14.613,2816
31,6/4/2025 15:30,14.613,1920
32,6/4/2025 15:45,14.517,1728
33,6/4/2025 16:00,14.517,1728
34,6/4/2025 16:15,14.613,1344
35,6/4/2025 16:30,14.517,1344
36,6/4/2025 16:45,14.421,1280
37,6/4/2025 17:00,14.421,960
38,6/4/2025 17:15,14.325,704
39,6/4/2025 17:30,14.23,480
40,6/4/2025 17:45,14.134,384
41,6/4/2025 18:00,13.365,368
42,6/4/2025 18:15,12.69,304
43,6/4/2025 18:30,11.819,248
44,6/4/2025 18:45,11.431,176
45,6/4/2025 19:00,11.236,120
46,6/4/2025 19:15,11.139,85
47,6/4/2025 19:30,11.236,56
48,6/4/2025 19:45,11.431,42
49,6/4/2025 20:00,11.528,25
50,6/4/2025 20:15,11.528,7
51,6/4/2025 20:30,11.528,0
52,6/4/2025 20:45,11.528,0
53,6/4/2025 21:00,11.528,0
54,6/4/2025 21:15,11.625,0
55,6/4/2025 21:30,11.625,0
56,6/4/2025 21:45,11.528,0
57,6/4/2025 22:00,11.528,0
58,6/4/2025 22:15,11.625,0
59,6/4/2025 22:30,11.722,0
60,6/4/2025 22:45,11.722,0
61,6/4/2025 23:00,11.722,0
62,6/4/2025 23:15,11.625,0
63,6/4/2025 23:30,11.722,0
64,6/4/2025 23:45,11.722,0
65,6/5/2025 0:00,11.819,0
66,6/5/2025 0:15,11.916,0
67,6/5/2025 0:30,11.916,0
68,6/5/2025 0:45,11.916,0
69,6/5/2025 1:00,12.013,0
