reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,10/22/2024 9:00,19.377,0
2,10/22/2024 9:15,19.662,0
3,10/22/2024 9:30,20.043,0
4,10/22/2024 9:45,21.569,0
5,10/22/2024 10:00,22.908,0
6,10/22/2024 10:15,23.388,0
7,10/22/2024 10:30,21.473,34
8,10/22/2024 10:45,20.138,74
9,10/22/2024 11:00,18.521,107
10,10/22/2024 11:15,18.14,101
11,10/22/2024 11:30,18.331,81
12,10/22/2024 11:45,18.236,136
13,10/22/2024 12:00,16.427,48
14,10/22/2024 12:15,17.57,111
15,10/22/2024 12:30,13.461,29
16,10/22/2024 12:45,12.98,272
17,10/22/2024 13:00,12.98,256
18,10/22/2024 13:15,13.076,256
19,10/22/2024 13:30,13.173,232
20,10/22/2024 13:45,13.269,208
21,10/22/2024 14:00,13.365,176
22,10/22/2024 14:15,13.365,176
23,10/22/2024 14:30,13.269,160
24,10/22/2024 14:45,13.173,136
25,10/22/2024 15:00,13.269,128
26,10/22/2024 15:15,13.269,116
27,10/22/2024 15:30,13.269,101
28,10/22/2024 15:45,13.269,81
29,10/22/2024 16:00,13.269,67
30,10/22/2024 16:15,13.269,57
31,10/22/2024 16:30,13.269,47
32,10/22/2024 16:45,13.269,38
33,10/22/2024 17:00,13.269,25
34,10/22/2024 17:15,13.269,18
35,10/22/2024 17:30,13.269,10
36,10/22/2024 17:45,13.365,3
37,10/22/2024 18:00,13.365,0
38,10/22/2024 18:15,13.269,0
39,10/22/2024 18:30,13.269,0
40,10/22/2024 18:45,13.269,0
41,10/22/2024 19:00,13.365,0
42,10/22/2024 19:15,13.365,0
43,10/22/2024 19:30,13.365,0
44,10/22/2024 19:45,13.365,0
45,10/22/2024 20:00,13.365,0
46,10/22/2024 20:15,13.269,0
47,10/22/2024 20:30,13.269,0
48,10/22/2024 20:45,13.269,0
49,10/22/2024 21:00,13.269,0
50,10/22/2024 21:15,13.173,0
51,10/22/2024 21:30,13.173,0
52,10/22/2024 21:45,13.173,0
53,10/22/2024 22:00,13.173,0
54,10/22/2024 22:15,13.173,0
55,10/22/2024 22:30,13.173,0
56,10/22/2024 22:45,13.269,0
57,10/22/2024 23:00,13.269,0
58,10/22/2024 23:15,13.269,0
59,10/22/2024 23:30,13.365,0
60,10/22/2024 23:45,13.365,0
61,10/23/2024 0:00,13.365,0
62,10/23/2024 0:15,13.365,0
63,10/23/2024 0:30,13.269,0
64,10/23/2024 0:45,13.269,0
65,10/23/2024 1:00,13.269,0
66,10/23/2024 1:15,13.269,0
67,10/23/2024 1:30,13.269,0
68,10/23/2024 1:45,13.173,0
69,10/23/2024 2:00,13.173,0
70,10/23/2024 2:15,13.173,0
71,10/23/2024 2:30,13.173,0
72,10/23/2024 2:45,13.173,0
73,10/23/2024 3:00,13.173,0
74,10/23/2024 3:15,13.173,0
75,10/23/2024 3:30,13.173,0
76,10/23/2024 3:45,13.076,0
77,10/23/2024 4:00,13.076,0
78,10/23/2024 4:15,13.076,0
79,10/23/2024 4:30,13.076,0
80,10/23/2024 4:45,13.076,0
81,10/23/2024 5:00,12.98,0
82,10/23/2024 5:15,12.98,0
83,10/23/2024 5:30,13.076,0
84,10/23/2024 5:45,12.98,0
85,10/23/2024 6:00,12.98,0
86,10/23/2024 6:15,12.98,0
87,10/23/2024 6:30,13.076,0
88,10/23/2024 6:45,13.076,0
89,10/23/2024 7:00,13.076,0
90,10/23/2024 7:15,13.076,5
91,10/23/2024 7:30,13.076,14
92,10/23/2024 7:45,13.076,29
93,10/23/2024 8:00,13.076,53
94,10/23/2024 8:15,13.076,92
95,10/23/2024 8:30,13.076,99
96,10/23/2024 8:45,12.98,110
97,10/23/2024 9:00,13.076,248
98,10/23/2024 9:15,13.076,224
99,10/23/2024 9:30,13.076,216
100,10/23/2024 9:45,13.173,288
101,10/23/2024 10:00,13.173,248
102,10/23/2024 10:15,13.269,272
103,10/23/2024 10:30,13.269,304
104,10/23/2024 10:45,13.269,320
105,10/23/2024 11:00,13.269,336
106,10/23/2024 11:15,13.365,336
107,10/23/2024 11:30,13.365,368
108,10/23/2024 11:45,13.365,352
109,10/23/2024 12:00,13.365,352
110,10/23/2024 12:15,13.365,416
111,10/23/2024 12:30,13.365,336
112,10/23/2024 12:45,13.365,320
113,10/23/2024 13:00,13.269,304
