reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,5/1/2025 14:00,24.931,1536
2,5/1/2025 14:15,23.581,18
3,5/1/2025 14:30,22.525,10
4,5/1/2025 14:45,22.142,41
5,5/1/2025 15:00,23.773,20
6,5/1/2025 15:15,24.062,14
7,5/1/2025 15:30,24.062,15
8,5/1/2025 15:45,21.855,1536
9,5/1/2025 16:00,16.523,5376
10,5/1/2025 16:15,16.523,3456
11,5/1/2025 16:30,16.808,9728
12,5/1/2025 16:45,16.523,5888
13,5/1/2025 17:00,15.473,4096
14,5/1/2025 17:15,14.709,2688
15,5/1/2025 17:30,14.325,2432
16,5/1/2025 17:45,14.23,1920
17,5/1/2025 18:00,14.134,1280
18,5/1/2025 18:15,13.846,608
19,5/1/2025 18:30,13.75,480
20,5/1/2025 18:45,13.461,416
21,5/1/2025 19:00,13.365,272
22,5/1/2025 19:15,13.173,152
23,5/1/2025 19:30,13.076,65
24,5/1/2025 19:45,12.98,9
25,5/1/2025 20:00,12.98,0
26,5/1/2025 20:15,12.98,0
27,5/1/2025 20:30,12.98,0
28,5/1/2025 20:45,12.883,0
29,5/1/2025 21:00,12.883,0
30,5/1/2025 21:15,12.883,0
31,5/1/2025 21:30,12.883,0
32,5/1/2025 21:45,12.883,0
33,5/1/2025 22:00,12.883,0
34,5/1/2025 22:15,12.883,0
35,5/1/2025 22:30,12.787,0
36,5/1/2025 22:45,12.787,0
37,5/1/2025 23:00,12.787,0
38,5/1/2025 23:15,12.787,0
39,5/1/2025 23:30,12.787,0
40,5/1/2025 23:45,12.787,0
41,5/2/2025 0:00,12.787,0
42,5/2/2025 0:15,12.787,0
43,5/2/2025 0:30,12.787,0
44,5/2/2025 0:45,12.69,0
45,5/2/2025 1:00,12.69,0
46,5/2/2025 1:15,12.69,0
47,5/2/2025 1:30,12.69,0
48,5/2/2025 1:45,12.69,0
49,5/2/2025 2:00,12.69,0
50,5/2/2025 2:15,12.69,0
51,5/2/2025 2:30,12.69,0
52,5/2/2025 2:45,12.69,0
53,5/2/2025 3:00,12.69,0
