reading.no,date.time,temp.C,Intensity.lum.per.sqft
1,4/16/2024 8:00,18.616,0
2,4/16/2024 8:15,18.616,0
3,4/16/2024 8:30,19.092,7936
4,4/16/2024 8:45,20.234,128
5,4/16/2024 9:00,19.472,0
6,4/16/2024 9:15,19.948,0
7,4/16/2024 9:30,18.806,1
8,4/16/2024 9:45,19.282,0
9,4/16/2024 10:00,19.377,0
10,4/16/2024 10:15,21.282,0
11,4/16/2024 10:30,24.931,0
12,4/16/2024 10:45,26.585,608
13,4/16/2024 11:00,25.125,3456
14,4/16/2024 11:15,22.525,800
15,4/16/2024 11:30,12.304,4096
16,4/16/2024 11:45,12.594,9728
17,4/16/2024 12:00,12.69,4608
18,4/16/2024 12:15,12.69,3968
19,4/16/2024 12:30,12.787,4352
20,4/16/2024 12:45,12.883,3584
21,4/16/2024 13:00,12.883,7168
22,4/16/2024 13:15,12.69,6400
23,4/16/2024 13:30,12.497,3712
24,4/16/2024 13:45,12.497,3840
25,4/16/2024 14:00,12.497,2816
26,4/16/2024 14:15,12.497,3584
27,4/16/2024 14:30,12.69,2432
28,4/16/2024 14:45,12.883,2816
29,4/16/2024 15:00,13.173,2048
30,4/16/2024 15:15,13.173,1984
31,4/16/2024 15:30,12.883,1856
32,4/16/2024 15:45,12.69,1728
33,4/16/2024 16:00,12.594,1536
34,4/16/2024 16:15,12.594,1152
35,4/16/2024 16:30,12.497,1664
36,4/16/2024 16:45,12.304,1088
37,4/16/2024 17:00,12.304,992
38,4/16/2024 17:15,12.11,896
39,4/16/2024 17:30,12.013,512
40,4/16/2024 17:45,11.916,480
41,4/16/2024 18:00,11.722,432
42,4/16/2024 18:15,11.625,304
43,4/16/2024 18:30,11.625,272
44,4/16/2024 18:45,11.528,168
45,4/16/2024 19:00,11.528,97
46,4/16/2024 19:15,11.431,38
47,4/16/2024 19:30,11.334,6
48,4/16/2024 19:45,11.334,0
49,4/16/2024 20:00,11.236,0
50,4/16/2024 20:15,11.236,0
51,4/16/2024 20:30,11.139,0
52,4/16/2024 20:45,11.139,0
53,4/16/2024 21:00,11.041,0
54,4/16/2024 21:15,10.944,0
55,4/16/2024 21:30,10.944,0
