date.collected,state,town,site.id,sampler.initials,org.name,latitude,longitude,sea.temperature.C,quadrat.no,shoot.type,quadrat.size,shoot.no,DO mg/l,Salinity,notes,
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,1,reproductive,0.25,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,2,reproductive,0.25,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,3,reproductive,0.25,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,4,reproductive,0.25,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,5,reproductive,0.25,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,6,reproductive,0.25,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,7,reproductive,0.25,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,8,reproductive,0.25,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,1,vegetative,0.0625,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,2,vegetative,0.0625,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,3,vegetative,0.0625,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,4,vegetative,0.0625,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,5,vegetative,0.0625,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,6,vegetative,0.0625,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,7,vegetative,0.0625,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/2/2024,RI,South Kingstown,CL,JM.ES,RI Division of Marine Fisheries,41.380007,-71.516065,NA,8,vegetative,0.0625,NA,NA,NA,"No quad surveys performed or data sheet is missing, no water quality collected. Reproductive shoots were collected and ID'ed.",
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,1,reproductive,0.25,1,9.99,27.59,,
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,2,reproductive,0.25,0,9.99,27.59,,
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,3,reproductive,0.25,1,9.99,27.59,,
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,4,reproductive,0.25,7,9.99,27.59,,
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,5,reproductive,0.25,0,9.99,27.59,,
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,6,reproductive,0.25,6,9.99,27.59,,
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,7,reproductive,0.25,4,9.99,27.59,,
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,8,reproductive,0.25,7,9.99,27.59,,
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,1,vegetative,0.0625,9,9.99,27.59,,
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,2,vegetative,0.0625,1,9.99,27.59,,
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,3,vegetative,0.0625,6,9.99,27.59,,
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,4,vegetative,0.0625,8,9.99,27.59,,
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,5,vegetative,0.0625,2,9.99,27.59,,
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,6,vegetative,0.0625,18,9.99,27.59,,
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,7,vegetative,0.0625,14,9.99,27.59,,
5/22/2024,RI,South Kingstown,CL,JM.TF,RI Division of Marine Fisheries,41.380007,-71.516065,18.7,8,vegetative,0.0625,17,9.99,27.59,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,1,reproductive,0.25,0,9.55,30.31,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,2,reproductive,0.25,17,9.55,30.31,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,3,reproductive,0.25,0,9.55,30.31,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,4,reproductive,0.25,19,9.55,30.31,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,5,reproductive,0.25,12,9.55,30.31,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,6,reproductive,0.25,4,9.55,30.31,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,7,reproductive,0.25,23,9.55,30.31,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,8,reproductive,0.25,6,9.55,30.31,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,1,vegetative,0.0625,10,9.55,30.31,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,2,vegetative,0.0625,22,9.55,30.31,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,3,vegetative,0.0625,17,9.55,30.31,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,4,vegetative,0.0625,8,9.55,30.31,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,5,vegetative,0.0625,20,9.55,30.31,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,6,vegetative,0.0625,23,9.55,30.31,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,7,vegetative,0.0625,18,9.55,30.31,,
6/4/2024,RI,South Kingstown,CL,ES.TF,RI Division of Marine Fisheries,41.380007,-71.516065,17.1,8,vegetative,0.0625,18,9.55,30.31,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,1,reproductive,0.25,2,9.21,28.72,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,2,reproductive,0.25,4,9.21,28.72,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,3,reproductive,0.25,8,9.21,28.72,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,4,reproductive,0.25,0,9.21,28.72,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,5,reproductive,0.25,8,9.21,28.72,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,6,reproductive,0.25,4,9.21,28.72,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,7,reproductive,0.25,0,9.21,28.72,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,8,reproductive,0.25,0,9.21,28.72,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,1,vegetative,0.0625,17,9.21,28.72,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,2,vegetative,0.0625,12,9.21,28.72,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,3,vegetative,0.0625,18,9.21,28.72,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,4,vegetative,0.0625,22,9.21,28.72,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,5,vegetative,0.0625,19,9.21,28.72,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,6,vegetative,0.0625,14,9.21,28.72,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,7,vegetative,0.0625,14,9.21,28.72,,
6/13/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,20.3,8,vegetative,0.0625,10,9.21,28.72,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,1,reproductive,0.25,0,9.54,29.15,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,2,reproductive,0.25,4,9.54,29.15,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,3,reproductive,0.25,18,9.54,29.15,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,4,reproductive,0.25,17,9.54,29.15,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,5,reproductive,0.25,21,9.54,29.15,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,6,reproductive,0.25,0,9.54,29.15,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,7,reproductive,0.25,8,9.54,29.15,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,8,reproductive,0.25,6,9.54,29.15,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,1,vegetative,0.0625,20,9.54,29.15,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,2,vegetative,0.0625,15,9.54,29.15,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,3,vegetative,0.0625,20,9.54,29.15,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,4,vegetative,0.0625,27,9.54,29.15,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,5,vegetative,0.0625,25,9.54,29.15,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,6,vegetative,0.0625,19,9.54,29.15,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,7,vegetative,0.0625,12,9.54,29.15,,
6/17/2024,RI,South Kingstown,CL,TF.NO,RI Division of Marine Fisheries,41.380007,-71.516065,21.2,8,vegetative,0.0625,15,9.54,29.15,,
6/25/2024,RI,South Kingstown,CL,TF.PM,RI Division of Marine Fisheries,41.380007,-71.516065,17.9,1,reproductive,0.25,0,8.63,30.83,,
6/25/2024,RI,South Kingstown,CL,TF.PM,RI Division of Marine Fisheries,41.380007,-71.516065,17.9,2,reproductive,0.25,1,8.63,30.83,,
6/25/2024,RI,South Kingstown,CL,TF.PM,RI Division of Marine Fisheries,41.380007,-71.516065,17.9,3,reproductive,0.25,2,8.63,30.83,,
6/25/2024,RI,South Kingstown,CL,TF.PM,RI Division of Marine Fisheries,41.380007,-71.516065,17.9,4,reproductive,0.25,17,8.63,30.83,,
