site.id,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355
AQ,2.236312242,2.342658697,2.10216712,2.080289531,2.307804692,2.518379618,2.731456145,2.768560879,3.171188912,3.39552277,5.389237049,6.531818763,1.004896153,4.544009504,4.721663309,100,100,5.276508334,100,1.261217552,3.262553864,100,100,100,3.448327127,3.626846458,79.38156173,71.59033491,100,1.488581631,1.487448987,1.495311037,1.477898823,1.233959879,1.202139236,1.13735264,1.111263289,1.024833394,1.073097204,1.063263,1.042977543,1.19397418,1.226384492,1.212420987,4.550737971,3.570580415,3.693804136,3.444513289,2.936998098,1.959316213,1.35239847,1.152633381,1.227320668,1.220510954,1.136288339,1.091049435,1.461595576,1.112123197,1.06134949,1.160023099,1.291975511,2.362094127,2.389888525,2.383019618,2.404339596,2.414450498,2.281313052,2.073130381,1.783023833,1.858944813,1.822686303,1.961445553
CB,45.70329561,53.22322417,0.519036359,0.477642379,0.464709193,0.497265791,0.197828277,0.137861177,0.128770127,0.119285492,0.113576811,0.107604515,0.102546786,0.097819877,0.094238615,0.091916463,0.089017004,0.084953006,0.08058371,0.075039287,0.066820004,0.058446232,0.051987696,0.047446556,0.043782175,0.042664273,0.043554539,0.04603933,0.213790514,0.231514864,0.242637077,0.250234928,0.244345512,0.267654813,0.286775033,0.245361804,0.704910043,0.701969251,0.707929994,0.709446878,0.685032217,0.64841636,0.628175121,0.513797867,0.64012767,0.66437498,0.697070204,0.712853854,0.697112547,0.648236464,0.700193224,0.692707585,0.691754312,1.221881264,1.57105863,2.030890725,2.524954824,4.276926705,4.547808042,5.370293078,10.59719352,8.948153354,9.816465077,11.86878829,14.41740188,17.47498229,20.39175093,25.81288736,30.07462439,32.97460632,37.14403339,41.39572263
DC,0.14047926,0.12999415,0.122064571,0.113784306,0.108888453,0.107290334,0.107738497,0.120570166,0.127709448,0.12762787,0.125311748,0.11785201,0.11089062,0.107822519,0.107997326,0.115445782,0.148756818,0.153168874,0.16204399,0.194532587,0.198738884,0.18962312,0.189440759,0.173821881,0.158981656,0.145084218,0.138053633,0.139106182,0.151982179,0.168109516,0.167752051,0.188876166,0.193972656,0.195664974,0.193210717,0.177506422,0.168522786,0.179505693,0.193832391,0.210997743,0.232077101,0.2124568,0.221068533,0.239197043,0.393558824,0.522690906,2.116486424,2.292999617,2.482864882,2.675933388,2.936201354,3.182969049,3.471453706,6.454368464,4.824425137,5.071742205,5.57412504,6.369375179,10.23384435,9.086794057,9.26253323,10.50704255,12.15087962,14.11855972,16.52391921,19.11110045,23.28089999,26.91563939,29.55846011,33.23491117,36.50246772,40.81898757
NB,0.032502067,0.035563021,0.036711803,0.032029491,0.029925725,0.031513062,0.052685637,0.054630075,0.056115326,0.055519173,0.07488608,0.085849234,0.08757678,0.090824336,0.093265782,0.096603082,0.100005203,0.104442815,0.110176881,0.117530446,0.126268605,0.137298267,0.150941817,0.167777153,0.187944234,0.212205591,0.239382171,0.274686389,0.303175644,0.335091164,0.36814638,0.429962791,0.477537566,0.507708971,0.552091876,0.608079716,0.616568726,0.664638445,0.672069196,0.679581239,0.736571656,0.978148287,2.098860752,2.134315426,39.4049768,36.0297303,29.28068509,12.9205438,3.675814289,2.534779667,2.506422691,2.095535604,2.06935212,2.354106852,2.191217889,2.133547151,2.11163837,1.983470248,1.734762648,0.836700221,0.761625041,0.709007372,0.112117909,0.107617125,0.07937305,0.06509741,0.064808401,0.066384685,0.056834294,0.058594735,0.061989983,0.030215919
PV,0.114178466,0.113037542,0.111725326,0.110841168,0.11055085,0.110956425,0.111137386,0.109559989,0.099006042,0.097725998,0.096112911,0.093083707,0.095278762,0.091259825,0.090212454,0.102118604,0.096088134,0.09507807,0.097302136,0.098172095,0.097457211,0.102891838,0.111390744,0.11338397,0.117967805,0.12716268,0.1298267,0.146507287,0.162688041,0.170718377,0.167945236,0.182013443,9.181453572,7.649343314,8.910572513,12.60333277,12.71448633,10.09561582,10.50472729,12.49564776,11.0356303,8.028264095,8.200556654,7.125862943,6.655721128,6.536446472,5.437851342,5.791540539,6.187408149,6.126242553,5.976289094,1.059234129,1.027968668,1.045537314,1.080242334,1.09404643,1.012518837,0.932829531,0.166811361,0.744619148,0.115568522,0.101023608,0.108298586,0.118800243,0.122462426,0.121940059,0.120437509,0.118795456,0.116333359,0.114359246,0.113264819,0.115642756
SH,0.429401925,0.450526502,0.477719002,0.508462281,0.540033688,0.568380349,0.598295755,0.628998826,0.656601497,0.661119455,0.68455936,0.699710505,0.711369927,0.744910603,0.777424356,0.787978407,0.824941908,0.922182611,0.922870962,44.67074414,45.54650457,46.64191527,53.86550286,54.58669375,51.34355305,47.30704322,44.29405595,43.80213479,38.79114032,10.4310364,8.862060813,6.870055225,6.318766349,6.268077023,6.592087213,6.960677305,7.001926538,6.823412721,6.294000076,5.785579478,5.333693716,4.950999503,4.590067393,4.272746936,4.120527388,3.962390784,6.141130696,1.621343604,1.334911066,1.154803316,1.00054952,0.873962816,0.771383846,0.700232862,0.633893659,0.577583653,0.536091868,0.504815524,0.477263388,0.453747295,0.43487412,0.418640583,0.392880939,0.385044888,0.387195815,0.38134025,0.380313484,0.381106606,0.385016859,0.391590876,0.40135474,0.414141009
WB,0.280736221,0.309158032,0.346099128,0.394373235,0.45267851,0.516612472,0.658705749,0.729261569,0.698240976,0.718789581,1.313482217,1.521695433,1.397650349,1.005635719,2.747810322,2.781766122,2.687963505,2.225987408,2.109648486,100,2.105986691,100,100,100,1.142898512,1.135273232,0.868065735,0.672321926,0.715642234,0.858979541,0.913892226,0.971921855,3.486715675,53.42036139,39.11253058,34.58388717,32.91794147,3.37494581,30.31684174,8.140055162,5.977744168,7.890607525,5.418206646,5.19705809,5.357591044,5.565499053,8.268027423,7.579311041,5.564639335,5.360408244,0.874646391,0.532923732,0.41428402,0.344497244,0.298753609,0.268116519,0.247351395,0.232149808,0.220654677,0.211792372,0.205125829,0.200352777,0.197269907,0.195750951,0.195733992,0.198003464,0.201933572,0.20798347,0.21632493,0.227150299,0.241030902,0.258527329
CL,1.079738752,1.120233298,3.019503579,3.063827331,4.143046393,1.313445011,0.668001451,0.640857017,0.728893322,0.956703329,0.982399509,0.440946643,0.387034338,0.347183786,0.35929066,0.380564553,0.402469594,0.437321845,0.464415299,0.473723508,0.44335703,0.434278363,0.419533995,0.408605345,0.398568551,0.400222087,0.399011204,0.401335624,0.406943378,0.424646759,0.482652522,0.560449685,0.678937113,0.116270722,0.091646527,0.073933653,0.059647214,0.051660886,0.046271647,0.040633348,0.037272332,0.03471522,0.032717324,0.031159355,0.029959316,0.029060329,0.028423249,0.027748974,0.027171881,0.026818742,0.026675924,0.026738183,0.027008164,0.027486128,0.028145503,0.029065651,0.030287942,0.031617392,0.0331557,0.035133224,0.037339556,0.040233164,0.04473693,0.050807833,0.058451427,0.060900128,0.154904346,0.311913921,0.377749875,0.704867668,0.73954244,0.929499686
JB,0.123312172,0.156223175,0.181121369,0.201189515,0.22050402,0.348620504,0.506203851,0.608754667,0.714413619,6.21061373,5.720464986,3.942387595,3.552234714,3.31288559,3.165749159,3.292272527,3.433167037,3.704881513,2.033118678,1.982486298,3.235269922,3.288920089,3.354202924,3.501494099,4.543937655,4.267860279,3.026522853,3.085551855,3.167842016,1.901706096,3.297530294,1.692620606,1.272864548,0.876203839,0.615095303,0.209982399,0.195065591,0.118522821,0.112132997,0.096058665,0.076092679,0.062746393,0.053427646,0.046824668,0.041812101,0.037978214,0.035030703,0.032737805,0.030947135,0.029555446,0.028445011,0.027525652,0.026862945,0.02642908,0.026206703,0.026187163,0.026369671,0.026761227,0.027377297,0.028149601,0.029162207,0.030491294,0.03220375,0.034396314,0.037211271,0.04072303,0.045138173,0.050561859,0.057534408,0.067323932,0.080986543,0.099667609
NK,100,100,0.583555979,0.588288133,0.152911748,0.134040907,0.117093898,0.1087665,0.101511452,0.098250119,0.096789481,0.099287903,0.107889031,0.13669814,0.135614343,0.133137229,0.130331962,0.12339736,0.113832051,0.102913613,0.094740137,0.089739353,0.087848594,0.086737449,0.087137162,0.086867758,0.086074115,0.083633996,0.078302391,0.075558645,0.073020734,0.069504977,0.058372013,0.053450126,0.051701667,0.051663425,0.05292246,0.056006624,0.062457194,0.081435323,0.231240351,0.235582428,0.257961354,0.554208931,0.609192551,0.641302116,1.184513503,1.195679127,1.057881089,1.687563286,1.909523112,1.727735386,1.594886228,1.542854414,1.526122189,1.479004605,36.79297408,36.48214732,35.70811346,38.87153926,100,100,100,100,100,100,100,100,100,100,100,100
