"site.id","mean_fetch_km","max_fetch_km","min_fetch_km"
"AQ",13.7683580030833,100,1.004896153
"CB",5.53741390651389,53.22322417,0.042664273
"CC",4.88685431994444,100,0.017411409
"CL",0.442493227472222,4.143046393,0.026675924
"DC",4.81462202423611,40.81898757,0.107290334
"GB",0.830664936430556,9.362091076,0.005562085
"JB",1.20267857083333,6.21061373,0.026187163
"NB",2.23714385756944,39.4049768,0.029925725
"NK",21.8030765108611,100,0.051663425
"NK_prime",0.336796214027778,2.129088906,0.009592375
"OB",0.451777609638889,3.086697588,0.017615481
"PV",2.42334869723611,12.71448633,0.090212454
"SH",8.47802908308333,54.58669375,0.380313484
"WB",9.80561119084722,100,0.195733992
"WC",0.665105002972222,4.961729567,0.027473219
