"site.id","latitude","longitude","date","min.T","max.T","median.T","delta.T"
"AQ",42.53003,-70.852886,2024-05-07,10.357,12.11,11.236,1.753
"AQ",42.53003,-70.852886,2024-05-08,10.259,11.916,11.334,1.657
"AQ",42.53003,-70.852886,2024-05-09,10.161,11.916,11.041,1.755
"AQ",42.53003,-70.852886,2024-05-10,9.965,11.819,11.334,1.854
"AQ",42.53003,-70.852886,2024-05-11,10.553,11.916,11.334,1.363
"AQ",42.53003,-70.852886,2024-05-12,10.944,12.304,11.431,1.36
"AQ",42.53003,-70.852886,2024-05-13,11.236,13.173,11.819,1.937
"AQ",42.53003,-70.852886,2024-05-14,11.916,14.325,13.269,2.409
"AQ",42.53003,-70.852886,2024-05-15,11.528,14.134,12.98,2.606
"AQ",42.53003,-70.852886,2024-05-16,11.819,13.654,13.076,1.835
"AQ",42.53003,-70.852886,2024-05-17,12.304,14.709,13.269,2.405
"AQ",42.53003,-70.852886,2024-05-18,12.787,14.325,13.606,1.538
"AQ",42.53003,-70.852886,2024-05-19,12.304,13.942,13.269,1.638
"AQ",42.53003,-70.852886,2024-05-20,12.207,14.038,13.076,1.831
"AQ",42.53003,-70.852886,2024-05-21,12.98,14.517,13.654,1.537
"AQ",42.53003,-70.852886,2024-05-22,13.365,16.808,14.134,3.443
"AQ",42.53003,-70.852886,2024-05-23,10.161,15.378,13.75,5.217
"AQ",42.53003,-70.852886,2024-05-24,9.472,13.654,11.431,4.182
"AQ",42.53003,-70.852886,2024-05-25,8.581,11.625,9.866,3.044
"AQ",42.53003,-70.852886,2024-05-26,10.553,13.365,12.207,2.812
"AQ",42.53003,-70.852886,2024-05-27,12.497,14.038,13.75,1.541
"AQ",42.53003,-70.852886,2024-05-28,13.75,15.76,14.661,2.01
"AQ",42.53003,-70.852886,2024-05-29,10.063,14.9,12.642,4.837
"AQ",42.53003,-70.852886,2024-05-30,13.076,14.421,14.038,1.345
"AQ",42.53003,-70.852886,2024-05-31,13.942,15.76,14.517,1.818
"AQ",42.53003,-70.852886,2024-06-01,14.421,16.523,15.187,2.102
"AQ",42.53003,-70.852886,2024-06-02,14.9,16.999,15.712,2.099
"AQ",42.53003,-70.852886,2024-06-03,15.473,17.855,16.046,2.382
"AQ",42.53003,-70.852886,2024-06-04,16.141,18.045,16.7605,1.904
"AQ",42.53003,-70.852886,2024-06-05,12.304,18.616,16.7605,6.312
"AQ",42.53003,-70.852886,2024-06-06,12.304,16.427,13.846,4.123
"AQ",42.53003,-70.852886,2024-06-07,13.269,16.237,15.282,2.968
"AQ",42.53003,-70.852886,2024-06-08,11.236,17.189,14.996,5.953
"AQ",42.53003,-70.852886,2024-06-09,8.879,11.528,10.553,2.649
"AQ",42.53003,-70.852886,2024-06-10,9.571,12.98,11.528,3.409
"AQ",42.53003,-70.852886,2024-06-11,11.041,13.269,12.304,2.228
"AQ",42.53003,-70.852886,2024-06-12,12.304,15.187,13.558,2.883
"AQ",42.53003,-70.852886,2024-06-13,14.038,16.903,14.948,2.865
"AQ",42.53003,-70.852886,2024-06-14,12.883,16.808,14.709,3.925
"AQ",42.53003,-70.852886,2024-06-15,8.779,16.141,12.7385,7.362
"AQ",42.53003,-70.852886,2024-06-16,10.259,14.23,12.9315,3.971
"AQ",42.53003,-70.852886,2024-06-17,13.173,16.618,14.9,3.445
"AQ",42.53003,-70.852886,2024-06-18,12.304,16.237,14.9,3.933
"AQ",42.53003,-70.852886,2024-06-19,9.472,17.379,12.013,7.907
"AQ",42.53003,-70.852886,2024-06-20,8.779,12.304,10.553,3.525
"AQ",42.53003,-70.852886,2024-06-21,8.481,13.75,10.748,5.269
"AQ",42.53003,-70.852886,2024-06-22,10.651,13.654,12.69,3.003
"AQ",42.53003,-70.852886,2024-06-23,12.883,16.332,15.0435,3.449
"AQ",42.53003,-70.852886,2024-06-24,11.819,16.332,15.664,4.513
"AQ",42.53003,-70.852886,2024-06-25,8.779,13.365,10.846,4.586
"AQ",42.53003,-70.852886,2024-06-26,10.944,15.473,14.421,4.529
"AQ",42.53003,-70.852886,2024-06-27,13.173,15.282,14.325,2.109
"AQ",42.53003,-70.852886,2024-06-28,10.357,14.517,12.883,4.16
"AQ",42.53003,-70.852886,2024-06-29,11.819,14.421,13.558,2.602
