"site.id","latitude","longitude","date","median.T","sst_jpl","sst_acspo","sst_crw"
"AQ",42.53003,-70.852886,"2024-05-07",11.236,10.548,NA,8.72
"AQ",42.53003,-70.852886,"2024-05-08",11.334,10.645,11.1700000762939,8.52
"AQ",42.53003,-70.852886,"2024-05-09",11.041,10.458,10.4899997711182,10.18
"AQ",42.53003,-70.852886,"2024-05-10",11.334,10.408,NA,9.95
"AQ",42.53003,-70.852886,"2024-05-11",11.334,10.434,10.3999996185303,10.42
"AQ",42.53003,-70.852886,"2024-05-12",11.431,11.074,10.1199998855591,10.16
"AQ",42.53003,-70.852886,"2024-05-13",11.819,11.379,10.1999998092651,10.23
"AQ",42.53003,-70.852886,"2024-05-14",13.269,11.462,10.9700002670288,10.77
"AQ",42.53003,-70.852886,"2024-05-15",12.98,11.41,11.6199998855591,11.28
"AQ",42.53003,-70.852886,"2024-05-16",13.076,11.791,NA,10.84
"AQ",42.53003,-70.852886,"2024-05-17",13.269,11.867,NA,11.46
"AQ",42.53003,-70.852886,"2024-05-18",13.606,11.676,12.75,11.99
"AQ",42.53003,-70.852886,"2024-05-19",13.269,11.719,12.0900001525879,11.86
"AQ",42.53003,-70.852886,"2024-05-20",13.076,12.125,NA,11.77
"AQ",42.53003,-70.852886,"2024-05-21",13.654,15.186,11.3100004196167,11.46
"AQ",42.53003,-70.852886,"2024-05-22",14.134,14.593,13.3199996948242,12.03
"AQ",42.53003,-70.852886,"2024-05-23",13.75,14.375,14.5100002288818,11.69
"AQ",42.53003,-70.852886,"2024-05-24",11.431,14.463,14.8699998855591,13.71
"AQ",42.53003,-70.852886,"2024-05-25",9.866,14.62,14.6499996185303,13.86
"AQ",42.53003,-70.852886,"2024-05-26",12.207,14.601,11.9099998474121,13.47
"AQ",42.53003,-70.852886,"2024-05-27",13.75,14.857,13.9799995422363,13.93
"AQ",42.53003,-70.852886,"2024-05-28",14.661,15.185,15.6099996566772,14.94
"AQ",42.53003,-70.852886,"2024-05-29",12.642,15.171,NA,15.05
"AQ",42.53003,-70.852886,"2024-05-30",14.038,14.789,15.3900003433228,15.02
"AQ",42.53003,-70.852886,"2024-05-31",14.517,14.981,NA,14.83
"AQ",42.53003,-70.852886,"2024-06-01",15.187,15.424,14.3199996948242,14.53
"AQ",42.53003,-70.852886,"2024-06-02",15.712,15.51,14.9700002670288,14.92
"AQ",42.53003,-70.852886,"2024-06-03",16.046,15.38,15.3500003814697,15.08
"AQ",42.53003,-70.852886,"2024-06-04",16.7605,15.93,15.8800001144409,15.23
"AQ",42.53003,-70.852886,"2024-06-05",16.7605,16.28,15.9799995422363,15.69
"AQ",42.53003,-70.852886,"2024-06-06",13.846,16.043,17.1800003051758,16.24
"AQ",42.53003,-70.852886,"2024-06-07",15.282,16.037,16.2099990844727,16.18
"AQ",42.53003,-70.852886,"2024-06-08",14.996,16.085,NA,16.02
"AQ",42.53003,-70.852886,"2024-06-09",10.553,15.967,16.1800003051758,16.37
"AQ",42.53003,-70.852886,"2024-06-10",11.528,15.943,17.4899997711182,16.62
"AQ",42.53003,-70.852886,"2024-06-11",12.304,16.102,14.4799995422363,16.17
"AQ",42.53003,-70.852886,"2024-06-12",13.558,16.384,14.6899995803833,15.83
"AQ",42.53003,-70.852886,"2024-06-13",14.948,17.666,15.8999996185303,16.44
"AQ",42.53003,-70.852886,"2024-06-14",14.709,17.605,16.3199996948242,16.76
"AQ",42.53003,-70.852886,"2024-06-15",12.7385,17.621,16.8299999237061,16.73
"AQ",42.53003,-70.852886,"2024-06-16",12.9315,17.652,14.9700002670288,16.84
"AQ",42.53003,-70.852886,"2024-06-17",14.9,17.709,14.7700004577637,15.92
"AQ",42.53003,-70.852886,"2024-06-18",14.9,17.406,16.9200000762939,16.12
"AQ",42.53003,-70.852886,"2024-06-19",12.013,17.248,16.6599998474121,16.45
"AQ",42.53003,-70.852886,"2024-06-20",10.553,17.353,18.0599994659424,17.04
"AQ",42.53003,-70.852886,"2024-06-21",10.748,17.569,NA,16.73
"AQ",42.53003,-70.852886,"2024-06-22",12.69,17.919,16.5100002288818,17.1
"AQ",42.53003,-70.852886,"2024-06-23",15.0435,18.345,17,17.47
"AQ",42.53003,-70.852886,"2024-06-24",15.664,17.677,NA,17.15
"AQ",42.53003,-70.852886,"2024-06-25",10.846,17.619,17.3899993896484,17.67
"AQ",42.53003,-70.852886,"2024-06-26",14.421,17.433,15.8100004196167,17.29
"AQ",42.53003,-70.852886,"2024-06-27",14.325,17.349,16.8899993896484,16.99
"AQ",42.53003,-70.852886,"2024-06-28",12.883,17.153,16.8999996185303,17.02
"AQ",42.53003,-70.852886,"2024-06-29",13.558,17.305,13.9499998092651,16.25
"AQ",42.53003,-70.852886,"2024-06-30",14.134,17.26,15.3400001525879,16.67
"AQ",42.53003,-70.852886,"2024-07-01",13.173,17.114,NA,15.74
"AQ",42.53003,-70.852886,"2024-07-02",12.98,17.122,15.0100002288818,16.11
"AQ",42.53003,-70.852886,"2024-07-03",13.654,16.93,15.1300001144409,15.49
"AQ",42.53003,-70.852886,"2024-07-04",15.091,17.149,15.8400001525879,15.89
"AQ",42.53003,-70.852886,"2024-07-05",14.517,17.772,16.6100006103516,16.61
"AQ",42.53003,-70.852886,"2024-07-06",13.317,18.157,17.5,17.09
"AQ",42.53003,-70.852886,"2024-07-07",12.3525,19.301,NA,18.18
"AQ",42.53003,-70.852886,"2024-07-08",11.819,19.34,20.6599998474121,17.95
"AQ",42.53003,-70.852886,"2024-07-09",12.594,19.312,18.8400001525879,17.92
"AQ",42.53003,-70.852886,"2024-07-10",12.7865,19.18,17.8700008392334,17.91
"AQ",42.53003,-70.852886,"2024-07-11",12.98,18.922,NA,18.13
"AQ",42.53003,-70.852886,"2024-07-12",12.401,18.346,16.5699996948242,16.96
"AQ",42.53003,-70.852886,"2024-07-13",10.9925,18.41,NA,17.27
"AQ",42.53003,-70.852886,"2024-07-14",11.236,18.13,NA,16.84
"AQ",42.53003,-70.852886,"2024-07-15",11.528,18.077,NA,16.63
"AQ",42.53003,-70.852886,"2024-07-16",10.9925,18.084,18.3700008392334,17.04
"AQ",42.53003,-70.852886,"2024-07-17",10.161,18.312,17.1299991607666,17.45
"AQ",42.53003,-70.852886,"2024-07-18",11.236,18.492,NA,17.61
"AQ",42.53003,-70.852886,"2024-07-19",11.4795,18.418,NA,17.33
"AQ",42.53003,-70.852886,"2024-07-20",13.076,18.622,14.289999961853,17
"AQ",42.53003,-70.852886,"2024-07-21",13.028,18.933,15.3100004196167,16.49
"AQ",42.53003,-70.852886,"2024-07-22",13.461,19.083,17.0699996948242,16.71
"AQ",42.53003,-70.852886,"2024-07-23",14.517,18.706,17.7000007629395,16.97
"AQ",42.53003,-70.852886,"2024-07-24",14.421,18.383,NA,17.38
"AQ",42.53003,-70.852886,"2024-07-25",14.709,18.904,NA,17.52
"AQ",42.53003,-70.852886,"2024-07-26",13.317,19.021,NA,17.89
"AQ",42.53003,-70.852886,"2024-07-27",13.269,18.559,15.3500003814697,16.71
"AQ",42.53003,-70.852886,"2024-07-28",14.517,18.442,15.7799997329712,16.97
"AQ",42.53003,-70.852886,"2024-07-29",14.9,18.781,15.9300003051758,16.65
"AQ",42.53003,-70.852886,"2024-07-30",16.189,19.014,NA,16.9
"AQ",42.53003,-70.852886,"2024-07-31",17.094,19.382,17.1000003814697,17.13
"AQ",42.53003,-70.852886,"2024-08-01",17.284,19.712,17.7000007629395,17.32
"AQ",42.53003,-70.852886,"2024-08-02",15.951,19.813,18.8400001525879,18.55
"AQ",42.53003,-70.852886,"2024-08-03",17.76,19.828,20.1700000762939,19.53
"AQ",42.53003,-70.852886,"2024-08-04",17.76,19.862,NA,18.75
"AQ",42.53003,-70.852886,"2024-08-05",16.618,19.598,20.2999992370605,19.86
"AQ",42.53003,-70.852886,"2024-08-06",17.8075,19.432,19.5300006866455,19.81
"AQ",42.53003,-70.852886,"2024-08-07",18.331,18.402,NA,19.92
"AQ",42.53003,-70.852886,"2024-08-08",18.616,18.935,NA,18.8
"AQ",42.53003,-70.852886,"2024-08-09",19.092,19.355,18.1399993896484,18.3
"AQ",42.53003,-70.852886,"2024-08-10",19.092,19.766,NA,18.06
"AQ",42.53003,-70.852886,"2024-08-11",16.141,19.607,21.0900001525879,18.28
"AQ",42.53003,-70.852886,"2024-08-12",15.8075,19.525,18.9400005340576,18.48
"AQ",42.53003,-70.852886,"2024-08-13",14.23,19.47,18.0300006866455,18.49
"AQ",42.53003,-70.852886,"2024-08-14",16.046,19.398,16.7399997711182,18.23
"AQ",42.53003,-70.852886,"2024-08-15",18.188,19.73,17.3199996948242,18.53
"AQ",42.53003,-70.852886,"2024-08-16",18.996,19.789,18.7600002288818,18.94
"AQ",42.53003,-70.852886,"2024-08-17",19.377,19.658,19.2600002288818,19.19
"AQ",42.53003,-70.852886,"2024-08-18",19.758,19.821,19.1800003051758,19.54
"AQ",42.53003,-70.852886,"2024-08-19",19.567,19.753,NA,19.46
"AQ",42.53003,-70.852886,"2024-08-20",19.187,19.521,NA,19.62
"AQ",42.53003,-70.852886,"2024-08-21",14.9,18.979,19.1000003814697,19.7
