"site.id","latitude","longitude","date","median.T","sst_jpl","sst_jpl_n4","sst_jpl_ID2_16","sst_jpl_interp"
"AQ",42.53003,-70.852886,2024-05-07,11.236,10.548,10.548,10.5490173077337,10.548
"AQ",42.53003,-70.852886,2024-05-08,11.334,10.645,10.645,10.6465409430063,10.645
"AQ",42.53003,-70.852886,2024-05-09,11.041,10.458,10.458,10.4616930609736,10.458
"AQ",42.53003,-70.852886,2024-05-10,11.334,10.408,10.408,10.414576915592,10.408
"AQ",42.53003,-70.852886,2024-05-11,11.334,10.434,10.434,10.4424620594842,10.434
"AQ",42.53003,-70.852886,2024-05-12,11.431,11.074,11.074,11.0769905279896,11.074
"AQ",42.53003,-70.852886,2024-05-13,11.819,11.379,11.379,11.3784605914553,11.379
"AQ",42.53003,-70.852886,2024-05-14,13.269,11.462,11.462,11.4617252117905,11.462
"AQ",42.53003,-70.852886,2024-05-15,12.98,11.41,11.41,11.4116348092791,11.41
"AQ",42.53003,-70.852886,2024-05-16,13.076,11.791,11.791,11.7925205386999,11.791
"AQ",42.53003,-70.852886,2024-05-17,13.269,11.867,11.867,11.8687856911543,11.867
"AQ",42.53003,-70.852886,2024-05-18,13.606,11.676,11.676,11.6779386811736,11.676
"AQ",42.53003,-70.852886,2024-05-19,13.269,11.719,11.719,11.7230229599473,11.719
"AQ",42.53003,-70.852886,2024-05-20,13.076,12.125,12.125,12.1307484547358,12.125
"AQ",42.53003,-70.852886,2024-05-21,13.654,15.186,15.186,15.1898777998804,15.186
"AQ",42.53003,-70.852886,2024-05-22,14.134,14.593,14.593,14.5969720694224,14.593
"AQ",42.53003,-70.852886,2024-05-23,13.75,14.375,14.375,14.3794661306024,14.375
"AQ",42.53003,-70.852886,2024-05-24,11.431,14.463,14.463,14.4678811362728,14.463
"AQ",42.53003,-70.852886,2024-05-25,9.866,14.62,14.62,14.6248849009179,14.62
"AQ",42.53003,-70.852886,2024-05-26,12.207,14.601,14.601,14.6051314275957,14.601
"AQ",42.53003,-70.852886,2024-05-27,13.75,14.857,14.857,14.8589057855668,14.857
"AQ",42.53003,-70.852886,2024-05-28,14.661,15.185,15.185,15.1879965364995,15.185
"AQ",42.53003,-70.852886,2024-05-29,12.642,15.171,15.171,15.1752813694339,15.171
"AQ",42.53003,-70.852886,2024-05-30,14.038,14.789,14.789,14.7923539369598,14.789
"AQ",42.53003,-70.852886,2024-05-31,14.517,14.981,14.981,14.9835859961558,14.981
"AQ",42.53003,-70.852886,2024-06-01,15.187,15.424,15.424,15.4213971853375,15.424
"AQ",42.53003,-70.852886,2024-06-02,15.712,15.51,15.51,15.5085299503986,15.51
"AQ",42.53003,-70.852886,2024-06-03,16.046,15.38,15.38,15.3829628747877,15.38
"AQ",42.53003,-70.852886,2024-06-04,16.7605,15.93,15.93,15.9266942101407,15.93
"AQ",42.53003,-70.852886,2024-06-05,16.7605,16.28,16.28,16.27615437212,16.28
"AQ",42.53003,-70.852886,2024-06-06,13.846,16.043,16.043,16.0431082093697,16.043
"AQ",42.53003,-70.852886,2024-06-07,15.282,16.037,16.037,16.0383801739071,16.037
"AQ",42.53003,-70.852886,2024-06-08,14.996,16.085,16.085,16.0865905364686,16.085
"AQ",42.53003,-70.852886,2024-06-09,10.553,15.967,15.967,15.9695274093646,15.967
