date.collected,state,town,site.id,sampler.initials,org.name,latitude,longitude,sea.temperature.C,quadrat.no,shoot.type,quadrat.size,shoot.no,notes
4/16/2024,MA,New Bedford,CC,FS.KF,MA Division of Marine Fisheries,41.595157,-70.911218,9.7,1,reproductive,0.25,0,NA
4/16/2024,MA,New Bedford,CC,FS.KF,MA Division of Marine Fisheries,41.595157,-70.911218,9.7,2,reproductive,0.25,0,NA
4/16/2024,MA,New Bedford,CC,FS.KF,MA Division of Marine Fisheries,41.595157,-70.911218,9.7,3,reproductive,0.25,0,NA
4/16/2024,MA,New Bedford,CC,FS.KF,MA Division of Marine Fisheries,41.595157,-70.911218,9.7,4,reproductive,0.25,0,NA
4/16/2024,MA,New Bedford,CC,FS.KF,MA Division of Marine Fisheries,41.595157,-70.911218,9.7,5,reproductive,0.25,0,NA
4/16/2024,MA,New Bedford,CC,FS.KF,MA Division of Marine Fisheries,41.595157,-70.911218,9.7,1,vegetative,0.0625,14,NA
4/16/2024,MA,New Bedford,CC,FS.KF,MA Division of Marine Fisheries,41.595157,-70.911218,9.7,2,vegetative,0.0625,13,NA
4/16/2024,MA,New Bedford,CC,FS.KF,MA Division of Marine Fisheries,41.595157,-70.911218,9.7,3,vegetative,0.0625,9,NA
4/16/2024,MA,New Bedford,CC,FS.KF,MA Division of Marine Fisheries,41.595157,-70.911218,9.7,4,vegetative,0.0625,9,NA
4/16/2024,MA,New Bedford,CC,FS.KF,MA Division of Marine Fisheries,41.595157,-70.911218,9.7,5,vegetative,0.0625,10,NA
5/3/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,12.2,1,reproductive,0.25,5,NA
5/3/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,12.2,2,reproductive,0.25,8,NA
5/3/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,12.2,3,reproductive,0.25,4,NA
5/3/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,12.2,4,reproductive,0.25,3,NA
5/3/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,12.2,5,reproductive,0.25,9,NA
5/3/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,12.2,1,vegetative,0.0625,12,NA
5/3/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,12.2,2,vegetative,0.0625,21,NA
5/3/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,12.2,3,vegetative,0.0625,19,NA
5/3/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,12.2,4,vegetative,0.0625,20,NA
5/3/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,12.2,5,vegetative,0.0625,15,NA
5/29/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,17.1,1,reproductive,0.25,9,NA
5/29/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,17.1,2,reproductive,0.25,5,NA
5/29/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,17.1,3,reproductive,0.25,7,NA
5/29/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,17.1,4,reproductive,0.25,7,NA
5/29/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,17.1,5,reproductive,0.25,8,NA
5/29/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,17.1,1,vegetative,0.0625,12,NA
5/29/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,17.1,2,vegetative,0.0625,8,NA
5/29/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,17.1,3,vegetative,0.0625,13,NA
5/29/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,17.1,4,vegetative,0.0625,11,NA
5/29/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,17.1,5,vegetative,0.0625,14,NA
6/13/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,18,1,reproductive,0.25,8,
6/13/2024,MA,New Bedford,CC,FS.HC,MA Division of Marine Fisheries,41.595157,-70.911218,18,2,reproductive,0.25,7,
