date.collected,state,town,site.id,sampler.initials,org.name,latitude,longitude,shoot.no,shoot.length.cm,rhipidium.no,rhipidium.height.cm,spathe.id,spathe.stage.PS,spathe.stage.0,spathe.stage.1,spathe.stage.2,spathe.stage.3,spathe.stage.4,spathe.stage.5,spathe.stage.6,spathe.stage.7,spathe.stage.unk,no.seeds,no.ovules.w.stigma,notes
5/7/2024,MA,Salem,AQ,FS.KF,MA Division of Marine Fisheries,42.53003,-70.852886,1,37,1,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Salem,AQ,FS.KF,MA Division of Marine Fisheries,42.53003,-70.852886,1,37,2,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Salem,AQ,FS.KF,MA Division of Marine Fisheries,42.53003,-70.852886,1,37,3,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Salem,AQ,FS.KF,MA Division of Marine Fisheries,42.53003,-70.852886,1,37,4,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Salem,AQ,FS.KF,MA Division of Marine Fisheries,42.53003,-70.852886,2,28.5,1,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Salem,AQ,FS.KF,MA Division of Marine Fisheries,42.53003,-70.852886,2,28.5,2,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Salem,AQ,FS.KF,MA Division of Marine Fisheries,42.53003,-70.852886,2,28.5,3,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Salem,AQ,FS.KF,MA Division of Marine Fisheries,42.53003,-70.852886,3,35,1,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Salem,AQ,FS.KF,MA Division of Marine Fisheries,42.53003,-70.852886,3,35,2,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Salem,AQ,FS.KF,MA Division of Marine Fisheries,42.53003,-70.852886,3,35,3,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Salem,AQ,FS.KF,MA Division of Marine Fisheries,42.53003,-70.852886,4,40,1,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Salem,AQ,FS.KF,MA Division of Marine Fisheries,42.53003,-70.852886,4,40,2,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Salem,AQ,FS.KF,MA Division of Marine Fisheries,42.53003,-70.852886,4,40,3,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Salem,AQ,FS.KF,MA Division of Marine Fisheries,42.53003,-70.852886,5,32,1,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,CB,FS.IS,MA Division of Marine Fisheries,42.6572,-70.68275,1,56.5,1,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,CB,FS.IS,MA Division of Marine Fisheries,42.6572,-70.68275,1,56.5,2,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,CB,FS.IS,MA Division of Marine Fisheries,42.6572,-70.68275,2,51,1,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,CB,FS.IS,MA Division of Marine Fisheries,42.6572,-70.68275,2,51,2,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,CB,FS.IS,MA Division of Marine Fisheries,42.6572,-70.68275,3,61.5,1,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,CB,FS.IS,MA Division of Marine Fisheries,42.6572,-70.68275,3,61.5,2,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,CB,FS.IS,MA Division of Marine Fisheries,42.6572,-70.68275,3,61.5,3,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,CB,FS.IS,MA Division of Marine Fisheries,42.6572,-70.68275,4,64,1,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,CB,FS.IS,MA Division of Marine Fisheries,42.6572,-70.68275,4,64,2,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,CB,FS.IS,MA Division of Marine Fisheries,42.6572,-70.68275,4,64,3,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,CB,FS.IS,MA Division of Marine Fisheries,42.6572,-70.68275,5,49,1,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,CB,FS.IS,MA Division of Marine Fisheries,42.6572,-70.68275,5,49,2,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,CB,FS.IS,MA Division of Marine Fisheries,42.6572,-70.68275,5,49,3,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,DC,FS.IS,MA Division of Marine Fisheries,42.66801,-70.67422,1,61,1,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,DC,FS.IS,MA Division of Marine Fisheries,42.66801,-70.67422,1,61,2,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,DC,FS.IS,MA Division of Marine Fisheries,42.66801,-70.67422,2,71.5,1,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,DC,FS.IS,MA Division of Marine Fisheries,42.66801,-70.67422,2,71.5,2,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,DC,FS.IS,MA Division of Marine Fisheries,42.66801,-70.67422,2,71.5,3,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,DC,FS.IS,MA Division of Marine Fisheries,42.66801,-70.67422,2,71.5,4,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,DC,FS.IS,MA Division of Marine Fisheries,42.66801,-70.67422,2,71.5,5,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,DC,FS.IS,MA Division of Marine Fisheries,42.66801,-70.67422,3,52,1,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
5/7/2024,MA,Gloucester,DC,FS.IS,MA Division of Marine Fisheries,42.66801,-70.67422,3,52,2,NA,A,1,0,0,0,0,0,0,0,0,0,0,0,NA
